gene_name	description	logFC_infection	logFC_diet	logFC_interaction	FDR_infection	FDR_diet	FDR_interaction	gene	number_DE_contrasts	logCPM	repressed_in_infection	induced_in_infection	higher_in_Protein	higher_in_Lipid	Protein_ixn_bigger_Inf	Lipid_ixn_bigger_Inf	DE_in_infection	DE_in_diet	DE_in_ixn
EDA	ectodysplasin A	-1.9841185902303473	-1.6810784529840195	3.1713427761884385	3.8501211466995203e-4	0.0024902416273618437	0.006524884869816136	103816427	3	0.1926758067665089	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
LRIG3	leucine rich repeats and immunoglobulin like domains 3	-2.2271509921491845	-1.6408153444208937	3.157315638146194	4.489634119954769e-4	0.014418224891171234	0.021062198555248605	103820427	3	-0.5282616463689237	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
SLC51A	solute carrier family 51 subunit alpha	-1.4074945404899697	-1.0250153246302869	2.072717975916231	5.077251308937686e-4	0.01675817597577814	0.018505245653978125	103815375	3	2.351573148300128	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
SIRT3	sirtuin 3	-0.2936069402231493	0.21657947820642232	0.42557818297505434	0.0014568742241424927	0.028638735989328104	0.03509559020624689	103826814	3	3.5751376738525695	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
FZD9	frizzled class receptor 9	-1.608193047229999	-1.222164169245027	2.66694739105897	0.002565415943228011	0.031126556778148264	0.019765483561053798	103820030	3	-0.925027117822334	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
LOC108961920	uncharacterized LOC108961920	2.674860615111469	2.510018563304412	-3.98075378738212	0.003787957403287865	0.008746160191051873	0.04601544925857686	108961920	3	-0.4957041067777166	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE
ACP6	acid phosphatase 6, lysophosphatidic	-1.2129637882946365	-1.089628064102273	1.8460552053762351	0.004535536692457175	0.015653478937470842	0.0480777613657999	103818357	3	0.3281520066283676	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
TEK	TEK receptor tyrosine kinase	-1.2713591298148346	-1.3332104905720386	3.1686430184595538	0.0077032151827466505	0.008222952366041546	0.0024606508846834003	103821834	3	0.11326150038855244	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
OCIAD2	OCIA domain containing 2	-1.4454185539818478	-1.4573357212126403	4.057138174583617	0.008573033220679857	0.012961409800077124	5.945038092298455e-4	103825108	3	0.9132769074672887	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
P2RY1	purinergic receptor P2Y1	-1.0806465749386802	-1.0403191712635658	1.9466826352770612	0.011308907789888212	0.02650372650949241	0.04002720787884332	127059046	3	1.105776349255117	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
FDXACB1	ferredoxin-fold anticodon binding domain containing 1	-1.42397918974615	-1.4418797331736934	2.6510897967436087	0.012062670955683223	0.01825859856584492	0.03509559020624689	103823029	3	-0.5512432844875431	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
LOC127060513	ferritin heavy chain A-like	-0.72226885021844	-0.9360292353000818	1.8080173845747967	0.017760543210729667	0.003291747245416195	0.006524884869816136	127060513	3	6.415024618798274	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
RUBCN	rubicon autophagy regulator	-0.1936613524876272	-0.19891134553636272	0.4470330366624499	0.025651821687942142	0.03438945168855461	0.018505245653978125	103815619	3	6.738787826041266	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
