x y r gene
LOC115484857 eye_score -0.7540479817126362 LOC115484857
eye_score RPS8 -0.7506596444099134 RPS8
eye_score RPLP1 -0.719391345416733 RPLP1
RPL36 eye_score -0.7175919715320133 RPL36
RPL15 eye_score -0.7094706058452341 RPL15
RPS4X eye_score -0.7094195006828184 RPS4X
eye_score ABLIM3 -0.7083072589708803 ABLIM3
eye_score RPS15A -0.6924203998501434 RPS15A
RPL26L1 eye_score -0.692074929933144 RPL26L1
RPL27A eye_score -0.6903649639277741 RPL27A
RPS3A eye_score -0.6845123767304052 RPS3A
LOC103818389 eye_score -0.6838040331043925 LOC103818389
RPL6 eye_score -0.6822407228813124 RPL6
HMOX2 eye_score -0.6802386838802245 HMOX2
eye_score RPL9 -0.6731828678681816 RPL9
RPL8 eye_score -0.6645627921468974 RPL8
RPS25 eye_score -0.65495418123401 RPS25
RPS24 eye_score -0.6522246506546989 RPS24
eye_score RPLP2 -0.6488558083446153 RPLP2
eye_score RPS3 -0.6484340576876318 RPS3
RPS27A eye_score -0.6294269965454632 RPS27A
RPL7A eye_score -0.6293389911359819 RPL7A
CUNH8orf82 eye_score -0.628812361572284 CUNH8orf82
RPL23A eye_score -0.623225819555271 RPL23A
eye_score RPS6 -0.6221167688393181 RPS6
RPL12 eye_score -0.6180994512091865 RPL12
eye_score LOC108963561 -0.6143050743007823 LOC108963561
eye_score RASL11A -0.6086758942970668 RASL11A
ATP5MF eye_score -0.608254572694999 ATP5MF
eye_score PSMA7 -0.6076766212750448 PSMA7
RPL27 eye_score -0.6010816476048632 RPL27
RPS11 eye_score -0.6000065536201958 RPS11
UBA52 eye_score -0.5956013550463795 UBA52
RPL36A eye_score -0.5947470848035215 RPL36A
eye_score LOC108963812 -0.5941258409037065 LOC108963812
eye_score TSEN15 -0.5918511113963673 TSEN15
PPCS eye_score -0.5917065310355651 PPCS
eye_score LOC103813354 -0.5874533126109844 LOC103813354
RPL32 eye_score -0.586362599592504 RPL32
RPS17 eye_score -0.5709397607431116 RPS17
RPL18A eye_score -0.5676823777317921 RPL18A
RPS7 eye_score -0.5601206232649253 RPS7
TBCA eye_score -0.5572847203116998 TBCA
RPL22 eye_score -0.5554375547484551 RPL22
NDUFA1 eye_score -0.5512589329778251 NDUFA1
eye_score UBE2R2 -0.5506687330093398 UBE2R2
EEF1B2 eye_score -0.5331648918474481 EEF1B2
RPL29 eye_score -0.5312699171472289 RPL29
RPL28 eye_score -0.5291922039635558 RPL28
eye_score LOC103822053 -0.5264152838732731 LOC103822053
eye_score ABHD17B -0.5233164790167799 ABHD17B
RPL35A eye_score -0.5230619882784223 RPL35A
eye_score PSMA4 -0.5229679520530816 PSMA4
RPL11 eye_score -0.5192539296675109 RPL11
MORN4 eye_score -0.5125422098075034 MORN4
HTATIP2 eye_score -0.5090250863740916 HTATIP2
eye_score RPL5 -0.501100091122777 RPL5
OSGEP eye_score -0.49896980199800134 OSGEP
RPL24 eye_score -0.49874750667776263 RPL24
eye_score CHST1 -0.4956068191820937 CHST1
NAT9 eye_score -0.490486928681679 NAT9
RPL21 eye_score -0.48676216762949476 RPL21
RPL37 eye_score -0.48474387329584984 RPL37
RPLP0 eye_score -0.4820071021889426 RPLP0
RPS13 eye_score -0.477025181799881 RPS13
RPS16 eye_score -0.47433734212878487 RPS16
RPL37A eye_score -0.4725890941531645 RPL37A
RPL7 eye_score -0.47050919391342305 RPL7
RPS15 eye_score -0.46058010965196966 RPS15
MTCH2 eye_score -0.4559915023093496 MTCH2
SMIM12 eye_score -0.4550638248991218 SMIM12
LOC115484939 eye_score -0.4523519525295517 LOC115484939
LOC115484757 eye_score -0.45202146008958594 LOC115484757
eye_score PLEKHG5 -0.4508876078295225 PLEKHG5
LOC103824835 eye_score -0.4499915603646082 LOC103824835
eye_score CEP290 -0.44975579222123174 CEP290
RPL4 eye_score -0.447750147628799 RPL4
VOPP1 eye_score -0.4467013773226273 VOPP1
LOC108963534 eye_score -0.4461253954557183 LOC108963534
eye_score SIRT6 -0.4452692194894438 SIRT6
eye_score LOC115485329 -0.4416208631927695 LOC115485329
LOC115484764 eye_score -0.4402340537566048 LOC115484764
eye_score LOC108963853 -0.4356078608880564 LOC108963853
SURF2 eye_score -0.4354092362061737 SURF2
eye_score TXNRD1 -0.43062438284870763 TXNRD1
RPS10 eye_score -0.42786076552838637 RPS10
RPL19 eye_score -0.42624462010359754 RPL19
LOC103821091 eye_score -0.4247475510669647 LOC103821091
LOC115484195 eye_score -0.42413060810904024 LOC115484195
SERP1 eye_score -0.4228891967780235 SERP1
LOC103813355 eye_score -0.4227325959258049 LOC103813355
eye_score HKDC1 -0.41669170149490614 HKDC1
PAM16 eye_score -0.4161807538849801 PAM16
eye_score ABCC2 -0.41146337335276667 ABCC2
GPX1 eye_score -0.40956975878170093 GPX1
eye_score LOC108963055 -0.40711048914621456 LOC108963055
NDUFB8 eye_score -0.40172425659629596 NDUFB8
eye_score SNRNP25 -0.3970392432942798 SNRNP25
EDF1 eye_score -0.37496118554200436 EDF1
LOC103823955 eye_score -0.37453759959094585 LOC103823955
LOC103812628 eye_score -0.37319317580714056 LOC103812628
eye_score LOC103813332 -0.3711502708328865 LOC103813332
eye_score NFIA -0.37021847272673297 NFIA
TRAPPC2L eye_score -0.36820039773019114 TRAPPC2L
eye_score LOC108964204 -0.36677868758276005 LOC108964204
eye_score RPS20 -0.36470959423058724 RPS20
eye_score PCID2 -0.36448163209416434 PCID2
RPL39 eye_score -0.3641058258413655 RPL39
eye_score LOC115484542 -0.36406209053051 LOC115484542
eye_score LOC108964025 -0.3623842193032686 LOC108964025
eye_score PHACTR1 -0.3591219329674776 PHACTR1
LGALS1 eye_score -0.355605220610791 LGALS1
SLC35B4 eye_score -0.35285344247887007 SLC35B4
eye_score DHX40 -0.34946378498177977 DHX40
eye_score ARL3 -0.345828719563753 ARL3
RPL13 eye_score -0.3387852914731516 RPL13
eye_score YPEL2 -0.3377182735904217 YPEL2
eye_score FAM104A -0.3376507018424679 FAM104A
eye_score REV3L -0.3376139988754458 REV3L
eye_score LOC108963521 -0.3362524095397059 LOC108963521
SHC1 eye_score -0.3345814784045589 SHC1
MLNR eye_score -0.33427270554591115 MLNR
eye_score LOC115484324 -0.33370706333141104 LOC115484324
eye_score POLH -0.3308586617220571 POLH
LOC103816871 eye_score -0.3306333491637522 LOC103816871
eye_score VPS26A -0.32883300615684147 VPS26A
NDUFA8 eye_score -0.3266726378551914 NDUFA8
eye_score ZNF592 -0.32648961305626706 ZNF592
RPL31 eye_score -0.3231449332883455 RPL31
eye_score LOC103822176 -0.3229842535747701 LOC103822176
RPS14 eye_score -0.32006177086417276 RPS14
LOC108963641 eye_score -0.31595023727777816 LOC108963641
LYRM1 eye_score -0.31559965327223155 LYRM1
eye_score RAE1 -0.3143653859532363 RAE1
LOC103825146 eye_score -0.3128561058611498 LOC103825146
eye_score SELENOO -0.3113458033500623 SELENOO
eye_score ACTR6 -0.310658856607685 ACTR6
eye_score PHETA1 -0.3078778272814959 PHETA1
eye_score SNIP1 -0.3074740171761177 SNIP1
eye_score ARIH2 -0.3039036425005756 ARIH2
MED27 eye_score -0.30224794491288326 MED27
RPS12 eye_score -0.2987631336025662 RPS12
MED31 eye_score -0.2982268724678552 MED31
RSRC1 eye_score -0.2982192330822705 RSRC1
POLR3B eye_score -0.29789944006865676 POLR3B
eye_score RRNAD1 -0.29553760787244526 RRNAD1
eye_score LOC103824839 -0.2949120910686549 LOC103824839
eye_score RP9 -0.28720372995972615 RP9
eye_score LOC103825001 -0.28610787668486065 LOC103825001
eye_score LOC103813316 -0.2817689585585694 LOC103813316
eye_score OAZ1 -0.27910032201247836 OAZ1
eye_score SRSF1 -0.2748818790481238 SRSF1
eye_score NDUFB4 -0.27355119572783165 NDUFB4
eye_score LOC115484139 -0.27242544704188576 LOC115484139
eye_score UBE2Q2 -0.2713768873598249 UBE2Q2
ANXA1 eye_score -0.2703371039095855 ANXA1
eye_score FAM32A -0.2687994494767533 FAM32A
LOC103820090 eye_score -0.2687171426432388 LOC103820090
GDPD4 eye_score -0.2686920045324885 GDPD4
RAB33A eye_score -0.2672702183143294 RAB33A
GTF2H5 eye_score -0.2671716138779617 GTF2H5
eye_score LOC103822768 -0.26580750584412927 LOC103822768
eye_score LOC115484652 -0.2643920121691845 LOC115484652
eye_score GPCPD1 -0.2633633566623242 GPCPD1
eye_score TBC1D7 -0.26256031121111817 TBC1D7
eye_score LOC115485584 -0.26233346436479843 LOC115485584
eye_score LOC103824837 -0.26219127074352166 LOC103824837
eye_score LOC103819610 -0.26034349348201413 LOC103819610
eye_score CHAC2 -0.25738908354098133 CHAC2
eye_score AKAP9 -0.25662718639573545 AKAP9
BOLA3 eye_score -0.2564328005355584 BOLA3
eye_score LLGL1 -0.2563026914413485 LLGL1
MND1 eye_score -0.25485527774569106 MND1
LOC103813840 eye_score -0.2525280634214067 LOC103813840
L3MBTL1 eye_score -0.25232692997840206 L3MBTL1
eye_score SIKE1 -0.25000957976507976 SIKE1
eye_score LOC115485162 -0.2478099627442599 LOC115485162
NDUFS8 eye_score -0.24310054183884158 NDUFS8
eye_score FAAP24 -0.24118589323335954 FAAP24
EIF3H eye_score -0.24024105382558017 EIF3H
eye_score SLC41A3 -0.2396933813780466 SLC41A3
eye_score LOC108963222 -0.23687943849757356 LOC108963222
eye_score CAMK2G -0.23643440158864032 CAMK2G
eye_score STARD7 -0.23552182265129176 STARD7
LOC103813351 eye_score -0.23493703472961242 LOC103813351
LOC108963378 eye_score -0.23490179394338376 LOC108963378
QPCT eye_score -0.23463243177231136 QPCT
eye_score LOC103824813 -0.2310985432231135 LOC103824813
LOC108961881 eye_score -0.2279399400021414 LOC108961881
eye_score DES -0.2277586664868256 DES
LOC108964818 eye_score -0.2273646685355204 LOC108964818
eye_score AK4 -0.227192990002536 AK4
eye_score PTDSS2 -0.22371134276253785 PTDSS2
ACBD6 eye_score -0.22304322695469847 ACBD6
eye_score FAM210A -0.22129380775373053 FAM210A
MOCOS eye_score -0.21975116238361608 MOCOS
eye_score LOC103813876 -0.219259895474857 LOC103813876
eye_score ADHFE1 -0.21751002884826764 ADHFE1
eye_score LOC103824732 -0.21585748423298218 LOC103824732
eye_score PHF5A -0.2150631397055159 PHF5A
eye_score CDIP1 -0.21331394860750397 CDIP1
SLIRP eye_score -0.21328273260444588 SLIRP
MID1IP1 eye_score -0.20845415858271443 MID1IP1
LOC103823970 eye_score -0.20646927346346355 LOC103823970
UAP1 eye_score -0.20611839771850027 UAP1
NDUFV1 eye_score -0.20308342075514002 NDUFV1
eye_score ZRANB2 -0.20300966935146245 ZRANB2
LOC103816733 eye_score -0.2029608585810391 LOC103816733
LOC103813583 eye_score -0.20286516892865938 LOC103813583
eye_score OVCH2 -0.20210403725503598 OVCH2
P2RX4 eye_score -0.20177121161803468 P2RX4
eye_score CEBPG -0.20001988528210096 CEBPG
eye_score PLPBP -0.19982710330119052 PLPBP
RP2 eye_score -0.19615056054968358 RP2
CSRP2 eye_score -0.19543235299663922 CSRP2
eye_score IRS4 -0.19506124341470754 IRS4
eye_score SSU72 -0.19391515616042146 SSU72
NTMT1 eye_score -0.19334375150976868 NTMT1
LY86 eye_score -0.19331545668716418 LY86
eye_score SNAP29 -0.19322692378139436 SNAP29
eye_score CASP6 -0.1927733125815662 CASP6
LRPAP1 eye_score -0.19174461783361074 LRPAP1
eye_score SPDEF -0.1907273585154925 SPDEF
eye_score C1QTNF12 -0.189639817766336 C1QTNF12
VTI1A eye_score -0.18935048361680454 VTI1A
EIF2B3 eye_score -0.18867874354675063 EIF2B3
NDUFB11 eye_score -0.1883101997119909 NDUFB11
RPS9 eye_score -0.18658097025530043 RPS9
EIF3K eye_score -0.18373238149589663 EIF3K
PDE6D eye_score -0.1826825127422746 PDE6D
MAFB eye_score -0.18171275773043763 MAFB
LGALS3 eye_score -0.179566822151348 LGALS3
eye_score UBB -0.1795306327478826 UBB
eye_score ACSF3 -0.17770311832289734 ACSF3
eye_score MPC2 -0.17767980267947678 MPC2
eye_score B3GALT6 -0.177657265442257 B3GALT6
eye_score IQCJ -0.17535870106010554 IQCJ
eye_score MOB2 -0.1746391273211297 MOB2
LOC108963639 eye_score -0.17425157617677833 LOC108963639
LOC103816923 eye_score -0.1738353131273781 LOC103816923
SLC51A eye_score -0.17345725404971626 SLC51A
LOC103824163 eye_score -0.17283630261493885 LOC103824163
DCSTAMP eye_score -0.17142550419918454 DCSTAMP
eye_score TNFRSF4 -0.17111779000558705 TNFRSF4
eye_score LOC103814975 -0.17004296304070146 LOC103814975
MRPS17 eye_score -0.16998762583330404 MRPS17
eye_score SH3GL3 -0.16943864447336185 SH3GL3
eye_score GATA3 -0.16928089211832564 GATA3
eye_score LIPE -0.16798807228108592 LIPE
eye_score HPGDS -0.1674449965782063 HPGDS
eye_score DOHH -0.16660759671819197 DOHH
eye_score MYCBP2 -0.1653183264864073 MYCBP2
eye_score PKIA -0.16454970867364985 PKIA
ST3GAL6 eye_score -0.16282583925234623 ST3GAL6
eye_score EFNB1 -0.16195306454277003 EFNB1
LOC103817214 eye_score -0.1618085987753115 LOC103817214
UBTD1 eye_score -0.16130728783973727 UBTD1
CCDC167 eye_score -0.15690483620609888 CCDC167
eye_score MED21 -0.1567606085983285 MED21
eye_score TMEM80 -0.15419255945454044 TMEM80
ATP5MPL eye_score -0.1532406331091074 ATP5MPL
M6PR eye_score -0.1526237186455254 M6PR
MYOF eye_score -0.15199148582067795 MYOF
eye_score LOC108962842 -0.1518569258816652 LOC108962842
GSTZ1 eye_score -0.1515869224820448 GSTZ1
eye_score PHF3 -0.1515308964739909 PHF3
eye_score EIF4E -0.15095916931529305 EIF4E
eye_score NOL9 -0.15093136079404312 NOL9
CHCHD5 eye_score -0.1504837269739399 CHCHD5
eye_score SUDS3 -0.1462922476831622 SUDS3
eye_score DNAH17 -0.14515603389930437 DNAH17
eye_score LOC108962897 -0.1449715785781762 LOC108962897
PLD4 eye_score -0.1443716455681369 PLD4
eye_score LOC103823240 -0.14335890058760314 LOC103823240
eye_score PGP -0.1431655372884589 PGP
eye_score LOC115485348 -0.14297909688951005 LOC115485348
MFSD2B eye_score -0.14280740778306983 MFSD2B
eye_score LOC103822717 -0.14207867248960823 LOC103822717
LOC103812448 eye_score -0.14187758026052516 LOC103812448
eye_score MPRIP -0.1385918979409582 MPRIP
eye_score LOC115483849 -0.13752179828105868 LOC115483849
eye_score MFSD1 -0.13739895809897187 MFSD1
LOC103823860 eye_score -0.1367382561161325 LOC103823860
eye_score CHGB -0.13553199866060905 CHGB
eye_score COQ9 -0.13475598419673848 COQ9
ELMOD3 eye_score -0.13375732825892997 ELMOD3
GDPD1 eye_score -0.1316952625615897 GDPD1
SMIM30 eye_score -0.13131611169171292 SMIM30
eye_score LOC108962366 -0.12721573695282543 LOC108962366
CMPK1 eye_score -0.12477231430763881 CMPK1
LOC103822424 eye_score -0.12470345884859148 LOC103822424
PSMB4 eye_score -0.12340071432210366 PSMB4
FYB1 eye_score -0.12261163383094441 FYB1
eye_score RNF7 -0.12224516840204258 RNF7
eye_score RTN4 -0.12072629121030276 RTN4
MRTO4 eye_score -0.11976244941236908 MRTO4
eye_score LOC103819290 -0.11946774993542673 LOC103819290
C1QB eye_score -0.11659746678349628 C1QB
eye_score TAF15 -0.11472097591131614 TAF15
eye_score YPEL5 -0.11326921433626984 YPEL5
PLEKHO1 eye_score -0.11245165256664827 PLEKHO1
eye_score LOC108963019 -0.11187001018485383 LOC108963019
MAIP1 eye_score -0.11062547092409741 MAIP1
eye_score LOC115484476 -0.11046533768511459 LOC115484476
LOC103822168 eye_score -0.11043013098390243 LOC103822168
eye_score PLA2G12A -0.11010760177107676 PLA2G12A
TSPAN33 eye_score -0.10980372406911038 TSPAN33
eye_score SBNO1 -0.10978553935850166 SBNO1
eye_score CDK17 -0.10945657434060105 CDK17
PDCD1LG2 eye_score -0.10897754787937067 PDCD1LG2
LOC103813335 eye_score -0.10820824416439717 LOC103813335
TPPP3 eye_score -0.10788929671686938 TPPP3
ARL4C eye_score -0.10756028886197463 ARL4C
PFDN1 eye_score -0.10714425638322571 PFDN1
THYN1 eye_score -0.10619831580695933 THYN1
eye_score LOC115485238 -0.10562927856343332 LOC115485238
ANXA5 eye_score -0.10560141434170464 ANXA5
eye_score CEP44 -0.10309679460997248 CEP44
PIKFYVE eye_score -0.10233957234454047 PIKFYVE
BCO1 eye_score -0.10167893680990914 BCO1
PLPP2 eye_score -0.10056580008679518 PLPP2
RCBTB1 eye_score -0.10032715159955692 RCBTB1
ANXA2 eye_score -0.0999335683348108 ANXA2
eye_score IMMP1L -0.09749236587259993 IMMP1L
eye_score MPC1 -0.0968624765046472 MPC1
eye_score LOC115484331 -0.09622791501136954 LOC115484331
eye_score ERI3 -0.09596248735070982 ERI3
eye_score PANK4 -0.09468079782475228 PANK4
eye_score IKZF5 -0.09433905022370875 IKZF5
eye_score LOC103822023 -0.09270344353960036 LOC103822023
RAD9A eye_score -0.09124310163385936 RAD9A
eye_score ARFRP1 -0.09064227413030473 ARFRP1
LOC103815912 eye_score -0.09056580045887468 LOC103815912
LOC108963568 eye_score -0.0890181931736861 LOC108963568
SPI1 eye_score -0.08260897977646507 SPI1
ITGA4 eye_score -0.08248740857339865 ITGA4
ADAP1 eye_score -0.08196148592117668 ADAP1
eye_score CPAMD8 -0.08130056898348013 CPAMD8
EEF1D eye_score -0.08091551752668083 EEF1D
MRPL44 eye_score -0.0802510421312551 MRPL44
eye_score UBR4 -0.0785129335798405 UBR4
eye_score BLM -0.07835416492936206 BLM
LOC103812320 eye_score -0.07831690790060977 LOC103812320
LOC103823014 eye_score -0.07605254985262429 LOC103823014
SYNDIG1L eye_score -0.07572352363332856 SYNDIG1L
LOC103814989 eye_score -0.07460295758469931 LOC103814989
ZSWIM5 eye_score -0.07437918660243394 ZSWIM5
eye_score UBE2G1 -0.0742248583678668 UBE2G1
eye_score LOC108964007 -0.07312640023283365 LOC108964007
LOC115483827 eye_score -0.07195994340769296 LOC115483827
MBOAT1 eye_score -0.07093233615579497 MBOAT1
LECT2 eye_score -0.06938225841041962 LECT2
TENT5A eye_score -0.06781224273550732 TENT5A
POU2F3 eye_score -0.06759312798910377 POU2F3
LOC108963450 eye_score -0.06691637695940221 LOC108963450
AP1S2 eye_score -0.0660291029987892 AP1S2
eye_score LOC115483983 -0.06367512171011462 LOC115483983
TTYH2 eye_score -0.06318172880154407 TTYH2
eye_score LOC103823000 -0.06315152987059942 LOC103823000
eye_score MBNL1 -0.06289932182079128 MBNL1
SRGN eye_score -0.0625630056703265 SRGN
LSP1 eye_score -0.06198492404968332 LSP1
LOC103824567 eye_score -0.06140658648845482 LOC103824567
eye_score LOC103821293 -0.06106455018220446 LOC103821293
PLBD1 eye_score -0.06101039805487871 PLBD1
IKZF1 eye_score -0.06089081794488912 IKZF1
eye_score LOC103817973 -0.06069155678412824 LOC103817973
SCARB2 eye_score -0.0604029169752832 SCARB2
IL17RC eye_score -0.05820973383034469 IL17RC
eye_score CIAPIN1 -0.0575950630426798 CIAPIN1
eye_score LOC103820762 -0.05714108914493078 LOC103820762
ARPC3 eye_score -0.05697216793089162 ARPC3
WDR6 eye_score -0.056771121668006096 WDR6
SH3TC2 eye_score -0.055348938110399176 SH3TC2
eye_score LOC103822941 -0.055338653837928554 LOC103822941
LOC115484911 eye_score -0.05364080648562106 LOC115484911
MMD eye_score -0.05316175302951058 MMD
TLR2 eye_score -0.05283388757743724 TLR2
BAK1 eye_score -0.051423562911981864 BAK1
MILR1 eye_score -0.05108412400250444 MILR1
OAF eye_score -0.05104899611357937 OAF
LYZ eye_score -0.04933335747623647 LYZ
CMTM7 eye_score -0.04905407433166082 CMTM7
SELENOM eye_score -0.04847487358044246 SELENOM
LOC115485484 eye_score -0.048467900126989864 LOC115485484
CD81 eye_score -0.048433431303699544 CD81
eye_score PRKRIP1 -0.04838631507530529 PRKRIP1
SPCS2 eye_score -0.04770263959491693 SPCS2
NFAM1 eye_score -0.04755248872793165 NFAM1
H6PD eye_score -0.04606721067827031 H6PD
PLXNC1 eye_score -0.044365690217691774 PLXNC1
LOC103812980 eye_score -0.043835809205302396 LOC103812980
eye_score LOC108964002 -0.04361656060464516 LOC108964002
RASSF2 eye_score -0.043162244255515084 RASSF2
PSPH eye_score -0.04311072565924571 PSPH
eye_score EZH1 -0.04239415771693637 EZH1
eye_score LOC108964017 -0.04178269485056711 LOC108964017
MAPKAPK2 eye_score -0.04146590255854986 MAPKAPK2
TXNDC17 eye_score -0.04126274873695152 TXNDC17
WNK4 eye_score -0.04118952503435421 WNK4
PCM1 eye_score -0.040458939361050064 PCM1
eye_score ATP7A -0.04045674010159552 ATP7A
RASD1 eye_score -0.03988389911298809 RASD1
HIF1A eye_score -0.03845393528360712 HIF1A
eye_score FAM98A -0.03838476645462394 FAM98A
STT3B eye_score -0.037158529770889966 STT3B
LOC115484251 eye_score -0.036607690454702156 LOC115484251
PTGR1 eye_score -0.03646718974606878 PTGR1
KTN1 eye_score -0.03597827304105569 KTN1
CD164 eye_score -0.03388864719844895 CD164
CSF1R eye_score -0.03356793505776725 CSF1R
eye_score LOC103813361 -0.03260648568855809 LOC103813361
LOC103819062 eye_score -0.03232884244976527 LOC103819062
eye_score LOC103813337 -0.03144202128723641 LOC103813337
eye_score LOC108963942 -0.031023806095887205 LOC108963942
OSTF1 eye_score -0.030722789825990793 OSTF1
ADI1 eye_score -0.030597281620059785 ADI1
MSN eye_score -0.029564561719133343 MSN
UBAC2 eye_score -0.02907162982026555 UBAC2
LOC103824795 eye_score -0.02820495626112792 LOC103824795
eye_score NSMCE1 -0.027630365299481974 NSMCE1
LOC108962686 eye_score -0.02750100478420674 LOC108962686
PIK3R5 eye_score -0.027238548051455758 PIK3R5
ZDHHC16 eye_score -0.027233715225946954 ZDHHC16
eye_score CCDC186 -0.027149520284938188 CCDC186
eye_score LOC103824771 -0.026829428240595133 LOC103824771
CMTM3 eye_score -0.026810222216662398 CMTM3
eye_score FBXW4 -0.026775323293488026 FBXW4
eye_score LOC115485060 -0.026308459000176768 LOC115485060
RAB3IL1 eye_score -0.025758281307839567 RAB3IL1
ASAH1 eye_score -0.024729403390038256 ASAH1
JPH1 eye_score -0.024007182613778124 JPH1
eye_score LOC103822492 -0.02327944270053045 LOC103822492
TBCEL eye_score -0.022748616426037913 TBCEL
LGMN eye_score -0.02185612531461802 LGMN
LOC115484742 eye_score -0.020362675601362155 LOC115484742
eye_score KCTD20 -0.02012629965597232 KCTD20
eye_score TOM1 -0.019340406654323232 TOM1
BMF eye_score -0.019286377368409522 BMF
eye_score FBXO7 -0.018844817987679792 FBXO7
SLC39A1 eye_score -0.018660086107808064 SLC39A1
EIF6 eye_score -0.018448486303191104 EIF6
GLRX2 eye_score -0.018092166630942326 GLRX2
eye_score POLL -0.016978176244518275 POLL
eye_score LOC103824924 -0.016573154173554483 LOC103824924
PRKCZ eye_score -0.016336639896759743 PRKCZ
LOC103825781 eye_score -0.015144054731019799 LOC103825781
LOC103818852 eye_score -0.013815114160799223 LOC103818852
PLAC8 eye_score -0.013612076929955818 PLAC8
eye_score LOC115485176 -0.013483871201926389 LOC115485176
TFEC eye_score -0.013048511820756385 TFEC
eye_score ATF6 -0.012800416525899977 ATF6
eye_score CH25H -0.012768662767274308 CH25H
