ID,Day,Date,ES
Blue 049,0,1/13/20,0
Orange 24,0,1/13/20,0
161.LS,0,1/13/20,0
48,0,1/13/20,0
Blue 043,0,1/13/20,0
Blue 035,0,1/13/20,0
Blue 042,0,1/13/20,0
Blue 049,1,1/14/20,0
Orange 24,1,1/14/20,0
48,1,1/14/20,0
Blue 043,1,1/14/20,0
Blue 045,1,1/14/20,0
Blue 042,1,1/14/20,0
Blue 049,3,1/16/20,0
Orange 24,3,1/16/20,0
48,3,1/16/20,0
Blue 043,3,1/16/20,2
Blue 035,3,1/16/20,5
Blue 042,3,1/16/20,3
Blue 049,5,1/18/20,0
Orange 24,5,1/18/20,0
48,5,1/18/20,0
Blue 043,5,1/18/20,5.5
Blue 035,5,1/18/20,6
Blue 042,5,1/18/20,3
Blue 049,7,1/20/20,0
Orange 24,7,1/20/20,0
48,7,1/20/20,0
Blue 043,7,1/20/20,5.5
Blue 035,7,1/20/20,6
Blue 042,7,1/20/20,3
Blue 049,10,1/23/20,0
Orange 24,0,1/23/20,0
48,10,1/23/20,0
Blue 043,10,1/23/20,4
Blue 035,10,1/23/20,3
Blue 042,10,1/23/20,5
Blue 049,14,1/27/20,0
Orange 24,14,1/27/20,0
48,14,1/27/20,0
Blue 043,14,1/27/20,2.5
Blue 035,14,1/27/20,1
Blue 042,14,1/27/20,0.5
Blue 049,16,1/29/20,0
Orange 24,16,1/29/20,0
48,16,1/29/20,0
Blue 043,16,1/29/20,1.5
Blue 035,16,1/29/20,1
Blue 042,16,1/29/20,0.5
Blue 049,18,1/31/20,0
Orange 24,18,1/31/20,0
48,18,1/31/20,0
Blue 043,18,1/31/20,2
Blue 035,18,1/31/20,0.5
Blue 042,18,1/31/20,0.5
Blue 049,21,2/3/20,0
Orange 24,21,2/3/20,0
48,21,2/3/20,0
Blue 043,21,2/3/20,1.5
Blue 035,21,2/3/20,0.5
Blue 042,21,2/3/20,0
Blue 049,23,2/5/20,0
Orange 24,23,2/5/20,0
48,23,2/5/20,0
Blue 043,23,2/5/20,1
Blue 035,23,2/5/20,0.5
Blue 042,23,2/5/20,0
Blue 049,25,2/7/20,0
Orange 24,25,2/7/20,0
48,25,2/7/20,0
Blue 043,25,2/7/20,1
Blue 035,25,2/7/20,0
Blue 042,25,2/7/20,0
Blue 049,28,2/10/20,0
Orange 24,28,2/10/20,0
48,28,2/10/20,0
Blue 043,28,2/10/20,1
Blue 035,28,2/10/20,0
Blue 042,28,2/10/20,0
Blue 049,30,2/12/20,0
48,30,2/12/20,0
Blue 043,30,2/12/20,0
Blue 035,30,2/12/20,0
Blue 042,30,2/12/20,0
Blue 049,32,2/14/20,0
48,32,2/14/20,0
Blue 043,32,2/14/20,0
Blue 035,32,2/14/20,0
Blue 042,32,2/14/20,0
Blue 049,35,2/17/20,0
48,35,2/17/20,0
Blue 043,35,2/17/20,0
Blue 035,35,2/17/20,0
Blue 042,35,2/17/20,0
Blue 024,0,43885,0
Blue 039,0,43885,0
Blue 045,0,43885,0
Blue 032,0,43885,0
Blue 015,0,43885,0
Blue 055,0,43885,0
101.LS,0,43885,0
Blue 031,0,43885,0
Blue 004,0,43885,5
Blue 037,0,43885,0
Blue 024,1,43886,0
Blue 039,1,43886,0
Blue 045,1,43886,0
Blue 032,1,43886,0
Blue 015,1,43886,0
Blue 055,1,43886,0
101.LS,1,43886,0
Blue 031,1,43886,0
Blue 037,1,43886,0
Blue 024,3,43888,0
Blue 039,3,43888,0
Blue 045,3,43888,2.5
Blue 032,3,43888,4.5
Blue 015,3,43888,1.5
Blue 055,3,43888,6
101.LS,3,43888,4
Blue 031,3,43888,4
Blue 037,3,43888,1.5
Blue 024,5,43890,0
Blue 039,5,43890,0
Blue 045,5,43890,5
Blue 032,5,43890,5.5
Blue 015,5,43890,6
Blue 055,5,43890,6
101.LS,5,43890,6
Blue 031,5,43890,6
Blue 037,5,43890,4.5
Blue 024,7,43892,0
Blue 039,7,43892,0
Blue 045,7,43892,5
Blue 032,7,43892,4
Blue 015,7,43892,6
Blue 055,7,43892,6
101.LS,7,43892,6
Blue 031,7,43892,6
Blue 037,7,43892,5
Blue 098,0,43892,0
Blue 013,0,43892,0
Blue 098,1,43893,0
Blue 013,1,43893,0
Blue 098,3,43895,0
Blue 013,3,43895,0
Blue 024,10,43895,0
Blue 039,10,43895,0
Blue 045,10,43895,2.5
Blue 032,10,43895,1
Blue 015,10,43895,6
Blue 055,10,43895,4.5
101.LS,10,43895,4.5
Blue 031,10,43895,5.5
Blue 037,10,43895,1
Blue 098,5,43897,0
Blue 013,5,43897,0
Blue 098,7,43899,0
Blue 013,7,43899,0
Blue 024,14,43899,0
Blue 039,14,43899,0
Blue 045,14,43899,0
Blue 032,14,43899,0
Blue 015,14,43899,4.5
Blue 055,14,43899,4
101.LS,14,43899,3.5
Blue 031,14,43899,4.5
Blue 037,14,43899,0.5
Blue 024,16,43901,0
Blue 039,16,43901,0
Blue 045,16,43901,0
Blue 032,16,43901,0
101-LS,16,43901,2.5
Blue 031,16,43901,4
Blue 037,16,43901,0.5
Blue 015,16,43901,5
Blue 055,16,43901,3
Blue 098,10,43902,0
Blue 013,10,43902,0
Blue 024,18,43903,0
Blue 039,18,43903,0
Blue 045,18,43903,0
Blue 032,18,43903,0
101-LS,18,43903,2
Blue 031,18,43903,3
Blue 037,18,43903,0.5
Blue 015,18,43903,4.5
Blue 055,18,43903,3
Blue 098,14,43906,0
Blue 013,14,43906,0
Blue 024,21,43906,0
Blue 039,21,43906,0
Blue 045,21,43906,0
Blue 032,21,43906,0
101-LS,21,43906,2
Blue 031,21,43906,3
Blue 037,21,43906,1
Blue 015,21,43906,4
601,-1,43906,0
SEM19 1354,-1,43906,0
618,-1,43906,0
Blue 047,-1,43906,0
172,-1,43906,0
617,-1,43906,0
SEM19 74,-1,43906,0
619,-1,43906,0
106,-1,43906,0
172,1,43908,0
613,1,43908,0
Blue 098,16,43908,0
Blue 013,16,43908,0
Blue 024,23,43908,0
Blue 039,23,43908,0
Blue 047,1,43908,0
601,1,43908,0
SEM19 1354,1,43908,0
618,1,43908,0
101-LS,23,43908,1
Blue 031,23,43908,3
Blue 015,23,43908,4
Blue 037,23,43908,0
Blue 045,23,43908,0
Blue 032,23,43908,0
106,1,43908,0
619,1,43908,0
SEM19 74,1,43908,0
601,3,43910,0
Blue 047,3,43910,0
SEM19 1354,3,43910,0
618,3,43910,0
172,3,43910,0
617,3,43910,0
Blue 098,18,43910,0
Blue 013,18,43910,0
Blue 024,25,43910,0
Blue 039,25,43910,0
106,3,43910,6
619,3,43910,1
SEM19 74,3,43910,2.5
101-LS,25,43910,0.5
Blue 037,25,43910,0.5
Blue 015,25,43910,3
Blue 031,25,43910,3
Blue 045,25,43910,0
Blue 032,25,43910,0
601,5,43912,0
Blue 047,5,43912,0
SEM19 1354,5,43912,0
618,5,43912,0
172,5,43912,0
617,5,43912,0
106,5,43912,6
619,5,43912,4
SEM19 74,5,43912,6
Blue 098,21,43913,0
Nlue 013,21,43913,0
Blue 024,28,43913,0
Blue 039,28,43913,0
101-LS,28,43913,0
Blue 037,28,43913,0.5
Blue 015,28,43913,3
Blue 031,28,43913,3
Blue 045,28,43913,0
Blue 032,28,43913,0
601,7,43914,0
Blue 047,7,43914,0
SEM19 1354,7,43914,0
618,7,43914,0
172,7,43914,0
617,7,43914,0
106,7,43914,6
619,7,43914,4
SEM19 74,7,43914,6
Blue 098,23,43915,0
Nlue 013,23,43915,0
Blue 024,30,43915,0
Blue 039,30,43915,0
101-LS,30,43915,0
Blue 037,30,43915,0
Blue 015,30,43915,3
Blue 031,30,43915,2.5
Blue 045,30,43915,0
Blue 032,30,43915,0
601,10,43917,0
Blue 047,10,43917,0
SEM19 1354,10,43917,0
618,10,43917,0
172,10,43917,0
617,10,43917,0
106,10,43917,6
619,10,43917,1.5
SEM19 74,10,43917,4.5
Blue 098,25,43917,0
Blue 013,25,43917,0
Blue 024,32,43917,0
Blue 039,32,43917,0
101-LS,32,43917,0
Blue 037,32,43917,0
Blue 015,32,43917,3
Blue 031,32,43917,2.5
Blue 045,32,43917,0
Blue 032,32,43917,0
Blue 098,28,43920,0
Blue 013,28,43920,0
Blue 024,35,43920,0
Blue 039,35,43920,0
101-LS,35,43920,0
Blue 037,35,43920,0
Blue 015,35,43920,2.5
Blue 032,35,43920,0
Blue 045,35,43920,0
601,14,43921,0
Blue 047,14,43921,0
SEM19 1354,14,43921,0
618,14,43921,0
172,14,43921,0
617,14,43921,0
619,14,43921,0
SEM19 74,14,43921,0.5
Blue 098,30,43922,0
Blue 013,30,43922,0
Blue 024,37,43922,0
Blue 039,37,43922,0
101-LS,37,43922,0
Blue 037,37,43922,0
Blue 015,37,43922,2
Blue 032,37,43922,0
Blue 045,37,43922,0
601,16,43923,0
Blue 047,16,43923,0
SEM19 1354,16,43923,0
618,16,43923,0
172,16,43923,0
617,16,43923,0
619,16,43923,0
SEM19 74,16,43923,0.5
Blue 098,32,43924,0
Blue 013,32,43924,0
601,18,43925,0
Blue 047,18,43925,0
SEM19 1354,18,43925,0
618,18,43925,0
172,18,43925,0
617,18,43925,0
619,18,43925,0
SEM19 74,18,43925,0.5
Blue 098,35,43927,0
Blue 013,35,43927,0
601,21,43928,0
Blue 047,21,43928,0
SEM19 1354,21,43928,0
618,21,43928,0
172,21,43928,0
617,21,43928,0
619,21,43928,0
SEM19 74,21,43928,0
601,23,43930,0
Blue 047,23,43930,0
SEM19 1354,23,43930,0
618,23,43930,0
172,23,43930,0
617,23,43930,0
619,23,43930,0
SEM19 74,23,43930,0
601,25,43932,0
Blue 047,25,43932,0
SEM19 1354,25,43932,0
618,25,43932,0
172,25,43932,0
617,25,43932,0
619,25,43932,0
SEM19 74,25,43932,0
601,28,43935,0
Blue 047,28,43935,0
SEM19 1354,28,43935,0
618,28,43935,0
172,28,43935,0
617,28,43935,0
619,28,43935,0
SEM19 74,28,43935,0
601,30,43937,0
Blue 047,30,43937,0
SEM19 1354,30,43937,0
618,30,43937,0
172,30,43937,0
617,30,43937,0
619,30,43937,0
SEM19 74,30,43937,0
601,32,43939,0
Blue 047,32,43939,0
SEM19 1354,32,43939,0
618,32,43939,0
172,32,43939,0
617,32,43939,0
619,32,43939,0
SEM19 74,32,43939,0
601,35,43942,0
Blue 047,35,43942,0
SEM19 1354,35,43942,0
618,35,43942,0
172,35,43942,0
617,35,43942,0
619,35,43942,0
SEM19 74,35,43942,0
615,0,43962,0
Blue 010,0,43962,0
Blue 050,0,43962,0
SEM19.140,0,43962,0
625,0,43962,0
164,0,43962,0
Orange 27,0,43962,0
SEM19.76,0,43962,0
209,0,43962,0
SEM19.1481,0,43962,0
LD 19 239,0,43962,0
610,0,43962,0
SEM19.107,0,43962,0
AR17.21 ,0,43962,0
615,1,43963,0
Blue 010,1,43963,0
Blue 050,1,43963,0
SEM19.140,1,43963,0
625,1,43963,0
164,1,43963,0
Orange 27,1,43963,1
SEM19.76,1,43963,0
209,1,43963,2
SEM19.1481,1,43963,0
LD 19 239,1,43963,0
610,1,43963,0
SEM19.107,1,43963,0
AR17.21 ,1,43963,0
615,3,43965,0
Blue 010,3,43965,0
Blue 050,3,43965,0
SEM19.140,3,43965,0
625,3,43965,0
164,3,43965,0
Orange 27,3,43965,0
SEM19.76,3,43965,3
209,3,43965,2.5
SEM19.1481,3,43965,0
LD 19 239,3,43965,0.5
610,3,43965,4
SEM19.107,3,43965,0
AR17.21 ,3,43965,3
615,5,43967,0
Blue 010,5,43967,0
Blue 050,5,43967,0
SEM19.140,5,43967,0
625,5,43967,0
164,5,43967,0
Orange 27,5,43967,2.5
SEM19.76,5,43967,4.5
209,5,43967,3.5
SEM19.1481,5,43967,3
LD 19 239,5,43967,4
610,5,43967,5
SEM19.107,5,43967,6
AR17.21 ,5,43967,6
615,7,43969,0
Blue 010,7,43969,0
Blue 050,7,43969,0
SEM19.140,7,43969,0
625,7,43969,0
164,7,43969,0
Orange 27,7,43969,0.5
SEM19.76,7,43969,5
209,7,43969,6
SEM19.1481,7,43969,4.5
LD 19 239,7,43969,4
610,7,43969,2.5
SEM19.107,7,43969,6
AR17.21 ,7,43969,4
615,10,43972,0
Blue 010,10,43972,0
Blue 050,10,43972,0
SEM19.140,10,43972,0
625,10,43972,0
164,10,43972,0
Orange 27,10,43972,2
SEM19.76,10,43972,5
209,10,43972,5.5
SEM19.1481,10,43972,4.5
LD 19 239,10,43972,4
610,10,43972,1.5
SEM19.107,10,43972,6
AR17.21 ,10,43972,4
615,14,43976,0
Blue 010,14,43976,0
Blue 050,14,43976,0
SEM19.140,14,43976,0
625,14,43976,0
164,14,43976,0
SEM19.76,14,43976,4
209,14,43976,2
SEM19.1481,14,43976,0
LD 19 239,14,43976,0
610,14,43976,0
SEM19.107,14,43976,2.5
AR17.21 ,14,43976,1
615,16,43978,0
Blue 010,16,43978,0
Blue 050,16,43978,0
SEM19.140,16,43978,0
625,16,43978,0
164,16,43978,0
SEM19.76,16,43978,4
209,16,43978,2
SEM19.1481,16,43978,0
LD 19 239,16,43978,0
610,16,43978,0
SEM19.107,16,43978,2
AR17.21 ,16,43978,1
615,18,43980,0
Blue 010,18,43980,0
Blue 050,18,43980,0
SEM19.140,18,43980,0
625,18,43980,0
164,18,43980,0
SEM19.76,18,43980,4
209,18,43980,2
SEM19.1481,18,43980,0
LD 19 239,18,43980,0
610,18,43980,0
SEM19.107,18,43980,2
AR17.21 ,18,43980,0.5
615,21,43983,0
Blue 010,21,43983,0
Blue 050,21,43983,0
SEM19.140,21,43983,0
625,21,43983,0
164,21,43983,0
SEM19.76,21,43983,2
209,21,43983,1
SEM19.1481,21,43983,0
LD 19 239,21,43983,0
610,21,43983,0
SEM19.107,21,43983,1
AR17.21 ,21,43983,0
615,23,43985,0
Blue 010,23,43985,0
Blue 050,23,43985,0
SEM19.140,23,43985,0
625,23,43985,0
164,23,43985,0
SEM19.76,23,43985,2
209,23,43985,1
SEM19.1481,23,43985,0
LD 19 239,23,43985,0
610,23,43985,0
SEM19.107,23,43985,1
AR17.21 ,23,43985,0
615,25,43987,0
Blue 010,25,43987,0
Blue 050,25,43987,0
SEM19.140,25,43987,0
625,25,43987,0
164,25,43987,0
SEM19.76,25,43987,2
209,25,43987,1
SEM19.1481,25,43987,0
LD 19 239,25,43987,0
610,25,43987,0
SEM19.107,25,43987,1
AR17.21 ,25,43987,0
615,28,43990,0
Blue 010,28,43990,0
Blue 050,28,43990,0
SEM19.140,28,43990,0
625,28,43990,0
SEM19.76,28,43990,1.5
209,28,43990,0.5
SEM19.1481,28,43990,0
LD 19 239,28,43990,0
610,28,43990,0
SEM19.107,28,43990,0
AR17.21 ,28,43990,0
164,28,43990,0
615,30,43992,0
Blue 010,30,43992,0
Blue 050,30,43992,0
SEM19.140,30,43992,0
625,30,43992,0
164,30,43992,0
SEM19.76,30,43992,1.5
209,30,43992,0.5
SEM19.1481,30,43992,0
LD 19 239,30,43992,0
610,30,43992,0
SEM19.107,30,43992,0
AR17.21 ,30,43992,0
615,32,43994,0
Blue 010,32,43994,0
Blue 050,32,43994,0
SEM19.140,32,43994,0
625,32,43994,0
164,32,43994,0
SEM19.76,32,43994,1
209,32,43994,0.5
SEM19.1481,32,43994,0
LD 19 239,32,43994,0
610,32,43994,0
SEM19.107,32,43994,0
AR17.21 ,32,43994,0
615,35,43997,0
Blue 010,35,43997,0
Blue 050,35,43997,0
SEM19.140,35,43997,0
625,35,43997,0
164,35,43997,0
SEM19.76,35,43997,0
209,35,43997,0
SEM19.1481,35,43997,0
LD 19 239,35,43997,0
610,35,43997,0
SEM19.107,35,43997,0
AR17.21 ,35,43997,0
