ID,Day,Date,ES
Blue 049,0,1/13/20,0
Orange 24,0,1/13/20,0
161 - LS,0,1/13/20,0
48,0,1/13/20,0
Blue 043,0,1/13/20,0
Blue 035,0,1/13/20,0
Blue 042,0,1/13/20,0
Blue 049,1,1/14/20,0
Orange 24,1,1/14/20,0
48,1,1/14/20,0
Blue 043,1,1/14/20,0
Blue 045,1,1/14/20,0
Blue 042,1,1/14/20,0
Blue 049,3,1/16/20,0
Orange 24,3,1/16/20,0
48,3,1/16/20,0
Blue 043,3,1/16/20,2
Blue 035,3,1/16/20,5
Blue 042,3,1/16/20,3
Blue 049,5,1/18/20,0
Orange 24,5,1/18/20,0
48,5,1/18/20,0
Blue 043,5,1/18/20,5.5
Blue 035,5,1/18/20,6
Blue 042,5,1/18/20,3
Blue 049,7,1/20/20,0
Orange 24,7,1/20/20,0
48,7,1/20/20,0
Blue 043,7,1/20/20,5.5
Blue 035,7,1/20/20,6
Blue 042,7,1/20/20,3
Blue 049,10,1/23/20,0
Orange 24,10,1/23/20,0
48,10,1/23/20,0
Blue 043,10,1/23/20,4
Blue 035,10,1/23/20,3
Blue 042,10,1/23/20,5
Blue 049,14,1/27/20,0
Orange 24,14,1/27/20,0
48,14,1/27/20,0
Blue 043,14,1/27/20,2.5
Blue 035,14,1/27/20,1
Blue 042,14,1/27/20,0.5
Blue 049,16,1/29/20,0
Orange 24,16,1/29/20,0
48,16,1/29/20,0
Blue 043,16,1/29/20,1.5
Blue 035,16,1/29/20,1
Blue 042,16,1/29/20,0.5
Blue 049,18,1/31/20,0
Orange 24,18,1/31/20,0
48,18,1/31/20,0
Blue 043,18,1/31/20,2
Blue 035,18,1/31/20,0.5
Blue 042,18,1/31/20,0.5
Blue 049,21,2/3/20,0
Orange 24,21,2/3/20,0
48,21,2/3/20,0
Blue 043,21,2/3/20,1.5
Blue 035,21,2/3/20,0.5
Blue 042,21,2/3/20,0
Blue 049,23,2/5/20,0
Orange 24,23,2/5/20,0
48,23,2/5/20,0
Blue 043,23,2/5/20,1
Blue 035,23,2/5/20,0.5
Blue 042,23,2/5/20,0
Blue 049,25,2/7/20,0
Orange 24,25,2/7/20,0
48,25,2/7/20,0
Blue 043,25,2/7/20,1
Blue 035,25,2/7/20,0
Blue 042,25,2/7/20,0
Blue 049,28,2/10/20,0
Orange 24,28,2/10/20,0
48,28,2/10/20,0
Blue 043,28,2/10/20,1
Blue 035,28,2/10/20,0
Blue 042,28,2/10/20,0
Blue 049,30,2/12/20,0
48,30,2/12/20,0
Blue 043,30,2/12/20,0
Blue 035,30,2/12/20,0
Blue 042,30,2/12/20,0
Blue 049,32,2/14/20,0
48,32,2/14/20,0
Blue 043,32,2/14/20,0
Blue 035,32,2/14/20,0
Blue 042,32,2/14/20,0
Blue 049,35,2/17/20,0
48,35,2/17/20,0
Blue 043,35,2/17/20,0
Blue 035,35,2/17/20,0
Blue 042,35,2/17/20,0
