ID,Treatment,Diet,day,load,logLoad
610,MG,protein,3,138729281.6,8.142168141
610,MG,protein,7,3922888.658,6.593606093
610,MG,protein,14,0,0
610,MG,protein,21,0,0
615,Control,protein,14,0,0
101-LS,MG,lipid,3,105616736.9,8.02373275
101-LS,MG,lipid,7,38175136.24,7.581780607
101-LS,MG,lipid,14,0,0
101-LS,MG,lipid,21,0,0
Blue-098,Control,lipid,7,0,0
Blue-098,Control,lipid,14,0,0
Blue-098,Control,lipid,21,0,0
Blue-098,Control,lipid,3,88161.65615,4.945284666
Blue-010,Control,lipid,14,0,0
Blue-013,Control,protein,7,1120401.653,6.049374128
Blue-013,Control,protein,14,0,0
Blue-013,Control,protein,21,0,0
Blue-013,Control,protein,21,0,0
Blue-015,MG,lipid,3,15281101.24,7.184154682
Blue-015,MG,lipid,7,5523349.225,6.742202582
Blue-015,MG,lipid,14,0,0
Blue-015,MG,lipid,21,0,0
Blue-031,MG,lipid,3,55446403.53,7.743873389
Blue-031,MG,lipid,7,20041085.07,7.301921253
Blue-031,MG,lipid,14,0,0
Blue-031,MG,lipid,21,31866.00281,4.503341219
Blue-032,MG,protein,7,2802487.006,6.447543763
Blue-035,MG,protein,3,105616736.9,8.02373275
Blue-035,MG,protein,7,38175136.24,7.581780607
Blue-035,MG,protein,21,0,0
Blue-035,MG,protein,14,0,0
Blue-037,MG,protein,3,55446403.53,7.743873389
Blue-037,MG,protein,7,10521117.42,7.022061909
Blue-037,MG,protein,14,24297.4676,4.385578885
Blue-037,MG,protein,21,24297.4676,4.385578885
Blue-037,MG,protein,35,0,0
Blue-042,MG,protein,7,20041085.07,7.301921253
Blue-042,MG,protein,21,0,0
Blue-042,MG,protein,3,105616736.9,8.02373275
Blue-042,MG,protein,14,0,0
Blue-043,MG,lipid,3,55446403.53,7.743873389
Blue-043,MG,lipid,7,20041085.07,7.301921253
Blue-043,MG,lipid,14,24297.4676,4.385578885
Blue-043,MG,lipid,21,8364.466195,3.922490149
Blue-043,MG,lipid,35,0,0
Blue-45,MG,protein,3,105616736.9,8.02373275
Blue-45,MG,protein,7,55446403.53,7.743873389
Blue-45,MG,protein,14,46282.88003,4.665429759
Blue-45,MG,protein,21,0,0
Blue-055,MG,lipid,3,383222918.3,8.583451475
Blue-055,MG,lipid,7,55446403.53,7.743873389
Blue-055,MG,lipid,14,1160692.549,6.064717571
SEM19-76,MG,lipid,3,242868048.4,8.385370385
SEM19-76,MG,lipid,7,153562597.5,8.186285452
SEM19-76,MG,lipid,14,0,0
SEM19-76,MG,lipid,21,0,0
SEM19-107,MG,protein,3,283207562.2,8.452104847
SEM19-107,MG,protein,7,1120365291,9.049359646
SEM19-107,MG,protein,14,11442220.47,7.05851035
SEM19-107,MG,protein,21,0,0
SEM19-140,Control,lipid,14,0,0
SEM19-1481,MG,lipid,3,45265269.66,7.655765122
SEM19-1481,MG,lipid,7,22173201.5,7.345828423
SEM19-1481,MG,lipid,14,2892381.075,6.461255661
SEM19-1481,MG,lipid,21,0,0
