gene	MGpost0	MGLpost0	MGPpost0	DietIfpost0
AAAS	0.080662391	0.514738967	-0.353414185	0.775011575
AACS	0.130790694	0.291048887	-0.029467499	-0.2903109
AADAT	0.396725686	0.603328489	0.190122884	0.02105909
AAGAB	-0.077874501	0.098829281	-0.254578284	0.133018853
AAK1	-0.10744809	-0.238414611	0.023518431	-0.125067498
AAMDC	-0.109578012	-0.0994439	-0.119712123	0.133453947
AAMP	-0.023822325	-0.079250427	0.031605776	-0.055443798
AANAT	-0.367602816	-1.185520074	0.450314443	-0.473140505
AAR2	-0.121828036	-0.211536966	-0.032119107	-0.03634105
AARS1	-0.104901729	-0.184009772	-0.025793686	0.088992852
AARS2	0.086298948	0.228687455	-0.05608956	-0.000266292
AASDH	0.117647612	0.123534856	0.111760369	0.043720045
AASS	0.543717283	0.302881237	0.784553329	-0.168277577
AATF	0.580508328	1.241395981	-0.080379326	0.185618778
ABAT	0.405526403	0.356504435	0.454548371	-0.114673028
ABCA1	0.03302517	0.077415084	-0.011364744	0.103025718
ABCA2	0.23201109	0.269506861	0.194515319	-0.047404237
ABCA3	0.179334048	0.232041221	0.126626875	0.078932479
ABCA5	0.175668379	0.156852612	0.194484145	-0.086124623
ABCA7	0.107796282	0.195571595	0.02002097	-0.050937493
ABCB1	-0.047528996	0.02977455	-0.124832542	-0.008688814
ABCB10	-0.182238526	0.014993253	-0.379470305	0.252081078
ABCB6	-0.098948971	-0.117393524	-0.080504419	-0.008365571
ABCB7	-0.237308666	-0.1634133	-0.311204032	0.17839407
ABCB8	0.336054222	0.591033028	0.081075416	0.293051979
ABCB9	-0.170909188	-0.113096767	-0.228721609	0.031478496
ABCC2	-0.212678755	-0.401956165	-0.023401344	-0.152288202
ABCC3	0.325620489	0.462951608	0.18828937	0.257627559
ABCC4	0.259647805	0.146764375	0.372531235	-0.181130694
ABCC5	-0.042767519	0.035059501	-0.120594539	0.028052946
ABCD2	0.341259658	0.336410801	0.346108515	0.028146378
ABCD3	-0.030814781	0.086279905	-0.147909467	0.125714893
ABCD4	-0.166424183	-0.302649026	-0.03019934	-0.152149393
ABCE1	-0.153293598	-0.123594663	-0.182992532	0.006160864
ABCG4	-0.22971899	-0.462079533	0.002641554	-0.198621737
ABHD10	0.138225114	0.134855108	0.14159512	0.108332155
ABHD11	0.175103693	0.1163128	0.233894586	-0.022076667
ABHD12	-0.237259075	-0.271987162	-0.202530987	0.086778291
ABHD12B	0.522662579	0.695418547	0.34990661	0.065029527
ABHD13	0.055750213	0.123660511	-0.012160085	0.034931708
ABHD14A	0.589950845	0.712052371	0.467849318	0.05982833
ABHD17A	-0.025782146	-0.025818341	-0.025745951	0.010066638
ABHD17B	-0.278510952	-0.479294973	-0.07772693	-0.077837587
ABHD17C	0.20274378	0.354405977	0.051081583	0.036361049
ABHD18	-0.107024201	0.037994567	-0.25204297	0.02052301
ABHD2	-0.05719046	-0.028891394	-0.085489526	0.098241076
ABHD3	0.113572289	-0.180824691	0.407969269	0.03389118
ABHD5	0.213377151	0.410673132	0.01608117	0.220424859
ABHD6	-0.423593018	-0.515351996	-0.331834039	-0.218026695
ABI1	0.192697869	0.36464012	0.020755618	0.188892205
ABI2	-0.11220116	-0.410974456	0.186572136	-0.023175095
ABITRAM	0.378171498	0.391518304	0.364824693	0.065271014
ABL1	0.289832721	0.416555341	0.163110102	0.068030705
