"","logFC","logCPM","F","PValue","FDR"
"LOC108963729",6.11561185976069,1.46789656888688,12.1697649503387,0.000794003392925251,0.999959662095497
"BGLAP",5.78105938174226,2.94402777254342,11.6172931823711,0.00098901415262386,0.999959662095497
"LOC115484512",3.91471865613604,2.08024677089249,10.2440463724981,0.00186130573954584,0.999959662095497
"LOC115485176",4.21648891400426,1.54111885621265,9.88359170946467,0.00222129722875303,0.999959662095497
"LOC108963622",-2.98441419069286,1.32951201320546,10.3154906789643,0.00239684975055123,0.999959662095497
"LOC115484232",-7.84190267290698,1.60850783138759,8.57964110658993,0.00457325996355105,0.999959662095497
"LOC115484047",-4.39565307434563,1.33995956958956,8.41431576268471,0.00467120962340935,0.999959662095497
"LOC115484870",-3.10788190948013,1.12425303540001,7.92035090044059,0.013242853204291,0.999959662095497
"LOC115483903",10.0938076149707,2.24746905555239,6.43006728217202,0.0141100848754702,0.999959662095497
"LOC115483902",-5.33209809979654,2.12866769097054,6.20197373988386,0.0146244535294417,0.999959662095497
"LOC108962189",2.61696811685145,1.22288138378376,5.60089742042746,0.0199664008809819,0.999959662095497
"UBP1",-0.246491206791839,6.33713473415707,5.7903376725062,0.0238231808345269,0.999959662095497
"LOC115484574",3.08452519309299,1.14690309765042,5.16250619317926,0.0261252014079934,0.999959662095497
"LOC115485088",-1.05718102559508,4.91416925452691,5.09431863088857,0.0262793112715536,0.999959662095497
"LOC108963993",0.842123185107226,7.0524717511934,5.07900455338145,0.0265002193012332,0.999959662095497
"LOC103824829",0.414526534024614,4.52253450214465,5.99970727848701,0.0281781044524349,0.999959662095497
"MAFK",-0.261638187730128,8.57335767201694,4.90013286431857,0.0292310394256078,0.999959662095497
"LOC115485435",-0.637141029646985,3.60815776395624,5.93204254049789,0.0299765415914707,0.999959662095497
"EIF5A2",-0.377758526107693,5.30183325958199,4.82580240967882,0.0304521201046905,0.999959662095497
"LOC115485484",-2.79145299949892,1.94192843053482,4.42014229277032,0.0381431701904125,0.999959662095497
"LOC103813343",-1.33389019023313,4.66061943780187,4.29641939298279,0.040881824617012,0.999959662095497
"LOC108962714",-2.61314931012348,2.31231554385711,4.2800759607116,0.041259000903331,0.999959662095497
"RHEB",-0.29494344625889,6.62092620656499,4.22955685100125,0.0424485831501266,0.999959662095497
"LOC103813360",-1.43562741527915,2.43572173303082,4.2290067854434,0.0424617356098182,0.999959662095497
"LSM8",-0.723786427760292,3.52532040023599,4.19154500089168,0.0433678084899963,0.999959662095497
