"","logFC","logCPM","F","PValue","FDR"
"LOC108961360",-2.47581948948799,1.17794463263124,14.577288666197,0.000718661020221649,0.999989809342885
"LOC115484232",-4.74822097478722,1.60850783138759,10.653619876549,0.00169467122696544,0.999989809342885
"LOC115484029",-4.30107645233262,2.34840092731868,10.2150756505613,0.00193059779105731,0.999989809342885
"LOC115483902",-4.16719747125732,2.12866769097054,9.25897218193668,0.00308308205977061,0.999989809342885
"LOC103812476",-2.19904153404979,1.90982185200374,9.15504789253704,0.00318588238633729,0.999989809342885
"LOC108963622",-2.14391044633164,1.32951201320546,9.36114850828036,0.00382560489265094,0.999989809342885
"GCAT",0.251566150806502,8.74887279361388,7.88684743599026,0.00603666216961659,0.999989809342885
"LOC115484325",-2.92031226300621,1.21643963909328,8.11028534795503,0.00618989662827254,0.999989809342885
"LOC115485606",-3.08646098765274,2.06792786795953,7.38109447482441,0.00792513422181451,0.999989809342885
"LOC115484512",2.70142925102431,2.08024677089249,6.72002760286185,0.0110277607810989,0.999989809342885
"LOC115485401",1.90930963498302,1.38768326539595,6.38051323099801,0.0131805101656914,0.999989809342885
"LOC103824829",0.320985740310812,4.52253450214465,7.86073910378597,0.014333317182295,0.999989809342885
"LOC115485048",1.55605904008791,1.72539696242216,7.33097200862024,0.0160931127153239,0.999989809342885
"LOC115485604",-2.23084662450279,1.36465527673028,6.04743418768368,0.0161216119065487,0.999989809342885
"LOC115485605",-2.23084662450279,1.36465527673028,6.04743418768368,0.0161216119065487,0.999989809342885
"LOC115484269",0.58335685654147,4.83081184707769,5.99084465454853,0.0162039727695608,0.999989809342885
"TIMM9",0.546304338866116,3.37583228793553,5.82778287799947,0.0176775898489562,0.999989809342885
"LOC108963993",0.603642533721911,7.0524717511934,5.61352659639795,0.019831141877975,0.999989809342885
"LOC108963617",-1.30706167357351,1.51585101626691,7.90195892094674,0.020511537172276,0.999989809342885
"LOC108963729",3.16969658413743,1.46789656888688,5.11710686521044,0.0264155710016819,0.999989809342885
"LOC115484574",2.02938447105389,1.14690309765042,5.02971121726037,0.0280545179738097,0.999989809342885
"PREB",0.430712222560509,3.74484566499417,4.95897562516331,0.0283012068370766,0.999989809342885
"LOC103820086",-1.90106454119861,1.26607498007494,4.92708086013834,0.0289899773858201,0.999989809342885
"LOC103813351",0.560465400978712,3.50083834326348,4.88548981547279,0.0294674216326909,0.999989809342885
"LOC103824719",-1.49855747385028,1.46614815957233,4.78703125856309,0.0311104004970545,0.999989809342885
"LOC115484444",-0.547716695992544,5.60203187808071,4.72528408177404,0.0321901431744506,0.999989809342885
