"","logFC","logCPM","F","PValue","FDR"
"LOC115485176",-3.3904549014362,1.54111885621265,39.1722418307511,1.09353737339837e-08,0.000111409587601826
"BGLAP",-4.63686484979793,2.94402777254342,9.63477922264124,0.002570616531333,0.999999047252328
"LOC115484076",-3.19884002247985,1.19728924046252,9.35530814644004,0.0035476744642542,0.999999047252328
"LOC103813583",-0.794075436801949,2.74105092178556,8.88652780789343,0.00459553642499482,0.999999047252328
"TMEM100",1.82551906455498,2.62658036969963,7.99560036507895,0.00571123994084006,0.999999047252328
"PCTP",3.14564188228636,2.63760195050608,7.8769259557442,0.00606729409698367,0.999999047252328
"LGALS2",-1.08327078185779,4.29082514865241,7.72015773780287,0.00657334823851782,0.999999047252328
"LOC115484575",-1.85871514122456,1.29499804852291,11.0756557021439,0.00787729058534999,0.999999047252328
"KPNA1",0.244024464693091,5.90986181810742,7.80084613466983,0.00808427187808191,0.999999047252328
"LOC108963729",-2.94591527562327,1.46789656888688,7.37013243370067,0.00812778072713167,0.999999047252328
"LOC108961930",-1.25225843877732,1.53309645906661,13.2913727250384,0.00814494033831699,0.999999047252328
"LOC103813343",1.40062830357426,4.66061943780187,7.27306546363015,0.00827240637800075,0.999999047252328
"LAMTOR5",-0.47284615480599,4.58624807422561,7.14223253975385,0.00885177134617775,0.999999047252328
"LOC108964492",-1.1142124247094,2.50822357735073,7.1392484545831,0.00886546861237009,0.999999047252328
"SNIP1",0.303429240952782,8.59675650836741,7.08523511818417,0.00911725240534776,0.999999047252328
"SMIM11A",-1.0666069176075,1.92964383195917,7.44210912411453,0.00954596320202455,0.999999047252328
"LOC108962189",-1.80317993074609,1.22288138378376,6.93886901315578,0.0098377349099966,0.999999047252328
"LSM14A",0.225438467975109,9.0011559428113,6.7331429595872,0.0109523715001811,0.999999047252328
"STK25",0.278730589436012,6.47241326498777,6.60660720414513,0.0117027848811115,0.999999047252328
"LOC108963868",4.17470258188499,1.60443633132703,6.5440951077225,0.0123253062180517,0.999999047252328
"MZT2B",0.756052003678919,4.87297034793377,6.47663062472743,0.0125297713548792,0.999999047252328
"LOC103825060",-0.448243781601896,7.07770931149208,6.28129526778325,0.013889456707435,0.999999047252328
"LOC103826105",-1.0127107333596,2.19079207894092,6.19163081784212,0.0145645157159317,0.999999047252328
"LOC103823292",-1.84818848795012,1.51868489654729,6.17472744139549,0.0146955821030575,0.999999047252328
"JAGN1",-0.612485587844687,2.98130822972741,6.14449112825161,0.0149331227686631,0.999999047252328
"WBP2NL",0.265355520192521,8.87651876207112,6.12812471803622,0.0150633751709195,0.999999047252328
"CD8B",-0.880454588448081,2.2911827860949,6.12510042976311,0.0150875741205704,0.999999047252328
"ZNF865",0.394083665754114,6.08746990213617,6.0881306700583,0.0153867054799366,0.999999047252328
"LOC115485435",0.529200450214055,3.60815776395624,7.18857813800391,0.0167716518287788,0.999999047252328
"MPHOSPH6",-0.717011056234836,2.45658083971812,10.7894810293659,0.0170921943467486,0.999999047252328
"LOC108962685",-0.940794548478654,1.96212544000854,8.09497382599712,0.0174626444490569,0.999999047252328
"LOC108963942",0.716073368839183,2.91615121888683,5.78301022042456,0.0181063708500038,0.999999047252328
"ZDHHC6",0.2477136349787,7.0069185842891,5.72173261535526,0.0187110145060339,0.999999047252328
"THYN1",-0.64239347324483,3.32748517909525,5.68974619626045,0.0190350315905225,0.999999047252328
"LGALS3",-0.705762291428726,3.44090889230573,5.68616498372759,0.0190716742361587,0.999999047252328
"LOC115484919",1.04707233957388,2.43623765630208,5.66563418755325,0.0192831802702821,0.999999047252328
"LOC108962631",-0.981554770710599,3.18176694218845,5.6581214362285,0.0193611911811903,0.999999047252328
"SMYD4",0.359331421894654,4.54622361498506,7.55342087393078,0.0194847398462299,0.999999047252328
"GID8",0.278899012266739,7.02659433120914,5.63921262943898,0.0195590094744064,0.999999047252328
"GGPS1",0.437145403539982,6.68462940440629,5.63720192127417,0.0195801696302483,0.999999047252328
"LOC108961320",-1.84173179648349,1.14879767563292,7.83569329737587,0.0197451097016093,0.999999047252328
"LSM5",-0.677752108802537,2.67536052563923,6.09029218259835,0.0200112109407529,0.999999047252328
"CTCF",0.171668902036321,7.26540745399946,5.54909168189559,0.020531487036567,0.999999047252328
"POP4",-0.608349054356255,2.94406021031116,12.120032661764,0.020829520008417,0.999999047252328
"TANGO6",0.423041482145302,5.17095748498788,5.52184703450787,0.0208353987953583,0.999999047252328
"LOC103825220",1.03287278537056,2.36229661569453,5.93539153591425,0.022314445890743,0.999999047252328
"HYI",-1.0756137409355,2.14830898206469,5.35605708784523,0.0227899207691716,0.999999047252328
"TSC1",0.281128440247421,7.99604921484838,5.31663728844707,0.023282507607769,0.999999047252328
"FAM207A",-0.475883811423051,3.53076627376326,5.87533293769794,0.0237221686642255,0.999999047252328
"PSMG4",-0.638393897677891,2.69976719866116,7.52149165812177,0.0242556703625429,0.999999047252328
"CRELD2",-0.643688779637682,3.37847879937744,5.19640000478091,0.0248556197845684,0.999999047252328
"JPT1",-0.380152166269325,4.98651926426892,5.17118241716355,0.0251995681641627,0.999999047252328
"PLOD2",-0.751313115448646,3.24458992295603,5.17090640460727,0.0252033604614206,0.999999047252328
"BCL2A1",-1.2634691330146,1.60801172226878,10.0448625194378,0.0255011094189207,0.999999047252328
"NFKBID",-1.35622516150168,1.37888409625287,8.55941661506243,0.0257598103128357,0.999999047252328
"LOC103825430",-1.12959347582308,1.62727915204722,5.05186389951155,0.0268965660270732,0.999999047252328
"PDCD4",-0.34366717221056,4.32718837992403,5.05108173104378,0.026908080905232,0.999999047252328
"ST7",-0.364734218085494,4.09267388126512,8.4141728596109,0.0269946414250927,0.999999047252328
"LOC103815708",-0.780431515272938,2.61529662128047,5.02718365726613,0.0272624279022475,0.999999047252328
"LOC115484047",2.9179086447341,1.33995956958956,5.03064480761567,0.0273396931773615,0.999999047252328
"KLHL11",0.214307827571207,6.49463386832473,5.01814852738922,0.0273976788619917,0.999999047252328
"RRAS2",-0.537428878343584,3.25134259513793,5.01532094990955,0.0274401518807838,0.999999047252328
"ZXDC",0.307937175785845,5.53126844076072,4.99905795252857,0.0276857949837888,0.999999047252328
"DDA1",0.251034386406526,7.61702927995078,4.99248154342807,0.0277857876964216,0.999999047252328
"RBM27",0.274607535727554,5.07685412811366,8.42050489312983,0.0282771039838356,0.999999047252328
"FAM168B",0.321705390391531,8.50452755512127,4.92261975529427,0.0288719378389421,0.999999047252328
"LOC103816478",-0.535696439466043,4.23174891911548,4.83807057815887,0.0302469131228851,0.999999047252328
"MAFK",0.195484180000892,8.57335767201694,4.82157284347138,0.0305232089331515,0.999999047252328
"GID4",0.250274412092636,5.81586476408731,4.80291135428863,0.0308389716234567,0.999999047252328
"CEP131",0.322873368737402,4.95545215610215,4.80247344095182,0.0308464228337731,0.999999047252328
"KLF12",-0.820689102750525,1.94560080044047,5.53353513816315,0.0314635748344482,0.999999047252328
"PRPF8",0.297980324178512,7.4051971537093,4.72357255070451,0.032220632593693,0.999999047252328
"PRPF19",0.21648169055041,6.72814119336065,4.72253759165417,0.0322390843530168,0.999999047252328
"ABRACL",-0.536955813261268,3.72788924289783,4.71564678286022,0.0323622234691138,0.999999047252328
"MMD",-0.60453721205724,3.02463755100543,4.7101604179993,0.0324606221872692,0.999999047252328
"PSMD14",-0.480361682373812,3.31728846599671,4.70963607293454,0.0324700430077617,0.999999047252328
"UBP1",0.178819167108521,6.33713473415707,5.37667346186397,0.0325694815335028,0.999999047252328
"LOC103813336",2.24345751747546,1.52034773433444,4.70054208089821,0.0326338959449166,0.999999047252328
"SRP9",0.30717122948228,6.48147958182921,4.68668658354371,0.0328852307359815,0.999999047252328
"TMPO",0.401427638080075,6.03889081102952,4.66568972519675,0.0332700344906811,0.999999047252328
"FABP6",-1.54348397121806,1.23660037991002,5.17533857716684,0.0335637435329805,0.999999047252328
"LOC103825389",0.483242373659427,5.10096172135815,4.61460196106807,0.0342264308436519,0.999999047252328
"ZNF143",0.244650674425489,5.62964661836815,4.60606328935491,0.0343891106379117,0.999999047252328
"PPDPF",-0.657446174941591,4.10985558589082,4.57546467370171,0.0349788652024422,0.999999047252328
"SDHAF3",-0.548571411681032,2.98415898841136,4.57223138398466,0.0350418087809265,0.999999047252328
"ATRX",0.382234958479776,9.69888668195601,4.57051951061335,0.0350751831904731,0.999999047252328
"MARC2",0.27880694570254,8.78124613195004,4.54325923397692,0.0356112269566357,0.999999047252328
"PIGT",0.291487979227468,7.59727155967024,4.53453747422399,0.0357845662151768,0.999999047252328
"HMGA1",-0.594704849416622,3.1737056935977,4.53245094281183,0.0358261676228324,0.999999047252328
"LONP2",0.282058207805082,5.91889784666371,4.50491628923068,0.0363800038645321,0.999999047252328
"EPCAM",-0.73428391804066,3.08674875021137,4.48260080940708,0.0368355477916559,0.999999047252328
"OSTM1",0.248990797324158,5.29874350081439,5.10090985854557,0.0368952935608975,0.999999047252328
"PLEKHG5",0.858143609345604,2.33902678684129,4.4761882550088,0.0369675732440768,0.999999047252328
"NPFFR2",0.394112790151813,6.42086150415332,4.46649861915932,0.0371680262930401,0.999999047252328
"ICMT",0.281291298358286,5.63037447973426,4.46301680548065,0.0372403383605094,0.999999047252328
"POFUT1",0.324044744212278,5.29016302075454,4.45607767002463,0.0373849012260047,0.999999047252328
"INPP5K",0.234522060662894,7.26814696317422,4.44482283966702,0.0376206456925117,0.999999047252328
"LOC103820474",-0.477963491127044,3.97745425962125,4.44003560760786,0.0377213991162354,0.999999047252328
"LOC103812476",-1.41134848735464,1.90982185200374,4.42626965861609,0.03801272681088,0.999999047252328
"RBSN",0.224902665675444,6.37856364844153,4.41356536130734,0.0382837153432533,0.999999047252328
"LOC103813894",0.376605395104821,4.21740768975984,4.83509784535666,0.0382841071802345,0.999999047252328
"TAGAP",-0.493748238057417,3.5595372542964,4.41109825974224,0.0383365781474029,0.999999047252328
"SDR16C5",0.580379021927403,3.58259364521237,4.40200433788638,0.0385321075377546,0.999999047252328
"MTF1",0.216420186248225,5.40488694663984,6.11164908047811,0.0388344483144156,0.999999047252328
"PDCD7",0.338860480065512,6.95303179728332,4.36560562817219,0.0393254323363295,0.999999047252328
"ZBTB11",0.236721696209303,6.35264268178553,4.36546107962194,0.0393286173422368,0.999999047252328
"TNFAIP8",-0.522540412252606,4.02170060947575,4.33153636070223,0.0400837873262739,0.999999047252328
"RNF13",0.289509537298147,7.89090786548158,4.32561831406838,0.0402171018685042,0.999999047252328
"LOC103814481",-0.561272105653351,2.98684593896405,4.32558428000885,0.0402178699136221,0.999999047252328
"LOC108963958",-2.4790572139413,1.66371952767701,4.35460655866374,0.04041787871151,0.999999047252328
"DNAJB4",0.273834267344636,8.41627046880954,4.31425701952307,0.0404743635980399,0.999999047252328
"SSR3",-0.437881685323135,4.26273962849762,4.29707030491966,0.0408668792273067,0.999999047252328
"ARID4A",0.226446512113248,5.8463605303423,4.2805334294523,0.0412483929561209,0.999999047252328
"TMBIM1",0.199011109672775,8.69814182076082,4.26201483434406,0.0416801462967716,0.999999047252328
"UBIAD1",0.244435551194444,5.28741005672858,4.25727318883228,0.0417914704669548,0.999999047252328
"LOC103825246",-1.41551066585219,1.30689080753917,4.31650101351191,0.0419080516648943,0.999999047252328
"LOC103818162",0.309972396964284,6.12517194118233,4.25197539679916,0.0419162277365655,0.999999047252328
"LOC103825059",0.305193748141339,6.49343440500149,4.21825585515565,0.0427196746431671,0.999999047252328
"SCAF8",0.221005022247682,5.53037690930642,4.21428321332551,0.0428154107129706,0.999999047252328
"GNG7",-1.05715796049906,1.90559779987714,4.19511952243146,0.0432804672088028,0.999999047252328
"COMTD1",-0.499943272430514,3.66839591493977,4.19253906897954,0.0433435001265086,0.999999047252328
"LOC103825173",0.235902897250261,8.2617672025048,4.18966036698753,0.0434139342718832,0.999999047252328
"CARHSP1",-0.567719384076615,2.75245417744426,4.56486455381755,0.0434252122282699,0.999999047252328
"TMED5",0.32481194037442,5.88268085363421,4.18468334026268,0.0435359978005051,0.999999047252328
"LOC108964199",0.500388192771996,7.19886578560632,4.18321724869644,0.0435720242322686,0.999999047252328
"TRMT61B",0.221443144413225,5.48045210649244,4.33876845703287,0.0449380042835319,0.999999047252328
"CDS2",0.225436480519568,5.59216386201417,4.12465047598538,0.0450376084377252,0.999999047252328
"AP1G1",0.167038792381389,6.51541271849431,4.11615447620855,0.0452545596344094,0.999999047252328
"UBAC1",0.233252113343467,6.08557797865264,4.11069344562194,0.0453946015269701,0.999999047252328
"ANXA6",-0.50670358141415,5.42844097159443,4.10916350639846,0.0454339182496613,0.999999047252328
"RASL11A",0.663833642400762,3.14445299645751,4.09743554121229,0.0457365203527378,0.999999047252328
"GCLC",0.286724498992062,9.39514562380205,4.08420516170545,0.046080481151666,0.999999047252328
"RNF146",0.219387273049887,6.53118771581113,4.07622913887649,0.0462891785447085,0.999999047252328
"ARCN1",0.142101977770421,7.32350108924126,4.06651926193966,0.0465446113779032,0.999999047252328
"LOC103824012",1.26014246232817,1.64770905520286,7.05550705142043,0.0470322728379851,0.999999047252328
"POLK",0.27963587208517,6.06750454941709,4.04165300331306,0.047205670149205,0.999999047252328
"SON",0.247151480697452,7.26955095085354,4.04001085290033,0.0472496789253303,0.999999047252328
"MMGT1",0.26295788002174,4.93184513194219,4.34108994688322,0.0474166515689157,0.999999047252328
"PSMD10",0.323457953372836,6.79232482659619,4.02850464815762,0.0475592761453874,0.999999047252328
"EIF4E",0.270822779838334,5.96384379551813,4.0050374057607,0.0481974739897612,0.999999047252328
"IRAK4",0.529562909892278,3.54513179323599,3.98909147084803,0.0486363675197165,0.999999047252328
"FEM1B",0.236805250100442,7.33773123727951,3.98849156756207,0.0486529626609344,0.999999047252328
"PPP2CB",0.223812062119015,10.109318904742,3.96949214072463,0.0491817015769834,0.999999047252328
"FCHSD1",0.990982924296675,5.99183445442404,3.9580944924623,0.0495018469562115,0.999999047252328
"G3BP1",0.231760213795496,7.09097437105221,3.9504502476206,0.0497178173877854,0.999999047252328
"PLBD1",-0.568293051126431,3.25509188190802,3.93811883560104,0.0500683488475767,0.999999047252328
"MSMO1",0.357084591791347,8.74272188877625,3.9147602083904,0.0507396384287413,0.999999047252328
"LOC103825176",-0.736269527379346,3.68329933623287,3.9141859183616,0.0507562639349013,0.999999047252328
"CUNH16orf72",0.207942761406321,9.02641534384817,3.90215148332045,0.0511060071856507,0.999999047252328
"LOC103819810",-0.460021915410393,5.43863426876775,3.90006884359348,0.0511667951085688,0.999999047252328
"SEPTIN5",-0.537391930395711,2.9936892218365,4.58991769669655,0.0511926112684311,0.999999047252328
"RMND5A",0.221632139181506,7.3570384364788,3.88768430478898,0.0515298833377632,0.999999047252328
"KIAA1191",0.219595639233182,8.99145234375719,3.88413777571998,0.0516343695404748,0.999999047252328
"EFTUD2",0.284969924791745,4.76676441113066,3.8834768007865,0.0516538680536916,0.999999047252328
"TMEM184B",0.242929481094986,8.23889365048896,3.87767606783195,0.0518253275734801,0.999999047252328
"ENTPD8",-0.436012606711828,3.36861933139029,4.0127835080839,0.0520849246900449,0.999999047252328
"RAB21",0.21952589543675,7.24834338315645,3.86529845780432,0.0521932381666924,0.999999047252328
"KNTC1",0.508467237228921,3.15747576771357,6.19451225636557,0.0523558127317953,0.999999047252328
"LOC115484671",0.631783180184158,4.05651240735241,3.84785617018029,0.0527164679616949,0.999999047252328
"LOC115484870",1.93879038745332,1.12425303540001,4.84161412728761,0.0527724434273255,0.999999047252328
"CENPA",-1.41657992320006,1.15080158608676,7.98612674830925,0.0539297479704148,0.999999047252328
"RBM12B",0.267770292975775,6.93395861282423,3.80547030564746,0.0540116253633674,0.999999047252328
