"","logFC","logCPM","F","PValue","FDR"
"OSER1",-0.471756664223918,7.72425024234474,14.4329798015923,0.000255216881568204,0.999952155693447
"RIMBP2",2.64961255277432,4.07499069268073,13.5060393227177,0.000392262170156074,0.999952155693447
"CPT1A",-0.71271236257747,2.99924876863836,15.1733901159727,0.000395752062419871,0.999952155693447
"LOC115484512",2.47415527695162,2.08024677089249,13.1859823330856,0.000455573441955152,0.999952155693447
"PAXBP1",-0.303943073600052,6.36297438924921,12.2097383951975,0.000721976553943602,0.999952155693447
"TOB1",-0.90468220261414,8.06359314518434,11.4098091885055,0.00105788599249683,0.999952155693447
"LOC108963785",2.00719352339377,1.23162722052728,13.6363382269614,0.00119038656190654,0.999952155693447
"ACLY",-0.409542671949924,4.83612132914125,10.88556392209,0.00136220124439025,0.999952155693447
"LOC103822244",-3.55897796665398,2.9446445993751,10.8227007858711,0.00140432195488666,0.999952155693447
"KIFBP",-0.25291274950188,5.7206754360969,10.642539850205,0.00153264289325017,0.999952155693447
"ARL6IP1",-0.484879505395376,8.72646891479312,10.2993377184378,0.00181166715964004,0.999952155693447
"LOC103827099",0.74984530326423,2.39599879420877,11.3208129403976,0.00185885037752766,0.999952155693447
"RBPMS",-1.10218295133237,2.20412524524978,10.1339561644776,0.00196436819003665,0.999952155693447
"DALRD3",-0.318637553978172,5.64347477861749,10.0159013339308,0.00208145872172944,0.999952155693447
"ATP6V1B2",0.314072045848277,6.88888380221436,9.8314679838016,0.00227902130222923,0.999952155693447
"LOC108963396",-2.4233128491786,1.21653542949958,9.94031039258733,0.00231850487747525,0.999952155693447
"LOC103818238",0.679484461049412,3.1895929537536,9.7429941890137,0.00238057686125681,0.999952155693447
"LOC103824924",-0.727457700331846,2.66336975337841,9.63554233925371,0.00251023939377336,0.999952155693447
"LOC103821893",-0.660031812075069,7.73984412674478,9.3310312795637,0.00291888778928304,0.999952155693447
"P4HTM",-0.575115052843135,3.47784955767472,9.31833138195415,0.0029373566044942,0.999952155693447
"EPCAM",0.832240540191501,3.08674875021137,9.11851132928322,0.00324441441059144,0.999952155693447
"LOC103824728",-0.474411550947267,5.37668185577331,9.09582888749308,0.00328131112239646,0.999952155693447
"WDR33",-0.211139071508715,6.09288045769611,9.06349845416547,0.00333465448379285,0.999952155693447
"LOC115484047",-2.68137137289312,1.33995956958956,8.87809471855984,0.00370374281570423,0.999952155693447
"AP4M1",0.716463821402296,2.4734518736135,12.3256538807631,0.00370459194070476,0.999952155693447
"ATIC",0.613311468928685,3.0963812952305,8.75042622429228,0.00390012644741827,0.999952155693447
"CNTD1",-0.400173649618733,5.20676918950391,8.59374963539249,0.0042195761603543,0.999952155693447
"F13A1",-0.382016446182055,7.40894058185716,8.52841123243713,0.00436070159936021,0.999952155693447
"MRM3",-0.361281123236825,4.11092098075796,9.46319450862084,0.00453611077122379,0.999952155693447
"LOC103825668",1.56322894835348,5.15860690324924,8.42537583650502,0.0045932768963857,0.999952155693447
"ERRFI1",-0.326257817046202,4.94931231870007,8.3219415477134,0.00483972253101065,0.999952155693447
"LOC103818060",1.58337653531743,8.13111321390014,8.24897952228303,0.00502178782839167,0.999952155693447
"MED17",-0.347950200985509,5.44610463068186,8.14240790735014,0.00530059456409787,0.999952155693447
"RNF146",-0.225525708970331,6.53118771581113,8.04610902036882,0.00556635297032287,0.999952155693447
"UBL3",-0.411389745429938,4.83599803058233,8.0328680494266,0.00560396224659482,0.999952155693447
"CERT1",-0.283922355388132,4.73319097252025,9.09776565834792,0.00608576236511383,0.999952155693447
"LOC108963957",1.99253263110847,5.37602823293255,7.7122851751747,0.00659989039989022,0.999952155693447
"GC",-0.716913227643016,2.86627458734693,7.64982384422633,0.0068144685265524,0.999952155693447
"RPA2",0.476522455774688,3.55676830965032,7.63399439622781,0.00686999270713997,0.999952155693447
"LOC108963334",-0.814850887156805,2.36176914485983,7.62586546914628,0.00689868884347312,0.999952155693447
"BCAN",-3.39766670249674,3.17234328091103,7.61345306293397,0.00694274700338997,0.999952155693447
"CRLS1",0.430707360305029,3.6449334548574,7.60533387426462,0.00697172455635777,0.999952155693447
"HNRNPH3",0.3585191711367,3.78984931871998,9.38218257896711,0.00712723430722238,0.999952155693447
"PDIA4",0.487011524440123,3.84473222026579,7.52064981086297,0.00728157393970135,0.999952155693447
"BNIP2",-0.264467349722435,5.80441327852832,7.50944058923403,0.00732364845603289,0.999952155693447
"LOC103825430",1.12036346585779,1.62727915204722,7.46572678695352,0.00749016381882919,0.999952155693447
"LOC103821879",-0.5841062041731,4.40947591588299,7.37227000552542,0.00785951802308106,0.999952155693447
"LOC115485321",-3.04371576167142,2.56738484257433,7.37116144006647,0.00793490419001463,0.999952155693447
"LOC115485226",-0.470253613940618,3.950872682293,7.34507224047759,0.00797053325999776,0.999952155693447
"LOC108963272",-0.738254105283535,2.57424885864295,7.22083382886783,0.00849881400135132,0.999952155693447
"SRP54",-0.272058348912378,7.67850389977611,7.16376784436175,0.00875357377815614,0.999952155693447
"VAMP3",-0.347503229146215,7.55013420439812,7.11949952655453,0.00895667707819766,0.999952155693447
"RABGGTA",0.272812896705087,4.82251080001048,7.1042691466293,0.00902768495360931,0.999952155693447
"CUNH16orf72",-0.205366579466635,9.02641534384817,7.08240195524447,0.00913066329195706,0.999952155693447
"MAPK13",-0.434208504084514,3.63070083353826,7.01579394075672,0.00945195409576877,0.999952155693447
"TP53I11",0.605578385809894,3.68763161462733,6.98252235909592,0.00961683817008582,0.999952155693447
"ZNF622",-0.201751420455073,6.04555670866513,6.97309341781465,0.0096641088223418,0.999952155693447
"FKBP4",0.510982013370518,4.25437859300017,6.96354433216524,0.00971222892676739,0.999952155693447
"SSU72",-0.265522633850618,6.95752086709464,6.95002668700545,0.00978077537565831,0.999952155693447
"SLC23A1",1.30474128941777,3.08201142037587,6.89984808466137,0.0100396725317163,0.999952155693447
"DNAH17",-0.414070262151439,4.11893554351681,6.87632000752641,0.0101635192815573,0.999952155693447
"LOC115483819",1.94250560844662,2.29667235741463,6.87096799778601,0.0101919130876229,0.999952155693447
"LOC115484232",-3.17726600593358,1.60850783138759,6.96447071318873,0.0102218976872448,0.999952155693447
"CDK5RAP3",0.385680357417565,3.65544614993086,6.8652639074741,0.01022226593995,0.999952155693447
"LOC103826955",-0.540352429841256,2.94094338479813,8.657421003937,0.0102436709076858,0.999952155693447
"RPL27",-0.403199258053838,12.0348510448006,6.82219352341846,0.0104545223434432,0.999952155693447
"CCDC28A",-0.290594031017959,5.11955877466845,6.78890594006133,0.0106377964468915,0.999952155693447
"CYFIP2",0.51011376732847,3.24591869730224,6.78481375903434,0.0106605575620021,0.999952155693447
"RHOH",0.567042965033226,2.5731110440388,8.96699915752558,0.0107308994591564,0.999952155693447
"CRELD2",0.552246418345335,3.37847879937744,6.75897197293256,0.0108054717821176,0.999952155693447
"TCF7",0.720906035502444,3.55277832981976,6.73726946958205,0.0109287631220111,0.999952155693447
"IL2RG",0.543630653007476,4.80001824661999,6.73524808250935,0.0109403211294952,0.999952155693447
"FTH1",-0.311298892491666,14.6468632503333,6.73300996669735,0.0109531332578336,0.999952155693447
"PPDPF",0.593695277027167,4.10985558589082,6.72277209889189,0.0110119402274285,0.999952155693447
"PRELID3B",-0.228210709712738,6.84955426844283,6.70073439312775,0.0111396481437147,0.999952155693447
"BCL11B",0.591055622614767,2.57162735434803,6.69171416716873,0.0111923655128997,0.999952155693447
"LOC103813343",-0.910890054440639,4.66061943780187,6.6821466242087,0.0112485665469676,0.999952155693447
"LOC103827052",0.722829121055456,5.57949989016783,6.67530131318197,0.011288957725728,0.999952155693447
"TANGO6",-0.332780910528368,5.17095748498788,6.64153923261637,0.0114904018472031,0.999952155693447
"KLF12",0.782986030746709,1.94560080044047,7.63772969821486,0.0114945984720436,0.999952155693447
"CCDC82",0.923904109566055,3.01921691953598,6.63752702743889,0.0115145895036452,0.999952155693447
"CARD11",0.501430034892632,2.8458170683001,6.58171451548041,0.0118566309257887,0.999952155693447
"ATP6V1D",-0.175875034574081,6.4815358500258,6.57967065138878,0.0118693563352637,0.999952155693447
"LOC103823247",-0.24997791711069,4.92823461233982,6.54463610900695,0.0120897211208916,0.999952155693447
"LOC103822246",-1.23680978813484,3.20499044180214,6.52644622449703,0.0122058173209641,0.999952155693447
"LONP2",-0.247984984404764,5.91889784666371,6.47771071645889,0.0125226528825479,0.999952155693447
"CACUL1",-0.251459662312582,6.64966982329645,6.46445277367469,0.0126103244694361,0.999952155693447
