"","logFC","logCPM","F","PValue","FDR"
"LECT2",2.27972926861065,3.42568836499221,15.5624071005585,0.000152198544172022,1
"PACSIN3",1.10613813590083,3.74267852452708,12.705266052525,0.000571067828418718,1
"SLC25A21",2.24441524207351,2.1942989868671,12.6380495823302,0.000589467911250102,1
"PRKCZ",0.662007625833304,4.99360974439908,11.4292518839043,0.00104805288338547,1
"LOC103820060",0.953614705970058,3.90721775674923,10.5062842104906,0.00163769060373118,1
"WDR6",-1.27529537978561,3.01094800202821,10.2758350373261,0.00183259781252709,1
"LOC108962424",3.82493994997944,2.71566491573456,10.2431845444182,0.00186209048079092,1
"LOC115484574",-2.83018996073794,1.14690309765042,10.3223181968334,0.00198057065265189,1
"RENBP",-0.809851277033545,3.86662267798216,10.0382465062351,0.00205875522344581,1
"LOC103820069",2.77077579250887,2.8363670504408,9.97156114936344,0.00212727922497716,1
"INO80C",0.779140293660859,3.87636416214849,9.96823528951249,0.00213075787401697,1
"MAP2K3",0.473498323482858,7.16591287157343,9.87630229621292,0.00222927807895667,1
"TUBB1",0.423759931055938,8.13488236668867,9.80567759535544,0.00230815395789996,1
"AP2S1",0.910650120381635,5.82242329015278,9.78317845213682,0.00233388321461209,1
"LOC103819677",0.676934627879923,5.45026231734683,9.48209810360132,0.00270819146306525,1
"CPOX",0.539708363144652,7.96521322452159,9.44517331915396,0.0027581935363006,1
"RPL7L1",0.471831243619644,5.17035574047676,9.39574209026573,0.00282663081294501,1
"LOC103826772",1.37155480233018,3.80269940532046,9.39424044484012,0.0028287371211393,1
"STEAP3",0.769796370172629,4.24503918958511,9.37010924138262,0.00286280880706305,1
"HEBP1",1.14978269690573,4.74510167338318,9.316081297646,0.00294064137852082,1
"LOC103823292",2.15932858617816,1.51868489654729,9.17757806375157,0.00315033472025841,1
"LOC103823412",-3.22149589604586,2.0325811730327,9.11953813478229,0.0032427543416429,1
"DPAGT1",-0.332878369564195,5.48134703767656,8.84894839126241,0.00371218191628437,1
"SFXN2",1.01542640933266,3.77850290504676,8.82331166622654,0.00376016559770344,1
"LOC108964100",-1.19327645588128,2.61717365366221,8.82025886252442,0.00376592213027625,1
"LOC115484647",-0.630857811082048,6.4360573937741,8.7235502534039,0.00395308903275151,1
"HSPA8",-0.504031697748693,9.76092347838061,8.70542052646178,0.00398923659964284,1
"LOC103813813",0.609185264148684,6.13003407868649,8.68777155760724,0.00402475481242533,1
"LOC103822078",0.406017902704041,4.86178885002031,8.65469579675912,0.00409220476286086,1
"DDHD2",0.840853725296267,3.16978773912895,8.50247138255729,0.00441807887940895,1
"IRS2",-0.939927979133477,3.5420541139089,8.40771873778888,0.00463440715617659,1
"HYI",1.50682758021342,2.14830898206469,8.37861315615844,0.00470304145115988,1
"LOC115484242",-0.748098267186955,4.50962189847711,8.29200900429702,0.00491357138247186,1
"THOC1",0.644913014066748,4.29946418608661,8.16266473172769,0.00524638868870169,1
"LOC108961922",2.65113454950857,1.34493147285691,8.07769131849666,0.00547770211736917,1
"LOC108963942",-0.920268102681009,2.91615121888683,8.04014341819547,0.0055832649396923,1
"PARVB",0.480298348423055,5.11418675699926,7.97210894631309,0.00577995596050106,1
"CUNH1orf52",-0.386956270756329,5.07554999637817,7.85636913233953,0.00613127719475284,1
"LOC103823316",0.365522329953887,5.46187968791142,7.76780494983651,0.00641505802756774,1
"PDP2",0.434548714543871,6.72640572403943,7.75032820781063,0.00647265266771125,1
"CLUH",0.519627441977466,4.90279450019108,7.68950263904945,0.00667733101420101,1
"NSD1",-0.342307959017579,5.64381507833575,7.64586138867265,0.006828323491176,1
"ATP7A",-0.335832258248818,5.60578097546221,7.59640371035229,0.00700374185560433,1
"DHRS7",0.66835897079672,5.47631585962928,7.45505462503138,0.00753141179680864,1
"LOC108964189",-2.15333107466979,1.29393068492129,8.34553422648488,0.00754022310608548,1
"LOC103822176",-0.433614091826097,7.336392962004,7.4176210033851,0.00767797222727316,1
"RFC1",1.14117117977856,2.32262776356775,7.41259976116222,0.00769785612281565,1
"ADNP2",-0.465417997643172,4.51664080575923,7.2965262158919,0.00817276530803753,1
"LOC108963785",-2.40074242867222,1.23162722052728,9.07112893639322,0.00820507440176058,1
"ABLIM3",-2.19273996898252,5.27843974043505,7.16459059506227,0.00874984476248677,1
"LOC115483888",-0.480311198573623,6.33994514209334,7.1146098334424,0.0089794103784462,1
"ITM2B",0.716748790759073,6.9809738720934,7.1001929874466,0.00904678842460882,1
"LOC103825501",-0.353992456964548,6.61427794536345,7.07887449030748,0.00914738943840654,1
"BCL6",-0.515448135373295,5.94086484902318,7.06454516515248,0.00921566387131311,1
"ATP1B3",0.376395952826439,6.66155365911886,7.04790814996517,0.00929560086186461,1
"ENY2",0.617753997576432,3.56810387501226,8.86697671873303,0.00968357717545905,1
"ST7",0.47110424468623,4.09267388126512,11.8300759395859,0.0104318942953042,1
"MOSPD1",0.370705706149781,4.63403986123889,9.0085062238974,0.0110309934028821,1
"MRPS18A",0.431345708552095,4.64530304186896,6.70790661527306,0.0110979163248772,1
"LOC115484478",2.58887057655534,1.44676701931568,6.66777829876107,0.0113335225819551,1
"LOC108964163",-0.607513299074777,5.18795898202639,6.65753493001861,0.0113944980522146,1
"JMJD6",-0.39487278635752,5.16975041668743,6.65554284279118,0.0114063960689403,1
"SLC30A1",0.454016400191736,4.4125723576169,6.62872416629704,0.0115678443626863,1
"CCNE2",-0.821737309553672,2.53041471135726,9.21366470279804,0.0118703121015461,1
"ACADM",0.327980735699388,5.09459297425766,7.18148928937417,0.0118737519345256,1
"PPA2",0.478642030534962,6.34891117886357,6.57833683177963,0.0118776685984359,1
"CUNH6orf120",0.453301422549096,4.08226293541532,6.57138963912019,0.0119210614866992,1
"MGST1",0.608717630983631,7.02226677327646,6.55432092041319,0.0120283798250817,1
"NME5",-0.691376690918269,3.5132334503691,6.54725095386407,0.012073127147613,1
"LOC108962268",-2.0846246270761,1.35170430748131,6.49200199601446,0.0124288617963064,1
