"","logFC","logCPM","F","PValue","FDR"
"LOC103820032",-4.03016550615916,1.39271965693752,14.2132401087202,0.000282461081840142,0.999943535165271
"LOC108964189",3.40440093401433,1.29393068492129,8.53793303102446,0.00687988825764229,0.999943535165271
"NRARP",-1.52950811934287,3.27513277058177,7.36117498562004,0.00790460968755482,0.999943535165271
"LOC115484070",2.2023050695298,3.36153396012363,7.18119781890453,0.00867492755153541,0.999943535165271
"HPS5",0.924835503979784,6.54726999014707,6.34806148220204,0.0134081241111221,0.999943535165271
"LOC108964197",5.75556813594747,1.35241285166873,6.13476304046086,0.015838473349367,0.999943535165271
"LOC115484580",-2.05292424552976,2.01312148636608,5.9853717219826,0.0162512813032538,0.999943535165271
"LOC103823412",3.89864063664942,2.0325811730327,5.85362785059565,0.0174349450090191,0.999943535165271
"LOC115484747",5.86691655537162,1.38593659428033,5.83995683153685,0.0185436529889879,0.999943535165271
"LOC108962378",2.760827238112,1.21195220012751,7.06216712725597,0.0224410073090348,0.999943535165271
"ATP7A",0.4088945934667,5.60578097546221,5.32669352952817,0.0231557877770854,0.999943535165271
"LOC115484644",4.22878026933731,1.37610624927555,5.24994635642305,0.0245238288126037,0.999943535165271
"LOC103825233",-3.25787128169653,1.19761550897989,5.1589870861718,0.0254930014993054,0.999943535165271
"LOC115484029",-3.61296757636017,2.34840092731868,5.12667901272852,0.025999604973724,0.999943535165271
"ACTR10",-0.724567904710992,3.50645536873481,5.5015965001284,0.0262341954690693,0.999943535165271
"LOC108963019",3.06085590684836,1.37769430268196,4.91354798631527,0.0291766421058811,0.999943535165271
"LOC115485606",3.35674117755815,2.06792786795953,4.81148476886146,0.0308868432943971,0.999943535165271
"LOC115484076",4.89098007122338,1.19728924046252,4.90563962605352,0.0312930617872659,0.999943535165271
"CENPA",-2.81037122156094,1.15080158608676,9.73968385730747,0.0332940858998258,0.999943535165271
"GOT2",-0.337670881715899,5.87604226810326,4.57113101948471,0.0350632574309122,0.999943535165271
"TRMT61B",0.32968039251294,5.48045210649244,4.56937410224955,0.0350975327691771,0.999943535165271
"GGCX",0.82430362608553,3.30797958047684,4.56337012677701,0.035214932381472,0.999943535165271
"LOC115485280",-2.80203242556765,1.29928105205279,4.53787413020292,0.0359543198300481,0.999943535165271
"LOC103822770",1.92231033456617,1.57255911554772,5.12384882870813,0.0386632652424623,0.999943535165271
"LOC103823511",-3.19383029531529,1.30432682670816,4.33990384636434,0.0398960991171161,0.999943535165271
"LOC108962268",2.54912455443691,1.35170430748131,4.33782080092478,0.039942735345962,0.999943535165271
"LOC103826946",-1.7773549538552,4.70376611378721,4.28448000888621,0.0411569991559872,0.999943535165271
"PCID2",0.443049005231057,5.79222881053695,4.26488312168294,0.0416129585949499,0.999943535165271
"SNX22",-0.854952415188834,3.41356415214998,4.23192198798462,0.0423920806378635,0.999943535165271
"LOC108963964",3.28369339016797,1.41751959674886,4.20854553118036,0.0429540873650063,0.999943535165271
"LAMP1",0.476355670420095,9.55733931856317,4.16009789977542,0.0441443758212128,0.999943535165271
"LOC108963377",-2.28946172720142,1.18850860682895,4.04796244501535,0.0489042545602466,0.999943535165271
"LOC103826772",-1.32866936338292,3.80269940532046,3.95894014845653,0.0494780168706856,0.999943535165271
"CPOX",-0.503470838304363,7.96521322452159,3.9344337425322,0.0501736154461699,0.999943535165271
"SBNO1",0.31722103633992,8.25868371712478,3.89535372514553,0.0513047070064489,0.999943535165271
"LOC108963128",0.598146329502887,4.03694203100615,3.84884454772425,0.0526866684891054,0.999943535165271
"LOC108963015",-2.3559249543134,1.37922940603046,3.82907318078436,0.0532862344748489,0.999943535165271
"LOC108964871",-2.2723354929433,1.29216011165009,4.25426846830232,0.0547759953252983,0.999943535165271
"LOC115484853",2.34891798331011,1.10498188535809,3.92201688211218,0.0561035061712035,0.999943535165271
"SLC25A21",-1.67918454497851,2.1942989868671,3.71244016980043,0.056976075656494,0.999943535165271
"TRH",2.61513006267069,1.15203776271497,7.14708766889445,0.0573184258456288,0.999943535165271
"SLC46A3",0.428203906204896,9.02413596556191,3.68646412336578,0.0578348191542415,0.999943535165271
"SLC30A10",-0.709609198103537,4.95071008485431,3.65519990527328,0.058886959383233,0.999943535165271
