"","logFC","logCPM","F","PValue","FDR"
"LOC108963957",4.28786757408437,5.37602823293255,22.9139634912501,6.16384912583464e-06,0.0327326821648924
"PRKCZ",-0.627485353357206,4.99360974439908,21.9717695340879,9.16834205378313e-06,0.0327326821648924
"SERINC1",0.543430123965542,7.44014286647133,21.8537113452765,9.63859898848421e-06,0.0327326821648924
"LOC103818060",2.46219210770682,8.13111321390014,18.5002629546805,4.09644116201672e-05,0.095311424935856
"HMBS",-0.274959805864418,8.03757561005177,17.8860134022262,5.37032548936449e-05,0.095311424935856
"HKDC1",-0.84111063148521,3.09277021107681,17.0307740196691,7.85407783213046e-05,0.095311424935856
"MFSD2B",-0.467293239346341,6.0989249910651,16.7710607750454,8.82169536250098e-05,0.095311424935856
"TIMM13",-0.478300016980468,7.07993833157801,16.7186599676017,9.03131381910725e-05,0.095311424935856
"KCTD20",-0.486372788869505,5.70210052844188,16.714342680546,9.04881051457603e-05,0.095311424935856
"LOC108961208",1.73721108374997,3.42627324212679,16.2127634810928,0.000113380377685194,0.095311424935856
"RTRAF",1.29286349796177,9.02538043490321,16.0113329544366,0.000124175646100059,0.095311424935856
"GNG2",1.64416483231256,5.97043799435648,15.9248041057681,0.000129131763294094,0.095311424935856
"TAGLN",0.760582884756806,4.61087356714795,15.9167919556811,0.000129600829314424,0.095311424935856
"LOC115483841",1.18135811300725,2.99029033790072,15.8278978891698,0.000134923965261734,0.095311424935856
"PIKFYVE",-0.44760774092334,5.57900831117704,15.7412470680715,0.000140328953085771,0.095311424935856
"P4HA1",0.555573804127795,3.71608169862118,15.270159046765,0.000173860413229845,0.110705618124104
"LOC108961920",2.42070260599434,1.19167368925353,15.5429597389134,0.000188109735741567,0.112733058102064
"LOC115484857",-0.927539771841835,3.20579837487669,14.683085938384,0.000227469017968013,0.128747464169895
"LOC108963113",2.1013094400929,2.35102894112789,14.1141160132543,0.000295712524714641,0.138590955264504
"BDH1",-0.632746883211968,4.71079710147009,14.0795947565283,0.000300476134608865,0.138590955264504
"SIDT2",0.504967411053791,6.00989463582804,14.0713932300928,0.000301619419128461,0.138590955264504
"JCHAIN",2.8761727980556,5.63925024137603,14.0281229175569,0.0003077257154538,0.138590955264504
"TUBB1",-0.354397617717812,8.13488236668867,13.9276389180535,0.000322401092870745,0.138590955264504
"TUBGCP5",-0.435734200343883,4.24278312715827,13.6006150078606,0.000375342131191184,0.138590955264504
"LOC115484227",-1.77852522246166,1.5239791874966,14.2217562119123,0.000376446384545272,0.138590955264504
"YPEL1",0.467502817018803,6.83101046398518,13.5681406188506,0.000381065680371386,0.138590955264504
"POP5",-0.677978268824422,4.18717603081329,13.5528035690681,0.000383799934185754,0.138590955264504
"CPAMD8",-1.30941805448016,2.61282262529806,13.4820310152153,0.000396680905201994,0.138590955264504
"PHF5A",-0.447399873544984,6.68078267541128,13.4530870626993,0.000402076180908337,0.138590955264504
"PGRMC2",-0.500663296924318,4.43983819774548,13.4212363825611,0.000408100574983816,0.138590955264504
"SLC23A1",1.96076040585643,3.08201142037587,13.1391931669131,0.000465673432610315,0.153041320368835
"RNASEH1",-0.46235115509289,4.08999730734841,13.038504575027,0.000488197034966376,0.153391160259741
"LPCAT3",-0.555620454812939,4.39030659906234,13.0010877435709,0.00049685004795558,0.153391160259741
"LOC103824839",-0.421960481667845,5.49178065838315,12.7504041334177,0.000559044242376346,0.165810924969386
"IKZF1",-0.485649013742875,4.67321955493239,12.7106150374045,0.000569629208277237,0.165810924969386
"TENT5C",2.3387472663277,1.68164692906935,12.467716022564,0.000638878846414543,0.180802713535316
"SLC30A10",-0.620910310796111,4.95071008485431,12.3030729991508,0.000690697640788905,0.186665201092165
"PLPP2",-0.570584039444522,6.70636441864119,12.2862261861164,0.000696238480712828,0.186665201092165
"MMGT1",0.305414419589062,4.93184513194219,12.1620593562601,0.000738514383093773,0.188209872739581
"FRMD6",1.65021987328971,1.43427656332265,12.1608261119425,0.000738947282055679,0.188209872739581
"LOC108964221",-2.20810797565361,1.12497382825114,12.3660290945672,0.000838730570924904,0.204418073397315
"PACSIN3",-0.710426670101607,3.74267852452708,11.8848415843495,0.000842712905642642,0.204418073397315
"GSTZ1",-0.490988415467755,4.31134206187687,11.7326692687858,0.000906236963670887,0.214714934555326
"LOC115484476",3.43240266191225,1.39785486005181,11.7236812582216,0.00097752641556274,0.226341798221664
"CASP6",0.813720018023624,5.2274700837711,11.5272607270271,0.000999900272261802,0.226377421640072
"JPH1",-0.542013904193715,3.81989817532483,11.4391932850817,0.00104306149000116,0.227471331077024
"CDC14B",-0.450849616237438,4.8313431411119,11.4266034051645,0.00104938678451316,0.227471331077024
"PAFAH1B2",0.418726568126213,4.42502288448658,11.3540565236131,0.00108661362154888,0.23063374117375
"ARHGEF12",-0.857117898464782,5.12353598709899,11.3041417453338,0.00111301541185361,0.231416347264584
"ADK",-0.510003110676354,5.56029099208093,11.0071009291141,0.00128442252276412,0.261713933238416
"MID1IP1",-0.677983953266383,6.50398344231903,10.9348069891517,0.00133011815175651,0.265180372787259
"BLVRA",-0.592686779253858,5.77873439582242,10.8988116733331,0.00135349228356276,0.265180372787259
"ACSL6",-0.534537055341,4.02535222077386,10.7692209286357,0.00144121275233737,0.2724611109641
"ZSWIM5",-0.778205149903993,2.71575412018044,11.3932266428964,0.00145721722327039,0.2724611109641
"HYAL3",1.23706958863246,3.35372923526219,10.7272229050865,0.00147088350049328,0.2724611109641
"GUSB",0.432429025143822,3.96076531399337,10.6784534858887,0.00150613057114554,0.274008183193407
"EZR",-0.609122545538974,3.37539514300775,10.5742113506811,0.00158442296390988,0.283194757128313
"ATP7A",-0.278208395838169,5.60578097546221,10.5130697093388,0.00163228736756124,0.286719718977826
"LOC108964025",-1.49506600658113,1.46436154590739,13.1870836020171,0.00171559721874937,0.286767322096298
"LOC115484191",-0.374168841524573,6.69510528697557,10.364203246828,0.00175517157298665,0.286767322096298
"TXNDC5",1.13504304953656,1.8864973730728,12.117072605761,0.00178623206233902,0.286767322096298
"LYRM1",-0.668643395847898,7.08488825048588,10.3274167794525,0.00178698424179706,0.286767322096298
"PLA2G12A",0.591534983667682,6.87298210550883,10.3179021022393,0.00179530898625324,0.286767322096298
"LOC115484764",-1.12616002940025,1.95738141611261,15.2942166878477,0.00183010782842107,0.286767322096298
"LOC103823572",-0.279631675585374,8.68230162030404,10.2489042103604,0.00185688879900589,0.286767322096298
"IREB2",-0.215839164975141,6.25486699716155,10.2479683965295,0.00185773883572396,0.286767322096298
"NFKBIA",0.578960668902197,4.22574383391538,10.1718965381635,0.00192819996826971,0.290228939493066
"PCID2",-0.331038771745099,5.79222881053695,10.1624519775248,0.0019371385831889,0.290228939493066
"LOC108964905",0.948373163804861,5.95351522163084,10.0775763709464,0.00201941414020868,0.290545900448542
"RNF220",0.256918807134998,7.12601777610796,10.0751246179456,0.00202184374034879,0.290545900448542
"LOC103816882",0.592786813908453,5.22441040486543,10.0631112075629,0.00203379233318561,0.290545900448542
"APOBEC2",-0.534726512251487,5.98364092038546,10.0293580745252,0.00206775538506337,0.290545900448542
"LOC103823860",-1.12539185962478,4.59506265188274,9.99464276677687,0.00210329837836832,0.290545900448542
"RUBCN",-0.303424110280719,5.31033991522717,9.98781317020261,0.00211036480498549,0.290545900448542
"DLG1",-1.44007795110605,3.00904953817308,9.9340354149766,0.002166871783055,0.290968126759507
"PSMA7",-0.455545078352677,7.52303063026559,9.92965360073709,0.0021715443337861,0.290968126759507
"WBP1L",0.568301110890306,5.72540448942832,9.90399863781976,0.00219911128391068,0.290968126759507
"TSEN15",-0.466820049621515,7.10160726620477,9.8384202206896,0.00227123332881097,0.296658014793925
"EXOG",-0.786412455557394,4.97724295135006,9.78884649514496,0.0023273736216387,0.297044198014323
"FAM107B",-0.404355136253649,6.08254472447133,9.78437927163241,0.00233250253642971,0.297044198014323
"LOC103818269",2.17778836291911,3.28854772080883,9.72667998749507,0.0023998084593335,0.301842575107281
"SLC35B4",-0.653927681042355,3.54845627502353,9.69936537456957,0.00243236804786378,0.302206898434587
"RPS17",-0.515924291382725,10.3751000720137,9.67419557223427,0.00246277539221275,0.302298261395945
"PHB",-0.374215904530094,7.43770542782666,9.58157407449159,0.00257809721494594,0.311077182847507
"CLUH",-0.400991483346326,4.90279450019108,9.54843353479487,0.00262070459233181,0.311077182847507
"SCPEP1",0.992804831312596,4.30976509128474,9.54443303040426,0.00262589691056985,0.311077182847507
"ANKRD27",-0.40396626932187,3.8696528618151,11.1726869057468,0.00274177751289544,0.319418020513605
"EEF1D",-0.546582513842754,6.70541118673461,9.44457673092446,0.00275900920742022,0.319418020513605
