"","logFC","logCPM","F","PValue","FDR"
"MRPL9",-0.883056443564577,5.70623595291075,15.1429851223107,0.000184252460275563,0.999936403863982
"RAB44",-1.39773897478865,3.94015088004206,13.703413982504,0.000357799931795486,0.999936403863982
"DHRS7",1.22781691573899,5.47631585962928,12.6994655485945,0.000572632112337888,0.999936403863982
"ADAP2",2.8813567255132,2.85779697127067,12.444255732612,0.000646010928649591,0.999936403863982
"PACSIN3",1.42973343880837,3.74267852452708,12.0687067310788,0.000772033708183132,0.999936403863982
"LOC103822992",1.30243090784595,5.63417153446283,11.9340329189445,0.000823174053690799,0.999936403863982
"GPR17",4.11159517950239,1.30591844202688,12.8747264432588,0.00102384274380256,0.999936403863982
"SLC25A21",2.74785122109855,2.1942989868671,11.4214298932249,0.00105199746427371,0.999936403863982
"LOC103826946",2.95918780708207,4.70376611378721,10.8856880768204,0.00136211935830344,0.999936403863982
"DPAGT1",-0.522907881554788,5.48134703767656,10.8794653671471,0.0013662297964678,0.999936403863982
"AP2S1",1.34818437917412,5.82242329015278,10.6837759904646,0.00150224183071975,0.999936403863982
"MED10",0.444871910436747,6.12672864184046,10.6789672459699,0.00150575475398995,0.999936403863982
"LOC115484157",3.36361848288949,1.52239799675948,14.5167702951446,0.00152261500022359,0.999936403863982
"CBFA2T3",-1.64515546632963,6.06078638405501,10.3053097031843,0.00180638816407978,0.999936403863982
"RAD51C",2.25345205570801,2.43316311617744,10.2376830564126,0.0018671079440849,0.999936403863982
"BPGM",2.03169010406112,4.38371105992309,10.2018132769836,0.00190016606308934,0.999936403863982
"ECE1",-2.34445964979821,4.05014302531909,10.0894736784008,0.00200766709300939,0.999936403863982
"CUNH17orf80",-1.01914275629457,3.45994093549686,10.0074256422238,0.0020901378657519,0.999936403863982
"DEK",1.19128266461458,3.07051816765139,10.3913803853635,0.00211818356952797,0.999936403863982
"OGFOD3",2.84167872172191,5.30352290973356,9.96092622755703,0.00213842338331865,0.999936403863982
"LOC103820060",1.25556160298041,3.90721775674923,9.88218411954709,0.00222283603161752,0.999936403863982
"LOC103816370",3.89147103641717,1.37339407413981,9.68234744972012,0.00245288440136506,0.999936403863982
"WDR6",-1.64642304190018,3.01094800202821,9.5735573910433,0.00258833778823808,0.999936403863982
"ATP6AP2",0.333660854370603,6.57761274723433,9.5703665114555,0.00259242553960315,0.999936403863982
"LOC103820069",3.38879412736706,2.8363670504408,9.53291934428269,0.00264090017237649,0.999936403863982
"FBXO31",-2.57731272340463,3.91822703511591,9.47043546913942,0.00272388241110246,0.999936403863982
"HSBP1",0.438280881593193,5.95604610776837,9.45598018313445,0.00274346122089494,0.999936403863982
"LOC103823225",0.617222110900406,4.54915433977959,11.2420086798063,0.00286765266894264,0.999936403863982
"REPS2",2.71068027167333,2.14893025370076,9.29900643521696,0.00296569224158391,0.999936403863982
"PARVB",0.723983052542703,5.11418675699926,9.16532011978054,0.00316962384051405,0.999936403863982
"WDR66",-2.37919984155704,2.05139128374166,8.89858565554432,0.00362107182571954,0.999936403863982
"WDR45B",0.496427083830869,5.08629018100419,8.95191115256763,0.0038147378198184,0.999936403863982
"LOC115484574",-4.00972354586944,1.14690309765042,8.94662407249242,0.00382485904827501,0.999936403863982
"LOC115484331",-3.04253486312528,1.63436992852335,8.7668102913102,0.00386820084328537,0.999936403863982
"SESN1",0.766013249345971,4.34895422868365,8.68321692742197,0.00403397402517444,0.999936403863982
"MAST3",-0.913556573533061,4.80562574779147,8.31186608428001,0.00486445100417259,0.999936403863982
"RNF186",-2.13417172505233,3.76746481831405,8.30626190728596,0.00487826219729901,0.999936403863982
"RPL7L1",0.633204295411753,5.17035574047676,8.29749078364003,0.00489995990511431,0.999936403863982
"LOC103826772",1.95006976811023,3.80269940532046,8.27867790839029,0.00494683703654883,0.999936403863982
"APBB1",2.01279239500387,3.15038277657291,8.27658310213695,0.00495208550915339,0.999936403863982
