"","logFC","logCPM","F","PValue","FDR"
"LOC115484188",17.4663131401278,2.41898023402962,9.04268832318631,0.00390299046071311,0.999961654514559
"LOC115485000",8.15340874200731,1.20709154505347,8.79640345178907,0.00431173291997621,0.999961654514559
"LOC115483902",9.52303858997009,2.12866769097054,8.33183415857111,0.00489228367961796,0.999961654514559
"LOC103814960",-7.29741520347868,1.14506722154853,8.56663158897086,0.00494972379018,0.999961654514559
"LOC108964197",8.25646544387227,1.35241285166873,7.63278732067932,0.00742760843799045,0.999961654514559
"LOC108963993",-1.58795431810923,7.0524717511934,7.23253782618545,0.00844752562556387,0.999961654514559
"LOC115484747",9.7453047916112,1.38593659428033,7.11546823418117,0.00967984652575699,0.999961654514559
"LOC115484232",10.4020789595484,1.60850783138759,6.42635733189142,0.0134595513151313,0.999961654514559
"LOC108963019",4.48168746988662,1.37769430268196,6.35118124187712,0.0134998062163007,0.999961654514559
"LOC115484809",6.22273909285279,5.8737006041702,5.81198288839506,0.0178276727221267,0.999961654514559
"LOC115483903",-12.0580204411247,2.24746905555239,5.47107528468295,0.0230174097523229,0.999961654514559
"LOC115484290",-0.661515751102846,6.32753386193568,5.2981417342717,0.0235174863671915,0.999961654514559
"LOC103825383",3.68883772019571,1.82059655392489,5.1241843693882,0.0258540751852693,0.999961654514559
"VAMP1",3.6513346802793,1.34633180022046,6.9530797681457,0.0258878447469655,0.999961654514559
"SLC35F6",4.22991039187972,1.16606685290086,8.93475703128943,0.0295618649068665,0.999961654514559
"LOC108963729",-5.5608075838895,1.46789656888688,4.85408796430594,0.0304693512959568,0.999961654514559
"LOC115485280",-4.62150838342431,1.29928105205279,4.48812894307628,0.0369605839094601,0.999961654514559
"RP9",-0.487125345513184,6.77673879917944,4.4219290498816,0.0381050833238546,0.999961654514559
"LOC115484574",-4.68965227058921,1.14690309765042,4.33123749108992,0.0410440622149685,0.999961654514559
"LOC103817013",-0.473202729029242,6.97735559882121,4.27553970848996,0.0413643469808158,0.999961654514559
"SRSF3",-0.322514424441,6.81438366094964,4.26527807391382,0.0416037161721911,0.999961654514559
"GP1BB",-0.462708179957499,7.53881313595067,4.19393126544998,0.0433094806577227,0.999961654514559
"DNAJC11",-0.670445596283024,4.42047485979833,6.57713434003591,0.0435623633410306,0.999961654514559
"SMIM20",-0.690695006418679,4.22398416778677,4.58429096106725,0.0447572728414006,0.999961654514559
"HCRT",1.66964840340975,2.26150309628883,4.09409212790057,0.0465383527562192,0.999961654514559
"LOC108963958",-6.32382460196634,1.66371952767701,4.09769971129524,0.0466181105957095,0.999961654514559
"LOC115485176",-6.1207141790805,1.54111885621265,3.99927975144226,0.0483554545637576,0.999961654514559
"ARPC1A",-0.703300803767519,5.67753883178457,3.92579796252375,0.0504212336625191,0.999961654514559
"INO80C",-0.970096993151262,3.87636416214849,3.88201409263029,0.0516970455521646,0.999961654514559
"RHEB",0.442128245043931,6.62092620656499,3.86779569758402,0.0521187849052556,0.999961654514559
"CUNH12orf65",-1.29661772414105,2.66045254046284,7.06842763662763,0.052365190507971,0.999961654514559
"BDH1",-0.952738477093781,4.71079710147009,3.79738398332679,0.0542625834220151,0.999961654514559
"LOC103813629",1.84192838035625,2.11809582259721,3.77008026523435,0.055119275524571,0.999961654514559
"DAPK2",-1.61412119186898,3.70365253004793,3.7518374431009,0.0556997859629157,0.999961654514559
"LOC103825091",1.92638826566002,2.20052580727726,3.72277106608895,0.0566383791805762,0.999961654514559
"EIF5A2",0.514132613972513,5.30183325958199,3.68587711747484,0.0578543857161421,0.999961654514559
"SRP54",0.552311362789674,7.67850389977611,3.67961038652499,0.0580637195402513,0.999961654514559
"UBAP1L",0.872677714367188,4.29650423051223,3.67959415915897,0.0580642626594432,0.999961654514559
"LOC115484512",-3.72001618806954,2.08024677089249,3.67210900965334,0.0583153714899856,0.999961654514559
