"","logFC","logCPM","F","PValue","FDR"
"LOC115485178",-12.1653537966768,4.60209344773282,12.5045339901126,0.000711120041223823,0.999965522494362
"LOC115484717",8.68647091027532,3.21158744708711,11.2006096976867,0.00135627627642398,0.999965522494362
"LOC115484476",-4.05861377528842,1.39785486005181,9.47107747312617,0.00286171482104136,0.999965522494362
"LOC115484188",9.19676682966065,2.41898023402962,8.26026735349823,0.00566532750547279,0.999965522494362
"LOC115485503",-2.18763273868199,2.97988223806482,6.41215664789022,0.0129624577089743,0.999965522494362
"LOC103825383",2.18202565863826,1.82059655392489,6.23184128456097,0.0142576279433262,0.999965522494362
"LOC115485606",-3.45903775882302,2.06792786795953,5.5354841818954,0.0208472418741145,0.999965522494362
"LOC115484809",3.33608449223984,5.8737006041702,5.2087178831579,0.0246894194668698,0.999965522494362
"LOC115485525",0.773947498237792,2.99270759352138,4.97227781432821,0.0280953789161703,0.999965522494362
"XAB2",-0.874044210538948,3.49456750768109,4.9606858766651,0.0282746545076394,0.999965522494362
"LOC108963019",2.11987873733016,1.37769430268196,4.89379391270317,0.0294941935850259,0.999965522494362
"LOC115485393",-2.07343183128674,2.65617975552364,4.87564350486821,0.0296275087041557,0.999965522494362
"CUNH11orf52",2.38003452366948,1.16145543438274,7.96052254045397,0.0311943254447744,0.999965522494362
"LOC115485000",3.4418587625088,1.20709154505347,4.84823434209179,0.0314871677284401,0.999965522494362
"MEGF8",3.13491866506737,1.23005915854604,4.80732222991613,0.0317308416420046,0.999965522494362
"LOC115484657",0.792220852195305,9.37890246630344,4.71121766299935,0.0324416356676639,0.999965522494362
"IL6R",0.640857895845064,3.54906288744157,4.69250849581539,0.0327793733553937,0.999965522494362
"LOC108962308",2.12418370572295,3.32087192470136,4.68416825979833,0.0329311328085075,0.999965522494362
"LOC103818269",2.14440209054563,3.28854772080883,4.54336581007562,0.0356091143609845,0.999965522494362
"VSIR",0.716191134842203,5.13761203790504,4.53332647324258,0.0358087049720028,0.999965522494362
"LOC115484758",-8.80425277508528,3.41416728110881,4.58862038037346,0.0358417637085549,0.999965522494362
"ARHGDIA",0.282575724048966,5.70422000637528,4.50975324488283,0.0362820564888964,0.999965522494362
"SLC10A7",1.33946256698194,1.65808902641779,8.0241424494303,0.039436833811122,0.999965522494362
"LOC115485288",0.828460756600847,2.74202234764034,4.34639722485477,0.0397510947457587,0.999965522494362
"LOC115484549",-1.24484054876566,2.48167743579666,4.32570435781455,0.0402151601929107,0.999965522494362
"LOC108964067",1.13477836429065,2.14890907991933,4.24850121286207,0.0419982570392444,0.999965522494362
"LOC115483902",3.51084494877666,2.12866769097054,4.21049704104053,0.0431239438654146,0.999965522494362
"LOC103820086",-2.46393655019062,1.26607498007494,4.12159012741803,0.0453360737973044,0.999965522494362
"LOC108963128",-0.502709666335985,4.03694203100615,4.09834097643453,0.0457130818028009,0.999965522494362
"LOC103818238",0.7301066702582,3.1895929537536,4.08072144945113,0.0461715102730031,0.999965522494362
"UBE2F",-0.243226342288835,6.17084508180683,4.07055860291381,0.0464381674404059,0.999965522494362
"ADAM19",0.652362964517022,3.84053632517202,4.06248837760315,0.046651093204932,0.999965522494362
"RCN2",0.639770716045262,2.90425526899289,4.76081061690332,0.0470144256994258,0.999965522494362
"LOC108963818",1.23236604325029,1.81272429973121,5.00388421523751,0.0471594226540499,0.999965522494362
"THY1",0.929709327975014,2.31066326787393,4.03210400996359,0.0474621950103403,0.999965522494362
"GNB1",0.390378824451857,4.81147503842558,3.98398456622404,0.0487778344837274,0.999965522494362
"SRSF3",-0.179329477749861,6.81438366094964,3.96133573356282,0.0494105775527387,0.999965522494362
"LOC115485381",2.01806399927017,2.07538730772658,3.95553910246297,0.0495739312599037,0.999965522494362
"RGS21",-0.759350386088535,2.90226270402673,3.93635873603614,0.0501185973769344,0.999965522494362
"LOC103823284",2.08032929267637,1.16307313063048,6.84827577450902,0.0502200547369771,0.999965522494362
"NTAN1",-0.256569618035787,5.59544894242384,3.90360596754215,0.0510635998597967,0.999965522494362
"LOC115485048",1.24759854733206,1.72539696242216,4.8081695343045,0.0512675413803751,0.999965522494362
"LOC108962568",-2.05303664726539,1.18053274211426,5.93699153544214,0.0522837431697717,0.999965522494362
"DNAJA1",-0.32301767162907,6.7494617290183,3.84985888134098,0.0526561052896554,0.999965522494362
