"","logFC","logCPM","F","PValue","FDR"
"LOC108963957",6.71765701963147,5.37602823293255,19.4245549827486,2.73497807597795e-05,0.111433577795759
"LOC115484857",-1.44538369610668,3.20579837487669,18.6910434784571,3.76743899642287e-05,0.111433577795759
"LOC103818060",3.8357775826232,8.13111321390014,18.5633149677299,3.98456834115634e-05,0.111433577795759
"RUBCN",-0.574386929476329,5.31033991522717,18.3505861878676,4.3750913936301e-05,0.111433577795759
"ATP7A",-0.507981183410847,5.60578097546221,17.498060841167,6.37809568174155e-05,0.129960077611166
"MRPL9",-0.6458726688218,5.70623595291075,16.3173381796879,0.000108160607106222,0.183656710866365
"JCHAIN",4.83744394253769,5.63925024137603,15.1120125034857,0.000186878652981986,0.225850796595077
"SCPEP1",1.82492466380676,4.30976509128474,14.5299065680053,0.000244072297789734,0.225850796595077
"PSMA7",-0.770576162167898,7.52303063026559,14.3512621874391,0.000265018482748758,0.225850796595077
"LOC103826772",1.76728734197726,3.80269940532046,14.0092107513365,0.000310434366012692,0.225850796595077
"HKDC1",-1.08437440642685,3.09277021107681,13.9017827314188,0.000326292418638808,0.225850796595077
"LOC103823860",-1.82746795971156,4.59506265188274,13.8770756207974,0.000330055928890131,0.225850796595077
"SERINC1",0.600409818637388,7.44014286647133,13.0999024472239,0.000474332621140052,0.225850796595077
"SHC1",-1.11039467906798,4.82011948855457,13.0766663063721,0.000479531362734959,0.225850796595077
"GNG2",2.17676527373322,5.97043799435648,12.8274506786827,0.000539119439189808,0.225850796595077
"LECT2",2.02819787256509,3.42568836499221,12.8157291842275,0.000542102924550603,0.225850796595077
"LOC108962424",5.46830133171659,2.71566491573456,12.6264849560527,0.000592694665379211,0.225850796595077
"LOC115485216",-0.93221714278249,5.10658284590834,12.6209417903128,0.000594247755942726,0.225850796595077
"CEP290",-0.889271749175381,3.64939435183442,12.5761057874697,0.000606964957081833,0.225850796595077
"LOC115483841",1.55684159467546,2.99029033790072,12.5317363593083,0.000619825756340202,0.225850796595077
"SLC23A1",3.01299740907215,3.08201142037587,12.473179763321,0.000637229502133644,0.225850796595077
"RTRAF",1.66109572316514,9.02538043490321,12.4478689772383,0.000644907161021018,0.225850796595077
"P4HA1",0.72822953342044,3.71608169862118,12.3692151652146,0.000669379142436633,0.225850796595077
"LOC115484853",-3.04589446826463,1.10498188535809,12.5488289081524,0.000692098967457558,0.225850796595077
"SESN1",0.66159693129928,4.34895422868365,12.2681586869677,0.000702231685025292,0.225850796595077
"LOC108963958",5.14912911284856,1.66371952767701,12.4179099427009,0.000739795633195988,0.225850796595077
"PIKFYVE",-0.552696040468436,5.57900831117704,12.1548520403572,0.000741048029696403,0.225850796595077
"PLPP2",-0.795329674475434,6.70636441864119,12.1446237228558,0.000744659049575152,0.225850796595077
"ALG2",1.50171979988061,2.36689865315983,12.1265518872725,0.000751083515824457,0.225850796595077
"LOC108963055",-0.466622776490771,7.32109447397464,12.1229687433252,0.00075236407560516,0.225850796595077
"LXN",-1.8246039724547,3.43973525645643,12.0920725675233,0.000763499607440504,0.225850796595077
"SLC51A",-2.60480489726333,3.26677531617555,11.997353981739,0.000798707753605624,0.225850796595077
