"","logFC","logCPM","F","PValue","FDR"
"LOC115485515",-11.3263169240924,4.65687945863052,13.08189983681,0.000514897250432931,0.999956954931718
"LOC108963993",-1.2693954175733,7.0524717511934,10.0542483402991,0.00204265413227224,0.999956954931718
"KATNB1",-0.528977291504823,5.75363607446799,9.63372928018926,0.00251248881933023,0.999956954931718
"LOC103823572",-0.48580439482498,8.68230162030404,7.95573889913781,0.00582834829963439,0.999956954931718
"LOC115484747",6.40526197973599,1.38593659428033,7.38923348960073,0.00844416893126097,0.999956954931718
"LOC115484151",3.19095392538614,1.38851904148173,6.77646427665869,0.0107071560958592,0.999956954931718
"LOC115485604",5.24291020455639,1.36465527673028,6.7780907896658,0.0110272314675989,0.999956954931718
"LOC115485605",5.24291020455639,1.36465527673028,6.7780907896658,0.0110272314675989,0.999956954931718
"MRPL53",-1.35461631320289,7.58162577037353,6.41254696243993,0.0129597917737284,0.999956954931718
"LOC115484188",11.1334854713098,2.41898023402962,6.47023354044313,0.0136734565947003,0.999956954931718
"XPOT",0.415137716536673,6.12974953172574,5.91873663385205,0.0168390499546922,0.999956954931718
"LOC115483903",-8.39690672024763,2.24746905555239,5.91566973312137,0.0183099946748184,0.999956954931718
"LOC103814960",-4.69686701004436,1.14506722154853,5.89057068791604,0.0184846674825115,0.999956954931718
"RSRC1",-0.871979746505424,3.18881620952761,10.3188427452341,0.0191792617006534,0.999956954931718
"LOC115485000",4.2363723529633,1.20709154505347,5.59141443337048,0.0212646535082132,0.999956954931718
"LOC108962842",-1.94997785345399,2.05866157413491,5.46491994947195,0.0214858117779618,0.999956954931718
"LOC115484324",-0.596023008754434,4.30696972666853,5.44140660679587,0.0217606714323327,0.999956954931718
"TM6SF1",1.28737527675459,2.23374398091133,6.58248139201882,0.0222918944399551,0.999956954931718
"SIL1",-0.452688541702783,5.05612844707156,5.37212749284894,0.0225922713162004,0.999956954931718
"ANKRD9",-0.603433553675233,5.74349077530883,5.23456188193031,0.0243445191205622,0.999956954931718
"LOC115484717",10.5154104441539,3.21158744708711,5.27316711590041,0.0248558082704692,0.999956954931718
"LOC115484512",-3.81539754000573,2.08024677089249,5.1348544314504,0.0257039208624997,0.999956954931718
"CCNB2",0.547298700903194,4.68249943108035,5.09939756038588,0.0262064775637596,0.999956954931718
"SLC25A14",-0.374098575774502,4.98833280032546,5.90960616600481,0.0266253486321712,0.999956954931718
"SMIM20",-0.520160483887999,4.22398416778677,5.66119479161738,0.0266566051938316,0.999956954931718
"NRDC",-0.320686011793775,6.59990578179189,5.06491426761471,0.0267052089988371,0.999956954931718
"LOC115485505",7.50175647225184,2.52132500078323,5.10108588137509,0.0268313294794577,0.999956954931718
"NFIL3",0.399018946557682,6.49974247138044,5.02788709583938,0.0272519274958402,0.999956954931718
"LOC115485096",2.44808555943757,1.52832047057279,5.01365404346595,0.0274652231095099,0.999956954931718
"FAM131A",0.805115642900627,3.19795572884649,4.99150251294767,0.0278007062769593,0.999956954931718
"PECAM1",0.728676711651498,3.59173961934783,4.96543172951215,0.0282011113292834,0.999956954931718
"RHOQ",1.20320109161058,2.31378600030503,6.24732029268025,0.0293690122808896,0.999956954931718
"WDYHV1",-0.532777908379639,4.94916748729278,4.84276625721709,0.0301687579754897,0.999956954931718
"HAGH",-0.375065029253796,9.00296921532536,4.7868110339896,0.0311141824314659,0.999956954931718
"LOC103821876",-0.307106250759064,9.44050091375322,4.77427371456223,0.0313302932285059,0.999956954931718
"SRSF6",-0.292424957009772,9.23405579248527,4.73261805065586,0.0320598413950117,0.999956954931718
"UBB",0.441299145287477,12.0009731569866,4.68632804234256,0.0328917617984423,0.999956954931718
"LOC108961360",2.74152558185451,1.17794463263124,5.73145960758153,0.0339341240252016,0.999956954931718
"ACBD6",-0.62114716256627,3.62381173013048,5.99181029677224,0.0340867214097309,0.999956954931718
