"","logFC","logCPM","F","PValue","FDR"
"RUBCN",-0.544347965629041,5.31033991522717,31.6976080938624,1.79831638362242e-07,0.00161244333944183
"KLHL25",-0.649202471366139,6.30158219732968,29.5909801048489,4.09088935806334e-07,0.00161244333944183
"LOC115484857",-1.26510991744493,3.20579837487669,28.8798066075294,5.4180024586199e-07,0.00161244333944183
"LOC108963957",5.15366151237927,5.37602823293255,28.4876789022372,6.33075516074531e-07,0.00161244333944183
"LOC103818060",3.22234543157163,8.13111321390014,27.6600345837689,8.80979712799607e-07,0.00164010172651547
"SCPEP1",1.79175343871374,4.30976509128474,27.4306536745875,9.65902076864233e-07,0.00164010172651547
"PLPP2",-0.830725481688037,6.70636441864119,25.7185627442938,1.93178888091347e-06,0.00261158782433842
"JCHAIN",4.28657159026652,5.63925024137603,25.572278911684,2.0507167839328e-06,0.00261158782433842
"GNG2",2.18092182315237,5.97043799435648,25.2819336529152,2.30946205800693e-06,0.00261431104966384
"KATNB1",-0.432124338486043,5.75363607446799,24.5538612309442,3.11566239563604e-06,0.00317423684867399
"SLC51A",-2.61826205164563,3.26677531617555,24.1288245929381,3.71441085446828e-06,0.00344021979866572
"C1QTNF12",-1.82698927876842,2.63542426900324,23.4125224902163,5.00337949455381e-06,0.00400064097181629
"MID1IP1",-0.994543124779041,6.50398344231903,23.242976573166,5.37056150912842e-06,0.00400064097181629
"MED10",0.332067464372712,6.12672864184046,23.1870921628744,5.49754354195407e-06,0.00400064097181629
"TAF1",-0.592558749823954,4.59893067729029,22.656807288147,6.86679352146866e-06,0.00448975879248933
"LOC103824732",-0.644783919162477,6.05358048345797,22.5938554020322,7.05105424811831e-06,0.00448975879248933
"SLC23A1",2.75382058741204,3.08201142037587,22.3473351283028,7.82273646806679e-06,0.00468811994921556
"RTRAF",1.56922816573214,9.02538043490321,22.0367983605807,8.91941652210544e-06,0.00501834643204254
"WDR6",-1.34101495071243,3.01094800202821,21.9231961659389,9.35891069972597e-06,0.00501834643204254
"LOC103823000",-0.543909408989886,5.75530722153631,21.6097201244326,1.06903591509957e-05,0.00525662902391199
"NECAB3",-0.98349933724038,3.19854618069181,21.5780557915683,1.08352188360966e-05,0.00525662902391199
"SESN1",0.625300877375342,4.34895422868365,21.322537158396,1.20802926025746e-05,0.00559427368341047
"P4HA1",0.680697214528204,3.71608169862118,21.0857761811777,1.33647485133092e-05,0.00592000251537367
"ANKRD17",-0.436777804095395,7.13735669750969,20.7603472431513,1.53622602577539e-05,0.00652127947941654
"NCOR1",-0.690520179498993,5.4971454180784,20.4916850474227,1.72406014603082e-05,0.00675654976278286
"LOC108962842",-1.89453280921185,2.05866157413491,20.3487097008876,1.83345697189205e-05,0.00675654976278286
"PBRM1",-0.736952887651194,4.5706067979896,20.288026334157,1.8820148022611e-05,0.00675654976278286
"YPEL1",0.58227188437548,6.83101046398518,20.2693302799754,1.89723906716517e-05,0.00675654976278286
"SEC61B",1.09704692414504,4.53342677308307,20.2377496630693,1.9232424727199e-05,0.00675654976278286
"SHC1",-0.981122311954108,4.82011948855457,19.9785267149118,2.15097949188071e-05,0.00715622303843693
"TENT5C",3.37359876103565,1.68164692906935,19.9501936358091,2.17749228692133e-05,0.00715622303843693
"TRANK1",3.06056750937494,5.52384793642661,19.860245068421,2.26390258587402e-05,0.00720769985777642
"LOC103815742",2.81656589599557,6.93177502140494,19.6962783797295,2.43057222911297e-05,0.00750383935460696
"UCKL1",-0.700371316998649,3.94268100010064,19.4581142542107,2.69535923738763e-05,0.00804213460386666
"CUNH17orf80",-0.719101821302088,3.45994093549686,19.3618404650406,2.81062407123848e-05,0.00804213460386666
"MAPK8IP3",-0.649210702449136,4.62532896032225,19.2553949354905,2.94396322253469e-05,0.00804213460386666
"POP5",-0.822707456372196,4.18717603081329,19.2258364787939,2.98212759784424e-05,0.00804213460386666
"ERO1A",0.974747652796481,3.96581740003692,19.2124191614094,2.99961832496008e-05,0.00804213460386666
"HKDC1",-0.885249608870414,3.09277021107681,18.8920557711296,3.44999336306388e-05,0.00846661006965378
"LXN",-1.63535208503174,3.43973525645643,18.8769107517191,3.47292624740543e-05,0.00846661006965378
"BEND7",-1.29011484127393,3.56290157439997,18.8752022551314,3.47552307576508e-05,0.00846661006965378
"SLC35B4",-0.899420441338256,3.54845627502353,18.865467454364,3.49035750810227e-05,0.00846661006965378
"PANK4",-0.934977593855262,5.02428042321997,18.6511820921386,3.83386668080003e-05,0.00892125371436915
"LOC115483841",1.39078650633678,2.99029033790072,18.6179627063818,3.89014242608494e-05,0.00892125371436915
"MPRIP",-0.738558342435449,4.05123699397106,18.5400752178482,4.02543342621366e-05,0.00892125371436915
"ANKRD9",-0.581624803888048,5.74349077530883,18.5385957861624,4.02804938026091e-05,0.00892125371436915
"CHGB",-0.814088368569339,3.28883233981334,18.4556346837702,4.17756691106611e-05,0.00905554291275352
"WIPI1",-0.473740263957674,7.41551748671383,18.383308081347,4.31255759834357e-05,0.00909553747868133
"LECT2",1.7339164137957,3.42568836499221,18.3299976218413,4.41491334497664e-05,0.00909553747868133
"LOC103823860",-1.48331293416172,4.59506265188274,18.3009081470288,4.47181200420863e-05,0.00909553747868133
"LOC108964088",-0.603739225517451,5.7327196697009,18.2599886955326,4.55312535740821e-05,0.00909553747868133
"GPR155",-0.498702415253644,5.84686581637375,18.1599769521923,4.75830683557432e-05,0.0093226211616983
"AFF1",-0.440422051693553,6.17170390832339,18.0684160026827,4.95446224053261e-05,0.00945355569466469
"BCORL1",-0.700169245369118,3.29782568246512,18.2064156406494,5.01071856607669e-05,0.00945355569466469
"SDC4",-1.17047669808219,3.68699879054097,17.9045210399835,5.32654517630722e-05,0.00986669859203963
"PSMA7",-0.615924891630442,7.52303063026559,17.8502418282912,5.45599300336672e-05,0.00992601012826789
"B4GALT2",-0.459236457498869,6.77885896380492,17.7690161312694,5.65575932663849e-05,0.0100600044157249
"TMED2",0.362047067885121,6.57882084115692,17.7407070302431,5.72713247067182e-05,0.0100600044157249
"CHERP",-0.550251349221911,4.47526291253121,17.6942918043077,5.84616003880616e-05,0.0100950302500605
"PCYT1A",-0.508403546626829,4.45930353873418,17.5940944379268,6.11183437377112e-05,0.0103778947666634
"SERINC1",0.494238886180573,7.44014286647133,17.4080260836946,6.63853219173064e-05,0.011087437044156
"LOC115485216",-0.785782114225827,5.10658284590834,17.2156685607227,7.23213213665747e-05,0.0117046095961323
"RPL7L1",0.458907957324037,5.17035574047676,17.2139008109861,7.23783278912772e-05,0.0117046095961323
"GTF2H5",0.469377545546553,9.23256481389972,17.0935636356229,7.63693802241134e-05,0.0121570507144261
"PSAP",0.317712392838577,8.75004337907526,17.0164188017114,7.90460465298114e-05,0.0122109333324042
"C1D",0.809138655337329,6.20592378545431,16.9526951399062,8.13295392905487e-05,0.0122109333324042
"MED13",-0.652790763474627,5.8897799325352,16.932518622673,8.20665708033231e-05,0.0122109333324042
"CPAMD8",-1.48182821490454,2.61282262529806,16.9283192078427,8.22208315336917e-05,0.0122109333324042
"ALG2",1.26141558715841,2.36689865315983,16.9153082019977,8.27006674456117e-05,0.0122109333324042
"UBR4",-0.483676596048912,8.76645831029776,16.7553313468553,8.88408801307088e-05,0.0129301555253094
"PHACTR1",-1.02125937062555,2.68227802430478,16.684860186059,9.1692278743154e-05,0.0130190257495851
"PRKAG1",-0.505757471785817,5.46859625736677,16.6772141162326,9.20072491136755e-05,0.0130190257495851
"BGLAP",-3.83233715408652,2.94402777254342,16.7023101909348,9.65737262274285e-05,0.0134779879836307
"LOC103813337",-1.20820812556061,5.2716286065815,16.5033742822635,9.94759526748682e-05,0.0135103601059392
"NCOA1",-0.765910451005914,3.29917682934958,16.4399461255774,0.000102353537369339,0.0135103601059392
"RAB3IL1",-0.525563885265711,6.9283197454325,16.4214006838428,0.00010321093692795,0.0135103601059392
"LLGL1",-0.759946738370842,4.37633233088734,16.4181371550612,0.000103362578537015,0.0135103601059392
"ATP11C",-0.361640314246541,5.60089577615953,16.3951109494065,0.000104439021718156,0.0135103601059392
"MRPL9",-0.463759861973525,5.70623595291075,16.3701687410324,0.00010561802302354,0.0135103601059392
"LOC115484992",0.727262528900457,4.9704483460976,16.3602969976003,0.000106088418578242,0.0135103601059392
"CBFA2T3",-1.04235035784225,6.06078638405501,16.2734138425707,0.000110322347484701,0.0138760997058535
"SECISBP2",-0.806683175172864,5.20529316852287,16.1895876085334,0.000114571773587325,0.0142348442598497
