"","logFC","logCPM","F","PValue","FDR"
"PRKCZ",-0.984354921001951,4.99360974439908,25.6677312685036,1.97229298875245e-06,0.0200937209694099
"PACSIN3",-1.42529338950579,3.74267852452708,22.1211723481502,8.60671876384665e-06,0.0438426253830349
"TUBB1",-0.601671835945652,8.13488236668867,19.6566869968147,2.47266848935445e-05,0.083971821898477
"SLC30A10",-1.06632220512544,4.95071008485431,17.3692975712018,6.7538907291807e-05,0.167854779182465
"CLUH",-0.766231921104029,4.90279450019108,16.9240307393463,8.23786705842486e-05,0.167854779182465
"LOC103822992",-1.06503561715465,5.63417153446283,15.7671768221787,0.000138688628103492,0.23549329051973
"LOC103820060",-1.12679608814907,3.90721775674923,14.9548176467605,0.000200812522897794,0.240054423279313
"LOC115484476",4.44159245555552,1.39785486005181,14.8600366475338,0.000233356887286137,0.240054423279313
"APOBEC2",-0.922680911781676,5.98364092038546,14.4453629774756,0.000253764416580648,0.240054423279313
"TIMM13",-0.635750805044767,7.07993833157801,14.4386067373817,0.000254555823038497,0.240054423279313
"ZSWIM5",-1.30540293349611,2.71575412018044,14.8253159119827,0.000285381330116185,0.240054423279313
"MRTO4",-0.581735107728101,4.53271228547876,14.0578632998732,0.000303515259678848,0.240054423279313
"PSME3",-0.425025647775228,5.81783248803711,14.0380611605415,0.000306312083100811,0.240054423279313
"LPCAT3",-0.822271409977243,4.39030659906234,13.6743248363115,0.000362676606660671,0.263924947761351
"LOC103824689",-3.68501865986238,1.81484038392225,12.9001841777995,0.0005209803637574,0.320311557357319
"RNASEH1",-0.663354398766635,4.08999730734841,12.8483865353497,0.000533832583014782,0.320311557357319
"ACSL6",-0.843873496898179,4.02535222077386,12.8458057846992,0.000534481397239343,0.320311557357319
"LOC103825060",-0.674024876401841,7.07770931149208,12.5025780624115,0.000628429951441587,0.343569678952174
"IKZF1",-0.683792883068805,4.67321955493239,12.390830097064,0.000662560193628615,0.343569678952174
"LOC108964243",0.930706083813601,2.9945472638306,12.2469343436513,0.000709339961643316,0.343569678952174
"LOC108964204",-4.26110999639117,1.87386184129902,12.1280604992656,0.000750545033127421,0.343569678952174
"DEK",-0.902674166853609,3.07051816765139,12.0750634453206,0.000793510130685617,0.343569678952174
"HMBS",-0.319649298837088,8.03757561005177,11.9834601134339,0.000804011208816431,0.343569678952174
"LOC103816370",-2.64893495702227,1.37339407413981,11.9695650080123,0.000809351422737748,0.343569678952174
"BDH1",-0.83178739078037,4.71079710147009,11.7357437541132,0.000904905863867423,0.350702594999499
"CAVIN1",-1.75744980456396,4.0857128569282,11.6724154291558,0.00093273511558884,0.350702594999499
"LOC103816381",-0.448110174552967,7.79215828421418,11.5945130979499,0.000968182748341992,0.350702594999499
"SIDT2",0.638317365986635,6.00989463582804,11.4712763659592,0.00102711966514145,0.350702594999499
"CPOX",-0.595166464727931,7.96521322452159,11.4620612394649,0.00103167270979263,0.350702594999499
"TUBGCP5",-0.574648049138402,4.24278312715827,11.4600016647417,0.00103269315370877,0.350702594999499
"LOC103823572",-0.4181445368535,8.68230162030404,11.3054970139705,0.00111228989436173,0.365548691734106
"ENY2",-0.778058671466869,3.56810387501226,14.3227433200018,0.00115724249739719,0.368437080108831
"SLC25A21",-2.1397461207628,2.1942989868671,11.034854796264,0.00126731279424337,0.391254022659135
"ERP44",-0.640320409392247,6.20199427781973,10.7966552614277,0.0014221650656625,0.426147579087339
"LOC108961920",2.46767074874174,1.19167368925353,11.1228625130821,0.00158206591007301,0.455962819616558
"TAGLN",0.856128205328747,4.61087356714795,10.5398059008705,0.00161117604104791,0.455962819616558
"FAM107B",-0.594829494817456,6.08254472447133,10.3215406854104,0.00179212073541929,0.479174274671497
"HEBP1",-1.20953564185279,4.74510167338318,10.3052498777837,0.0018064409684914,0.479174274671497
"SYNDIG1L",-2.83985269294868,2.55114928201511,10.2244790541473,0.00187920730771458,0.479174274671497
"LOC103820069",-2.80002355319703,2.8363670504408,10.2156554020177,0.00188733789646664,0.479174274671497
"TSEN15",-0.67832304701743,7.10160726620477,10.1281952916459,0.00196992096106117,0.479174274671497
