"","logFC","logCPM","F","PValue","FDR"
"LOC108961920",4.20408516065108,1.19167368925353,12.1450154510606,0.000962979447665415,0.999979375434866
"LOC115484717",-8.71909410595301,3.21158744708711,7.10717575488285,0.00965491074305101,0.999979375434866
"LOC115484476",5.76395688115734,1.39785486005181,6.77141481085398,0.0110417789124202,0.999979375434866
"LOC115484762",8.33920433889281,4.27597855414617,6.12953854182538,0.0160092047144616,0.999979375434866
"LOC115485050",8.33920433889281,4.27597855414617,6.12953854182538,0.0160092047144616,0.999979375434866
"LOC115485182",8.33920433889281,4.27597855414617,6.12953854182538,0.0160092047144616,0.999979375434866
"LOC108962568",2.80030145276403,1.18053274211426,8.68921002806807,0.0188773478416382,0.999979375434866
"WBP1L",0.889373203640412,5.72540448942832,5.509468140891,0.020975046154314,0.999979375434866
"LOC115485178",8.33878238118774,4.60209344773282,5.43361168805548,0.0225306598134393,0.999979375434866
"GMEB2",0.985799451336551,3.33334057333489,5.35992848485185,0.0227421404174476,0.999979375434866
"LOC115484227",-2.4054073437529,1.5239791874966,5.57232179290953,0.026019965249498,0.999979375434866
"LOC115485566",-6.87808032287673,1.70151094484582,5.2269920688372,0.0270350641570504,0.999979375434866
"LOC115485353",-5.54729920597063,2.35220197791934,5.0247715761842,0.0274275203375119,0.999979375434866
"CUNH15orf40",-0.606983436726554,3.90065950907091,8.0479762665873,0.0275877581672177,0.999979375434866
"LOC115485056",3.27474588293237,2.35791303176534,4.93670263424129,0.0286494252213275,0.999979375434866
"SERINC1",0.534511394327771,7.44014286647133,4.77589654646157,0.0313022303150623,0.999979375434866
"LOC103823845",1.56285280442435,4.22255216248757,4.66496719827066,0.0332833608890887,0.999979375434866
"LOC103814960",3.46286305849914,1.14506722154853,4.71226703810356,0.0342291238856587,0.999979375434866
"LOC103825246",2.14833275896316,1.30689080753917,4.65917709098445,0.0345440719092689,0.999979375434866
"LOC115484272",-1.10067884591359,2.35897855434618,4.59311673944468,0.0346373401558745,0.999979375434866
"TAGLN",0.852634602735732,4.61087356714795,4.4465209627955,0.0375849754541575,0.999979375434866
"LOC108961208",1.98434944605394,3.42627324212679,4.43764076060844,0.0377719096049648,0.999979375434866
"TM2D2",-0.802888589641937,3.4064822023475,4.38758231859075,0.0388443805165443,0.999979375434866
"CDC37L1",0.837550602937051,7.52563141375926,4.30651254453043,0.0406507337863217,0.999979375434866
"LOC108962378",2.64426935841048,1.21195220012751,5.65954632702842,0.0409950649442218,0.999979375434866
"LOC103825829",0.766215726879596,4.39288599030381,4.23554069900749,0.0423057861134165,0.999979375434866
"LOC115484809",-3.90046870177814,5.8737006041702,4.10708794169237,0.0454873148927716,0.999979375434866
"YIPF1",0.606665401401848,7.51284566318667,4.08413540518078,0.0460823019960799,0.999979375434866
"ZAR1",-1.45413021655791,3.07790261318128,4.02432335792905,0.0476723204031835,0.999979375434866
"PABPN1",-0.823755929783494,4.74065361614298,3.99353402976839,0.0485136618051447,0.999979375434866
"ARRDC2",0.394306083479166,10.2311258059465,3.96692110328712,0.0492537240496003,0.999979375434866
"LOC115483998",2.19672034636159,2.56823346946705,3.92118942076917,0.0505539138481321,0.999979375434866
"ARSA",-1.38881845809669,1.90285309079599,5.80886351499387,0.0509876469196603,0.999979375434866
"LOC108962554",2.19352363437816,1.62836909036025,3.90229780435508,0.0511017392987038,0.999979375434866
"SPSB3",0.398712087260847,7.4262569315725,3.86512362098262,0.0521984550743268,0.999979375434866
"CRBN",0.384196078951176,6.47335487431384,3.86238877090621,0.052280132566667,0.999979375434866
"LOC115485000",-4.13611878600473,1.20709154505347,3.91124992421705,0.0525118811075705,0.999979375434866
"LOC115485606",3.47266976702951,2.06792786795953,3.81544157549565,0.0539354287662959,0.999979375434866
"RBM34",0.512883178265755,4.0917005409848,7.03561139855539,0.0565614497850313,0.999979375434866
"LOC108964226",2.10528308544454,1.53172820644296,3.68387443248065,0.0579211946584732,0.999979375434866
"RAB5A",0.355615868099846,6.55677287625382,3.67272811504113,0.0582945575662977,0.999979375434866
"LOC108964112",-1.09535816314852,5.30899003799204,3.66281357627639,0.0586288447697429,0.999979375434866
"CXCR5",-0.999879802989835,2.36376174372408,6.73841045619892,0.0591216940211823,0.999979375434866
