"","logFC","logCPM","F","PValue","FDR"
"PRKCZ",-0.718697954653391,4.99360974439908,26.6717324609381,1.3115182259316e-06,0.0133617476857911
"PCTP",-4.46826394795558,2.63760195050608,21.6235115411309,1.0627886969586e-05,0.0393066748805979
"RNASEH1",-0.619575413756107,4.08999730734841,21.2273632753814,1.25807019728309e-05,0.0393066748805979
"PACSIN3",-0.985027572142862,3.74267852452708,20.749702458546,1.54325382334503e-05,0.0393066748805979
"LOC103816513",-0.852851627788134,6.17298685015478,20.1399931800775,2.00607369589217e-05,0.0408757576274988
"HMBS",-0.290878907145016,8.03757561005177,18.6621854002938,3.81541093924582e-05,0.0572300465003813
"TIMM13",-0.522559483067995,7.07993833157801,18.4708550603666,4.14971567496904e-05,0.0572300465003813
"TUBB1",-0.421522426664164,8.13488236668867,18.2897086435947,4.49391806049323e-05,0.0572300465003813
"ERP44",-0.590120491776498,6.20199427781973,17.4057097333932,6.64537461798946e-05,0.0752256406756407
"TSEN15",-0.636150881187763,7.10160726620477,16.7972332757838,8.71887361002564e-05,0.0888278843389412
"PSME3",-0.334893289692531,5.81783248803711,16.4964877201684,9.97843205571745e-05,0.0924184234396813
"LOC103823572",-0.357218907171423,8.68230162030404,15.5405021358478,0.000153721610511829,0.122233396693081
"CLUH",-0.527889424975966,4.90279450019108,15.4386612157977,0.000161010900863244,0.122233396693081
"LOC103822992",-0.758606816969584,5.63417153446283,15.3457716302534,0.000167968939311262,0.122233396693081
"LOC103824689",-2.63049294299176,1.81484038392225,15.1275389808908,0.000185557379273244,0.123546124950543
"LOC103820060",-0.806707503885652,3.90721775674923,15.0150656351132,0.0001953501139191,0.123546124950543
"FAM107B",-0.514977788863544,6.08254472447133,14.7101979343498,0.000224653410320645,0.123546124950543
"EPAS1",-1.23109972222222,7.61607343016114,14.6592502190709,0.000229974322658134,0.123546124950543
"LOC115484476",3.34312779632595,1.39785486005181,14.8885552911293,0.000230406004521037,0.123546124950543
"GUSB",0.516016572317493,3.96076531399337,14.2456215143555,0.000278265675612215,0.127785206271886
"LOC108964204",-2.7602075533944,1.87386184129902,14.2004090591538,0.000284141434433799,0.127785206271886
"APOBEC2",-0.658957474653948,5.98364092038546,14.1658693153298,0.000288715995989033,0.127785206271886
"SLC30A10",-0.689734061485691,4.95071008485431,14.0856915198057,0.000299629138970228,0.127785206271886
"GDE1",-0.42196971139955,5.77344704039187,13.9716676893885,0.000315884237086523,0.127785206271886
"ACSL6",-0.6336259520667,4.02535222077386,13.9230525040967,0.000323087846018548,0.127785206271886
"ENY2",-0.600850349580578,3.56810387501226,16.9271427092882,0.000326110655974582,0.127785206271886
"EIF4EBP2",-1.57699074096786,3.42227045329331,13.5344539025288,0.000387097797366625,0.14606490220634
"TMEM100",-1.60322136859836,2.62658036969963,13.0255766963257,0.000491169066854462,0.167550283942846
"JPH1",-0.604934026663727,3.81989817532483,13.0186071114298,0.000492779044025933,0.167550283942846
"GSAP",-1.20804093158641,3.65355023259969,13.0160314573389,0.000493375394413564,0.167550283942846
"MFSD2B",-0.42576923882718,6.0989249910651,12.8724589363522,0.000527819553026854,0.173465342136696
"LOC103816381",-0.341261820658634,7.79215828421418,12.7043715816764,0.000571308762830715,0.178469485460742
"ATP1B3",-0.36734732401335,6.66155365911886,12.6286613462216,0.000592086024646297,0.178469485460742
"CTBP1",-0.322781245161321,7.73852711929251,12.6161311931832,0.000595598989562744,0.178469485460742
"BTF3",-0.376988662485894,7.18212942973075,12.3727960558962,0.00066824449043519,0.19451642481582
"ASB9",-0.879927328948875,4.4937246298987,12.0368132166326,0.000783841305528271,0.215433073378488
"LOC103822078",-0.349868197066478,4.86178885002031,12.0394176683418,0.00078562058154904,0.215433073378488
"EXOG",-0.917061230688667,4.97724295135006,11.9846929874714,0.000803539142950779,0.215433073378488
"FAM222A",-3.03670408454992,1.93931737194547,11.9253953408705,0.000826570824870895,0.215925732404735
"IER3",0.78174604429126,7.33729803603591,11.8681867247271,0.000849435981371575,0.21635134445534
"ZSWIM5",-0.844014263476474,2.71575412018044,12.1884570070466,0.0010218699792341,0.252429964278378
"VPS72",-0.451500467359963,6.09180321795296,11.4299257668074,0.00104771376260693,0.252429964278378
"EFCAB1",-0.538430898547598,4.55608311070311,11.3950400845381,0.00106541896976543,0.252429964278378
"NEFM",-1.74132781148147,1.45826064117182,11.36007869124,0.00112772516884535,0.261091868376451
"COPS9",-0.506573766960685,4.52996534949928,11.1719462132143,0.00118618213681247,0.261091868376451
"TUBGCP5",-0.40745144597483,4.24278312715827,11.1558548934861,0.00119542081187559,0.261091868376451
"NPHP1",-0.578651649351668,4.24175689101766,11.1401874778021,0.00120448741791256,0.261091868376451
"KDM7A",-0.299141035199913,6.53776982164566,10.8941205665074,0.00135656958996389,0.277079186760262
"THUMPD2",-0.644364838784191,3.2967349005512,10.8797866219753,0.00136601727722085,0.277079186760262
"HSPA5",0.44709868825654,8.54228770460948,10.8593660456283,0.00137959413331262,0.277079186760262
"PSMB4",-0.512928730070849,6.37466710580272,10.8291804445469,0.00139991889698936,0.277079186760262
"LOC103824978",0.552701125338906,3.68328211894763,10.8054671059172,0.00141610226284852,0.277079186760262
"SYNDIG1L",-2.0692607260651,2.55114928201511,10.763454682038,0.00144524963294252,0.277079186760262
"DLG1",-1.71373133585749,3.00904953817308,10.7035921627688,0.00148785456616617,0.277079186760262
"LOC108962366",-0.388181331321163,5.42259743862052,10.6824256716601,0.00150322742169688,0.277079186760262
"ABCB7",-0.311204031653916,6.84211478540924,10.5981073973845,0.00156611200026341,0.277079186760262
"CD81",0.351112705773141,6.28961546353644,10.5651105572448,0.00159145466481907,0.277079186760262
"SMDT1",-0.322133440813635,8.66882629795436,10.4185680273389,0.00170922421031154,0.277079186760262
"AGFG1",-0.259172917047427,7.01065894713245,10.3938143943589,0.00172998918916057,0.277079186760262
"NDUFV2",-0.468660513479671,3.72221028528105,12.4726885730664,0.00174521816347631,0.277079186760262
"SLC39A8",-1.93420189647081,1.46639878892053,10.3737127204941,0.00174704337457987,0.277079186760262
"ADK",-0.519948598506941,5.56029099208093,10.3693927763179,0.00175073100697916,0.277079186760262
"CARS2",-0.221987235170211,6.85091994325168,10.363123892238,0.0017560966130625,0.277079186760262
"LOC103816882",0.614273406034999,5.22441040486543,10.3335726614009,0.00178161948018806,0.277079186760262
"PPA2",-0.43513592637122,6.34891117886357,10.2709118149002,0.0018370138064173,0.277079186760262
"CIRBP",0.392463895765191,7.25789509938774,10.2425796681827,0.00186264145751546,0.277079186760262
"LOC103812828",-0.514283638185609,5.55637909016782,10.2418761438048,0.00186328250383597,0.277079186760262
"LOC108961208",1.44818188736951,3.42627324212679,10.2005611343657,0.00190133091750891,0.277079186760262
"EEF1D",-0.590297048103927,6.70541118673461,10.1912429042755,0.001910022766381,0.277079186760262
"HEBP1",-0.857003564103673,4.74510167338318,10.1848498848763,0.00191600977123724,0.277079186760262
"MRPL44",-0.260429675483107,7.08610161936307,10.1689752793723,0.00193096017471325,0.277079186760262
"ISCA2",-0.451172507485015,6.56603433702844,10.1014153509747,0.00199594722183413,0.282426531889529
"PDCD2L",-0.447190541396881,3.81757841619974,10.0127990903738,0.00208463110326029,0.290934543561861
"PKNOX1",-0.654805281647534,5.61244119561604,9.96636803072851,0.00213271349041518,0.293622770815539
"CDH22",-1.55129332795112,1.78846900990789,9.89778912545721,0.00220583777648193,0.299641003557305
"PYGL",0.677632270570538,2.82262685106019,13.294139025903,0.00225591973173386,0.302411976669797
"PAFAH1B2",0.396180812186489,4.42502288448658,9.76894890939047,0.00235030853277629,0.310973290024998
"ZNF622",-0.23853625570094,6.04555670866513,9.68933080051125,0.00244444389800639,0.311852976750059
"DCUN1D3",-0.423816049299689,4.9132900448473,9.64935672774678,0.00249316840471233,0.311852976750059
"WRN",-0.253214077162129,5.69344672669547,9.63296718339948,0.00251343495950041,0.311852976750059
"LYRM1",-0.673752309701681,7.08488825048588,9.62163058508708,0.00252755289095621,0.311852976750059
"CPOX",-0.395660376981813,7.96521322452159,9.61154976167905,0.00254017583915632,0.311852976750059
"MFSD1",0.514865092245192,7.84888472675333,9.59500630597239,0.00256103260422129,0.311852976750059
"RAB44",0.620478890119887,3.94015088004206,9.56480945275776,0.00259956048805747,0.311852976750059
"MEMO1",-0.326535402770614,4.96786464186807,9.50117730539446,0.00268272354376416,0.311852976750059
"TIMP2",0.475668789813324,3.7066921511821,9.44288964464409,0.00276131718715671,0.311852976750059
"ERLIN2",-0.332883893410025,5.82518023998464,9.44240235198936,0.00276198418843469,0.311852976750059
"LOC103814975",-2.10010570395522,1.16521709345528,9.51306067519981,0.00278360798482094,0.311852976750059
"PLPBP",-0.247650378816659,7.42394255398309,9.40659549615368,0.00281145527148492,0.311852976750059
"LOC115485204",0.760242192367189,2.39470962311787,9.40588706914316,0.0028124432378803,0.311852976750059
"BPGM",-0.989594641315453,4.38371105992309,9.39789300712821,0.00282361661985907,0.311852976750059
"UBTD1",-0.339369247126099,7.41219096776141,9.38379733819993,0.00284343031245596,0.311852976750059
"GPX1",-0.325184327494694,12.4676865975444,9.38147078913471,0.00284671445207651,0.311852976750059
"MALL",-0.881402110809895,5.07886961133589,9.33673700125476,0.00291062941186404,0.315462685617775
"RNF144B",-0.964273660277839,2.81137719862783,9.30726784647101,0.00295354430145169,0.31586133410404
"CEP44",-0.657339677815127,4.68105608385872,9.27872801877044,0.0029957302567475,0.31586133410404
"NCOA4",-0.267480621368177,10.1222286330427,9.27096184156128,0.0030073173741747,0.31586133410404
"CCNDBP1",-0.419429634137533,7.2202369379682,9.16322847771912,0.00317292744436768,0.325594615332177
"ARHGEF12",-0.804842601187239,5.12353598709899,9.1504974698664,0.00319311221949725,0.325594615332177
"FAM78A",-0.563662933486364,4.24300921284794,9.14876836972925,0.0031958639117803,0.325594615332177
"LOC103820069",-1.88297417188952,2.8363670504408,9.12873503045701,0.00322792458799456,0.325604907945432
"SGK1",-0.326353922829501,7.85162915601123,9.02703841380584,0.00339589028724682,0.334950998086888
"STK38",-0.308469526229119,7.1121380312842,8.98792988803042,0.00346287033123855,0.334950998086888
"ADI1",-0.755478317905904,4.92996637333847,8.98675570254502,0.00346490235386731,0.334950998086888
"OAF",1.02074586335194,2.2342999602786,8.96650300600972,0.0035001463139386,0.334950998086888
"E2F1",-0.470559202000115,5.19314224855629,8.95737095977285,0.00351615926653382,0.334950998086888
"MGAT2",0.469252159176387,3.48581425093806,10.6784797698623,0.0035178402822239,0.334950998086888
"STEAP3",-0.543915383425344,4.24503918958511,8.90746991791794,0.00360501060354878,0.340072666934768
"RP9",-0.243780901844527,6.77673879917944,8.87577369254224,0.00366265240270662,0.342340391548395
"PFDN1",-0.383832151157889,6.96170047505018,8.82209135945669,0.003762465579769,0.347482624288259
