"","logFC","logCPM","F","PValue","FDR"
"LOC108962267",-8.0808567605804,1.71277319971159,18.208533485004,7.45870928482002e-05,0.759893301937464
"LOC115485515",-8.6831567887165,4.65687945863052,14.2168609135761,0.000306936400726413,0.999959823564614
"LOC108964221",3.10483218158941,1.12497382825114,12.0047102280745,0.00100000228246034,0.999959823564614
"LOC115484447",-3.28244287637859,2.23082673015828,10.4007237534541,0.00172416709040461,0.999959823564614
"ARRDC2",-0.435309027826239,10.2311258059465,10.2519375511771,0.00185413625596711,0.999959823564614
"LOC103821920",-0.815392272524466,3.49244500998121,9.95138470088635,0.00214847313727589,0.999959823564614
"LOC103823304",0.583600643606703,8.7216389931073,9.8950440680395,0.00220881815171248,0.999959823564614
"KDM5B",-0.366548679734088,5.97048871512112,8.92535370857473,0.00357290318899322,0.999959823564614
"LOC103823857",0.749056788943865,9.18177624063521,8.91104809164179,0.00359856274377629,0.999959823564614
"PUM1",-0.364730181944081,6.38109001295779,8.1867035949103,0.00518280830295235,0.999959823564614
"LOC115484021",-0.614108827417761,3.98466997569121,7.78334460388227,0.00636429460262937,0.999959823564614
"SIDT2",-0.524603313381901,6.00989463582804,7.26194485679545,0.00832007848182567,0.999959823564614
"BCAS3",-0.347714459416834,5.1541591214828,7.2566523103758,0.0083428671486997,0.999959823564614
"LOC108964489",2.58814337062161,1.10109988068178,10.3986669493584,0.00848510331246275,0.999959823564614
"LOC115484717",6.9436332706185,3.21158744708711,6.9196636564337,0.0106109963760494,0.999959823564614
"SMOX",-0.344745579827494,7.97504657367259,6.74416809572196,0.0108894136948084,0.999959823564614
"LOC108964008",2.15647428254078,1.48331427932154,6.43871436156695,0.0127823647462961,0.999959823564614
"PNPLA7",-0.343256028061218,5.1851961534098,6.40521789632323,0.0130099468340258,0.999959823564614
"ZMPSTE24",0.511268856099598,4.67898465185036,6.38786763659214,0.0131294913677131,0.999959823564614
"GTF2H1",0.566299127226637,7.08484577990875,6.36555014204721,0.0132849533587052,0.999959823564614
"LOC115485383",-0.557880902364932,5.37701853308852,6.35758735364373,0.0133408868921703,0.999959823564614
"COG7",-0.306290658182388,6.08460921971113,6.25371895689463,0.0140935096272949,0.999959823564614
"C2CD2L",0.458091126141911,4.82777660543486,6.1789571696782,0.0146626698626785,0.999959823564614
"TNFRSF9",-1.54047487833916,1.61856752207454,6.16740370562789,0.0147527525651234,0.999959823564614
"MTMR3",-0.393015605945055,8.42653803400759,6.08054448562689,0.0154488524476792,0.999959823564614
"MED12",-0.382450307121263,5.47688616356541,6.05349269322202,0.0156726156899321,0.999959823564614
"PIKFYVE",0.397576708859847,5.57900831117704,5.98372604290039,0.0162655350312225,0.999959823564614
"LOC103821876",-0.251573159660225,9.44050091375322,5.97685444382697,0.0163251939526622,0.999959823564614
"HINT2",0.679311948860184,3.27221905335624,5.96379544254745,0.0164392053970226,0.999959823564614
"RBL2",-0.295289112416532,8.08835194462948,5.90243599110138,0.016986202850514,0.999959823564614
"ABCB6",-0.355577457895214,7.04086813463404,5.89849319482311,0.0170219985490762,0.999959823564614
"BTG1",-0.26077487110792,8.61212498603542,5.87832546161792,0.0172063394351217,0.999959823564614
"KAT7",-0.398506030115063,6.49085897353813,5.82421007878728,0.0177114110525028,0.999959823564614
"AMBRA1",-0.283498769030889,5.654726633808,5.8103550943134,0.0178432108995632,0.999959823564614
"SMG9",-0.490381965873314,6.32976316680409,5.77604938569016,0.018174009254599,0.999959823564614
"WBP11",-0.48176520134741,5.42858870699465,5.76225718128764,0.0183088136265642,0.999959823564614
"PLEKHG3",-0.964870993748453,2.29249327316713,5.75188207502358,0.0184109118890979,0.999959823564614
"WWP2",-0.343225865818733,5.31776935168439,5.68704824628433,0.0190626298862149,0.999959823564614
"OSBP2",-0.396667950907166,8.12188257227045,5.66706404058922,0.0192683704514643,0.999959823564614
"LOC103824652",-0.439293347370743,6.05299324559833,5.65316994978368,0.0194127878836264,0.999959823564614
"PFKFB3",-0.55626610011614,8.25678361676475,5.6363069107242,0.0195895962276403,0.999959823564614
"SLC29A1",-0.352892153319453,8.35550603077791,5.62525457071988,0.0197063981168526,0.999959823564614
"MAST3",-0.544633304637043,4.80562574779147,5.59898586317511,0.0199869581880738,0.999959823564614
"TAGLN",-0.654227948358342,4.61087356714795,5.59423284970964,0.0200381697553602,0.999959823564614
"EFTUD2",-0.345975284448111,4.76676441113066,5.58260001270167,0.0201640918272834,0.999959823564614
"LOC115484647",0.510208943283074,6.4360573937741,5.5442436402606,0.0205852232136479,0.999959823564614
"TRAF7",-0.347495274018806,4.56397902401148,6.45356691792872,0.0224584487917151,0.999959823564614
"LOC115484195",0.673539897633236,4.93192198512346,5.38305010144158,0.0224589668593736,0.999959823564614
"ADCY9",-0.42464496123709,6.65370083974842,5.36592344269647,0.022668359666595,0.999959823564614
"TIMM50",-0.395757914054022,5.440894786888,5.35385515087862,0.0228171440537036,0.999959823564614
"LOC103817875",-0.30947252634497,7.7219529813871,5.33716448291276,0.0230246150448203,0.999959823564614
"DDB1",-0.323484706770845,6.54331028561021,5.3129238769141,0.0233294855121599,0.999959823564614
"DHX38",-0.200930265600244,6.49280139346795,5.24792734838368,0.0241681499893389,0.999959823564614
"UBB",0.340580226840177,12.0009731569866,5.20807314616577,0.0246980894754834,0.999959823564614
"HPS5",0.586542952708903,6.54726999014707,5.18615376963378,0.0249947685289378,0.999959823564614
"ZNF341",-0.424512366384917,4.19262887703021,5.16893651747121,0.0252304434023474,0.999959823564614
"NRAS",-0.257614198749922,6.00200933961353,5.16203056016321,0.0253256328883203,0.999959823564614
"SYVN1",-0.364061234398771,6.82589127213298,5.1562866235691,0.0254050945116518,0.999959823564614
"TNPO3",-0.236333737037516,6.05753168540255,5.14779809453308,0.0255230075390097,0.999959823564614
"MSL2",-0.28360546499475,6.15322568826999,5.12308179004533,0.0258696439878899,0.999959823564614
"LOC103824715",-0.550246474248003,8.17769596190814,5.11213523154848,0.0260247518963777,0.999959823564614
"EDC3",-0.415047849960871,4.58937306518058,5.08104154542948,0.0264707224812324,0.999959823564614
"TPX2",0.847705899493498,3.93440810457929,5.07073317968131,0.0266203511802818,0.999959823564614
"LOC108964603",-0.492157104485422,7.1201671822371,5.04581030031733,0.0269858216517035,0.999959823564614
"PRPF40A",-0.290883735909213,6.31574126042958,5.04314680987331,0.0270251919619533,0.999959823564614
"PIAS1",-0.24960356340462,5.25380508549364,5.31924889155174,0.0270664758746065,0.999959823564614
"JADE1",-0.28184172745237,8.46772496717401,5.03365152110029,0.0271660414948936,0.999959823564614
"SIK3",-0.384946669619963,6.09254801411073,5.01462127811762,0.0274506723951517,0.999959823564614
"KANSL1",-0.393412365959166,6.55048846557781,4.9870011812952,0.0278694072817881,0.999959823564614
"GPR82",1.63556113195408,1.49140740584493,8.71739402360058,0.0283243424162675,0.999959823564614
"ANAPC11",0.487607387338481,6.00848370276677,4.95387081141574,0.0283806182214806,0.999959823564614
"RAB35",-0.221322684172781,6.38326847843245,4.92781136435347,0.0287896969813015,0.999959823564614
"XRN2",-0.238987248215319,6.77598126948243,4.92746105644955,0.0287952384334976,0.999959823564614
"LOC103822239",0.860322714664214,6.16035400435951,4.89218904273061,0.029359025864586,0.999959823564614
"ZBTB44",-0.31372189367711,7.30225025699623,4.89050371554361,0.0293862551927197,0.999959823564614
"GLCE",0.751829655122891,3.2450741417555,4.88852558735319,0.0294182493618957,0.999959823564614
"TAL1",-0.28398989158286,10.3356010650866,4.84494650718994,0.0301325425849479,0.999959823564614
"LOC115484226",-0.468250057273074,4.18864186036736,4.84195878011716,0.0301821824110487,0.999959823564614
"SUPT6H",-0.225770075584575,6.63506059990101,4.84014323628925,0.0302123892514067,0.999959823564614
"ENY2",0.500665213585934,3.56810387501226,6.16177237883472,0.0316847773616647,0.999959823564614
"CSNK2A2",-0.260950399519514,5.2086410225657,9.80930675281199,0.0320187479959641,0.999959823564614
"WIPI2",-0.277613130008631,4.86602394002968,5.61646442377658,0.0321396075246201,0.999959823564614
"LOC103814960",-2.62131036374825,1.14506722154853,4.82998420164056,0.0321460671502572,0.999959823564614
"TECTA",0.483898952060657,6.33774962259679,4.72720475296838,0.0321559645792063,0.999959823564614
"LOC108964228",-0.647978425228665,4.17707200379912,4.70188218036827,0.0326096953546835,0.999959823564614
"GATAD2B",-0.329925553228754,5.01588689329329,4.70173940237801,0.0326122728466597,0.999959823564614
"SEC16A",-0.274885803324154,6.00316130450677,4.6941429617764,0.0327497196610179,0.999959823564614
"PROSER2",-0.306065790536774,5.65179135882394,4.67935885049918,0.0330189842413754,0.999959823564614
"DDX23",-0.331628450137323,8.87444860298581,4.66727323587655,0.0332408477983787,0.999959823564614
"YIPF1",-0.444612068178648,7.51284566318667,4.65596561600634,0.0334498637939086,0.999959823564614
"FABP6",1.81283424991427,1.23660037991002,5.17676268969905,0.0335415530188632,0.999959823564614
"MGAT1",-0.278686756467436,6.81199582243651,4.62574888856234,0.0340152884509328,0.999959823564614
"LOC108964039",-0.530673586189425,8.71833539264931,4.621802332378,0.0340898843811987,0.999959823564614
