"","logFC","logCPM","F","PValue","FDR"
"HMBS",-0.260170388452536,8.03757561005177,30.634071354951,2.71796836939992e-07,0.00162964430716868
"LOC108963957",3.23297904011075,5.37602823293255,29.7627245759606,3.82355044865589e-07,0.00162964430716868
"GNG2",1.58132090402275,5.97043799435648,28.3392390694848,6.71606026222512e-07,0.00162964430716868
"TIMM13",-0.447978007434474,7.07993833157801,28.0973342698047,7.39612707888894e-07,0.00162964430716868
"KATNB1",-0.328833476108324,5.75363607446799,27.7143831177194,8.62002706505974e-07,0.00162964430716868
"PLPP2",-0.616888194724309,6.70636441864119,27.4465813402482,9.59743408226551e-07,0.00162964430716868
"RTRAF",1.19860500531204,9.02538043490321,26.6275388278013,1.33517732154454e-06,0.0019432552216994
"MFSD2B",-0.416465514226938,6.0989249910651,25.5548331380638,2.06539163447006e-06,0.00263027624649762
"LOC103823572",-0.316841183401314,8.68230162030404,25.1510464847726,2.4368075902099e-06,0.00275846619211761
"HKDC1",-0.721494754358289,3.09277021107681,24.5970129130062,3.06067813978542e-06,0.0028972575092128
"LOC115483841",1.07242271878298,2.99029033790072,24.5441513034503,3.12817359651951e-06,0.0028972575092128
"EXOG",-0.893140957648703,4.97724295135006,24.0245244152833,3.87856760838306e-06,0.00326318948370102
"PRKCZ",-0.468435164154785,4.99360974439908,23.8535704604258,4.1638656545066e-06,0.00326318948370102
"LOC103818060",1.92400165850147,8.13111321390014,22.7837641225451,6.5100389326901e-06,0.00457041220425367
"MID1IP1",-0.706265344122309,6.50398344231903,22.616905554014,6.98300581087383e-06,0.00457041220425367
"LOC108961208",1.52925179578644,3.42627324212679,22.5515505094293,7.17771842050047e-06,0.00457041220425367
"GUSB",0.445845642585282,3.96076531399337,22.2743937444625,8.06725862962176e-06,0.00468532906399343
"LOC115484857",-0.805366897141753,3.20579837487669,22.1699160747955,8.43120848850474e-06,0.00468532906399343
"CPAMD8",-1.19088495464274,2.61282262529806,22.0854126470899,8.737853574389e-06,0.00468532906399343
"SEPTIN5",0.630071697473242,2.9936892218365,23.1691295127048,9.80030299449155e-06,0.00499227434539399
"YPEL1",0.423914096902484,6.83101046398518,21.438587881893,1.14975898845002e-05,0.00557797360682326
"KLHL25",-0.39320789605901,6.30158219732968,21.0266753177094,1.37066675251009e-05,0.00634743312480582
"TUBB1",-0.311001366589389,8.13488236668867,20.5415504839368,1.68749830303064e-05,0.00700626032718628
"MAPK8IP3",-0.482365624023597,4.62532896032225,20.4716213247652,1.73899912271114e-05,0.00700626032718628
"PHB",-0.394731710354096,7.43770542782666,20.4038704750221,1.79043211320345e-05,0.00700626032718628
"SCPEP1",1.04370971686409,4.30976509128474,20.3582142840795,1.82596864698168e-05,0.00700626032718628
"HSPA5",0.430390196614838,8.54228770460948,20.3193562398821,1.85678277222251e-05,0.00700626032718628
"CARS2",-0.216644978720921,6.85091994325168,20.1685283611088,1.98152424475689e-05,0.00720991750199398
"SERINC1",0.373884580490702,7.44014286647133,19.8566050033797,2.26747254140521e-05,0.00796586560408148
"SLC2A6",0.716743458912181,3.01794475535884,19.6531536300401,2.47646153761987e-05,0.00830439787666373
"ATP11C",-0.282966594448541,5.60089577615953,19.6067264324721,2.52685840377479e-05,0.00830439787666373
"EZR",-0.600858654396487,3.37539514300775,19.4614968306907,2.69139866018482e-05,0.00834219809961392
