entrezgene_id	ensembl_gene_id	wikigene_name	entrezgene_description	external_gene_name	gene_gff	description	gene_name	gene_tag	gene
103812246	ENSSCAG00000000012	PUF60	poly(U) binding splicing factor 60	PUF60	PUF60	poly(U) binding splicing factor 60	PUF60	LOC103812246	103812246
103812247	ENSSCAG00000000458	DTNBP1	dystrobrevin binding protein 1	DTNBP1	DTNBP1	dystrobrevin binding protein 1	DTNBP1	LOC103812247	103812247
103812248	ENSSCAG00000012744	OPRK1	opioid receptor kappa 1	OPRK1	OPRK1	opioid receptor kappa 1	OPRK1	LOC103812248	103812248
103812249	ENSSCAG00000014441	ELF1	E74 like ETS transcription factor 1	ELF1	ELF1	E74 like ETS transcription factor 1	ELF1	LOC103812249	103812249
103812251	ENSSCAG00000014451	PCDH8	protocadherin 8	PCDH8	PCDH8	protocadherin 8	PCDH8	LOC103812251	103812251
103812253	ENSSCAG00000014569	DIAPH3	diaphanous related formin 3	DIAPH3	DIAPH3	diaphanous related formin 3	DIAPH3	LOC103812253	103812253
103812254	ENSSCAG00000015022	TDRD3	tudor domain containing 3	TDRD3	TDRD3	tudor domain containing 3	TDRD3	LOC103812254	103812254
103812255	ENSSCAG00000012757	ATP6V1H	ATPase H+ transporting V1 subunit H	ATP6V1H	ATP6V1H	ATPase H+ transporting V1 subunit H	ATP6V1H	LOC103812255	103812255
103812260	ENSSCAG00000015098	MZT1	mitotic spindle organizing protein 1	MZT1	MZT1	mitotic spindle organizing protein 1	MZT1	LOC103812260	103812260
103812261	ENSSCAG00000015100	BORA	BORA aurora kinase A activator	BORA	BORA	BORA aurora kinase A activator	BORA	LOC103812261	103812261
103812262	ENSSCAG00000015182	KLF5	Kruppel like factor 5	KLF5	KLF5	KLF transcription factor 5	KLF5	LOC103812262	103812262
103812263	ENSSCAG00000015195	KLF12	Kruppel like factor 12	KLF12	KLF12	KLF transcription factor 12	KLF12	LOC103812263	103812263
103812264	ENSSCAG00000015207	TBC1D4	TBC1 domain family member 4	TBC1D4	TBC1D4	TBC1 domain family member 4	TBC1D4	LOC103812264	103812264
103812267	ENSSCAG00000015227	LOC103812267	AN1-type zinc finger protein 5-like		LOC103812267	AN1-type zinc finger protein 5-like	LOC103812267	LOC103812267	103812267
103812268	ENSSCAG00000015237	LOC103812268	glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial		LOC103812268	glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial	LOC103812268	LOC103812268	103812268
103812269	ENSSCAG00000015234	ACOD1	aconitate decarboxylase 1	ACOD1	ACOD1	aconitate decarboxylase 1	ACOD1	LOC103812269	103812269
103812270	ENSSCAG00000012762	RGS20	regulator of G protein signaling 20	RGS20	RGS20	regulator of G protein signaling 20	RGS20	LOC103812270	103812270
