ID,Day,Treatment,AB
SEM19-76,0,MG-lipid,0.0044
SEM19-76,7,MG-lipid,0.0189
SEM19-76,14,MG-lipid,0.1074
SEM19-76,21,MG-lipid,0.1199
SEM19-107,0,MG-protein,0.0052
SEM19-107,7,MG-protein,0.0181
SEM19-107,14,MG-protein,0.0531
SEM19-107,21,MG-protein,0.0450
SEM19-1481,0,MG-protein,0.0374
SEM19-1481,7,MG-protein,0.0812
SEM19-1481,14,MG-protein,0.1014
SEM19-1481,21,MG-protein,0.0857
615,0,Control-protein,0.0253
615,7,Control-protein,0.0177
615,14,Control-protein,0.0076
615,21,Control-protein,0.0113
209,0,MG-lipid,0.0060
209,7,MG-lipid,0.0209
209,14,MG-lipid,0.2019
209,21,MG-lipid,0.3592
164,0,Control-protein,0.0245
164,7,Control-protein,0.0229
164,14,Control-protein,0.0273
164,21,Control-protein,0.0282
SEM19-140,0,Control-lipid,0.0020
SEM19-140,7,Control-lipid,0.0048
SEM19-140,14,Control-lipid,0.0036
SEM19-140,21,Control-lipid,0.0020
Blue-050,0,Control-lipid,0.0072
Blue-050,7,Control-lipid,0.0004
Blue-050,14,Control-lipid,0.0016
Blue-050,21,Control-lipid,0.0000
LD19-239,0,MG-lipid,0.0024
LD19-239,7,MG-lipid,0.0406
LD19-239,14,MG-lipid,0.0253
LD19-239,21,MG-lipid,0.0185
AR17-21,0,MG-lipid,0.0000
AR17-21,7,MG-lipid,0.0133
AR17-21,14,MG-lipid,0.0129
AR17-21,21,MG-lipid,0.0197
Blue-035,0,MG-protein,0.0168
Blue-035,7,MG-protein,0.0232
Blue-035,14,MG-protein,0.0846
Blue-035,21,MG-protein,0.0823
Blue-042,0,MG-protein,0.0000
Blue-042,7,MG-protein,0.0200
Blue-042,14,MG-protein,0.0364
Blue-042,21,MG-protein,0.0114
Blue-043,0,MG-lipid,0.0032
Blue-043,7,MG-lipid,0.0664
Blue-043,14,MG-lipid,0.0914
Blue-043,21,MG-lipid,0.0714
Orange-24,0,Control-protein,0.0196
Orange-24,7,Control-protein,0.0205
Orange-24,14,Control-protein,0.0123
Orange-24,21,Control-protein,0.0036
601,0,Control-protein,0.0040
601,7,Control-protein,0.0051
601,14,Control-protein,0.0035
601,21,Control-protein,0.0040
Blue-047,0,Control-lipid,0.0040
Blue-047,7,Control-lipid,0.0025
Blue-047,14,Control-lipid,0.0000
Blue-047,21,Control-lipid,0.0000
SEM19-1354,0,Control-protein,0.0010
SEM19-1354,7,Control-protein,0.0005
SEM19-1354,14,Control-protein,0.0020
SEM19-1354,21,Control-protein,0.0000
618,0,Control-lipid,0.0051
618,7,Control-lipid,0.0025
618,14,Control-lipid,0.0096
618,21,Control-lipid,0.0020
172,0,Control-protein,0.0061
172,7,Control-protein,0.0030
172,14,Control-protein,0.0035
172,21,Control-protein,0.0025
617,0,Control-protein,0.0030
617,7,Control-protein,0.0051
617,14,Control-protein,0.0010
617,21,Control-protein,0.0061
619,0,MG-lipid,0.0005
619,7,MG-lipid,0.0445
619,14,MG-lipid,0.0192
619,21,MG-lipid,0.0177
SEM19-74,0,MG-protein,0.0020
SEM19-74,7,MG-protein,0.0465
SEM19-74,14,MG-protein,0.0485
SEM19-74,21,MG-protein,0.0399
610,0,MG-protein,0.0025
610,7,MG-protein,0.1133
610,14,MG-protein,0.0592
610,21,MG-protein,0.0430
Blue-10,0,Control-lipid,0.0061
Blue-10,7,Control-lipid,0.0051
Blue-10,14,Control-lipid,0.0005
Blue-10,21,Control-lipid,0.0020
625,0,Control-lipid,0.0349
625,7,Control-lipid,0.0273
625,14,Control-lipid,0.0233
625,21,Control-lipid,0.0283
48,0,Control-lipid,0.0060
48,7,Control-lipid,0.0105
48,14,Control-lipid,0.0065
48,21,Control-lipid,0.0100
Blue-015,0,MG-lipid,0.0110
Blue-015,7,MG-lipid,0.0309
Blue-015,14,MG-lipid,0.1018
Blue-015,21,MG-lipid,0.0854
Blue-049,0,Control-protein,0.0190
Blue-049,7,Control-protein,0.0165
Blue-049,14,Control-protein,0.0200
Blue-049,21,Control-protein,0.0205
Blue-045,0,MG-lipid,0.0045
Blue-045,7,MG-lipid,0.0085
Blue-045,14,MG-lipid,0.0230
Blue-045,21,MG-lipid,0.0170
Blue-098,0,Control-lipid,0.0409
Blue-098,7,Control-lipid,0.0374
Blue-098,14,Control-lipid,0.0439
Blue-098,21,Control-lipid,0.0359
101-LS,0,MG-lipid,0.0130
101-LS,7,MG-lipid,0.0150
101-LS,14,MG-lipid,0.0414
101-LS,21,MG-lipid,0.0085
Blue-037,0,MG-protein,0.0085
Blue-037,7,MG-protein,0.0514
Blue-037,14,MG-protein,0.1922
Blue-037,21,MG-protein,0.2052
Blue-024,0,Control-protein,0.0045
Blue-024,7,Control-protein,0.0030
Blue-024,14,Control-protein,0.0115
Blue-024,21,Control-protein,0.0085
Blue-039,0,Control-protein,0.0010
Blue-039,7,Control-protein,0.0030
Blue-039,14,Control-protein,0.0035
Blue-039,21,Control-protein,0.0050
Blue-032,0,MG-protein,0.0075
Blue-032,7,MG-protein,0.0125
Blue-032,14,MG-protein,0.0240
Blue-032,21,MG-protein,0.0170
Blue-031,0,MG-lipid,0.0025
Blue-031,7,MG-lipid,0.0100
Blue-031,14,MG-lipid,0.0434
Blue-031,21,MG-lipid,0.0309
106,0,,0.0005
106,7,,0.0102
Orange-027,0,,0.0020
Orange-027,7,,0.0026
