task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	50/27f058	240196	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_FASTA (GCF_007115625.1_cibio_Scana_2019_genomic.fna.gz)	CACHED	0	2022-07-13 18:32:26.510	12.2s	10.7s	93.7%	2.4 MB	7.2 MB	315.6 MB	1 GB
3	3b/bb3619	240194	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GUNZIP_GTF (GCF_007115625.1_cibio_Scana_2019_genomic.gtf.gz)	CACHED	0	2022-07-13 18:32:26.497	3.2s	1.6s	93.2%	2.1 MB	7.2 MB	10.5 MB	301 MB
1	e3/0328b8	240209	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (nfinput_withIDs.csv)	CACHED	0	2022-07-13 18:32:26.522	1.2s	0ms	89.2%	3.2 MB	13.7 MB	1.5 MB	39.9 KB
4	8c/6ae887	40016	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GCF_007115625.1_cibio_Scana_2019_genomic.fna)	CACHED	0	2022-07-13 18:33:52.149	5.5s	5s	92.6%	3.4 MB	12.4 MB	1 GB	200 KB
7	d4/635f00	37964	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (GCF_007115625.1_cibio_Scana_2019_genomic.gtf)	CACHED	0	2022-07-13 18:33:49.149	11.3s	9s	97.4%	919.1 MB	942.2 MB	301.2 MB	6.1 MB
6	fe/18ff75	77682	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:RSEM_PREPAREREFERENCE_GENOME (rsem/GCF_007115625.1_cibio_Scana_2019_genomic.fna)	CACHED	0	2022-07-13 20:37:08.390	7m 22s	7m 21s	480.7%	28 GB	35.8 GB	19.8 GB	28.1 GB
5	92/c38b44	250895	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (GCF_007115625.1_cibio_Scana_2019_genomic.fna)	CACHED	0	2022-07-13 18:32:38.928	10.5s	9s	66.7%	390.3 MB	403.2 MB	1.3 GB	301.1 MB
8	a8/63c823	207200	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/GCF_007115625.1_cibio_Scana_2019_genomic.fna)	CACHED	0	2022-07-13 21:48:12.541	15.8s	16s	98.1%	532.3 MB	663 MB	1.5 GB	703.3 MB
9	be/2a05d9	209177	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:SALMON_INDEX (genome.transcripts.fa)	CACHED	0	2022-07-13 21:48:29.340	8m 13s	8m 12s	439.5%	5.2 GB	13.2 GB	17.7 GB	11.6 GB
11	2b/35df28	256156	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES101_SEM19-140_Control-lipid_14)	CACHED	0	2022-07-13 18:32:45.371	8.8s	6.5s	72.3%	5.9 MB	10.3 MB	2.3 GB	2.3 GB
23	43/6df9f5	247670	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES17_615_Control-protein_0)	CACHED	0	2022-07-13 18:32:36.418	10.1s	8.2s	60.3%	6 MB	10.3 MB	2.4 GB	2.4 GB
25	6f/159bfa	248405	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES19_615_Control-protein_21)	CACHED	0	2022-07-13 18:32:36.960	10.6s	8.4s	56.2%	6 MB	10.3 MB	2.4 GB	2.4 GB
26	01/f7aa7e	1695	NFCORE_RNASEQ:RNASEQ:CAT_FASTQ (ES1_48_Control-lipid_0)	CACHED	0	2022-07-13 18:32:54.970	12.9s	11.5s	45.2%	6 MB	10.3 MB	2.7 GB	2.7 GB
