GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down
GO:0006412,translation,352,151,90.79,5.8e-19,0,GO:0006412,translation,352,112,51.75,1.0e-26,0,GO:0007186,G protein-coupled receptor signaling pathway,222,28,8.47,2.3e-08,3e-04
GO:0002181,cytoplasmic translation,41,20,10.57,2.3e-07,0.0014,GO:0090502,RNA phosphodiester bond hydrolysis, endonucleolytic,41,21,6.03,2.4e-08,1e-04,GO:0090502,RNA phosphodiester bond hydrolysis, endonucleolytic,41,11,1.56,7.5e-07,0.0045
GO:0090502,RNA phosphodiester bond hydrolysis, endonucleolytic,41,25,10.57,6.2e-07,0.0025,GO:0042274,ribosomal small subunit biogenesis,25,12,3.68,3.1e-08,1e-04,GO:0015074,DNA integration,33,9,1.26,2.6e-06,0.0103
GO:0015074,DNA integration,33,22,8.51,9.2e-07,0.0027,GO:0002181,cytoplasmic translation,41,15,6.03,1.6e-07,5e-04,GO:0032508,DNA duplex unwinding,37,8,1.41,3.8e-05,0.1133
GO:0042274,ribosomal small subunit biogenesis,25,12,6.45,5.0e-06,0.0095,GO:0015074,DNA integration,33,17,4.85,6.9e-07,0.0016,GO:0075713,establishment of integrated proviral latency,20,6,0.76,7.2e-05,0.1431
GO:0075713,establishment of integrated proviral latency,20,15,5.16,5.6e-06,0.0095,GO:0006278,RNA-dependent DNA biosynthetic process,79,23,11.61,1.0e-06,0.002,GO:0044826,viral genome integration into host DNA,20,6,0.76,7.2e-05,0.1431
GO:0044826,viral genome integration into host DNA,20,15,5.16,5.6e-06,0.0095,GO:0006310,DNA recombination,161,27,23.67,1.5e-05,0.0255,GO:0050911,detection of chemical stimulus involved in sensory perception of smell,14,5,0.53,0.00012,0.2044
GO:0006310,DNA recombination,161,53,41.53,1.6e-05,0.0238,GO:0075713,establishment of integrated proviral latency,20,11,2.94,3.1e-05,0.0411,GO:0046718,viral entry into host cell,50,8,1.91,0.00068,1
GO:0046718,viral entry into host cell,50,23,12.9,3.5e-05,0.0464,GO:0044826,viral genome integration into host DNA,20,11,2.94,3.1e-05,0.0411,GO:0090305,nucleic acid phosphodiester bond hydrolysis,87,17,3.32,0.00101,1
GO:0006278,RNA-dependent DNA biosynthetic process,79,29,20.38,4.6e-05,0.0548,GO:0046718,viral entry into host cell,50,17,7.35,7.8e-05,0.093,GO:0035998,7,8-dihydroneopterin 3'-triphosphate biosynthetic process,2,2,0.08,0.00145,1
GO:0006281,DNA repair,244,67,62.93,0.00033,0.3577,GO:0006281,DNA repair,244,37,35.87,0.00025,0.2568,GO:0071320,cellular response to cAMP,14,4,0.53,0.00153,1
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,14,10,3.61,0.00044,0.4371,GO:0032508,DNA duplex unwinding,37,13,5.44,0.00026,0.2568,GO:0006310,DNA recombination,161,10,6.14,0.00167,1
GO:0050790,regulation of catalytic activity,671,153,173.07,0.00087,0.7979,GO:0050911,detection of chemical stimulus involved in sensory perception of smell,14,8,2.06,0.00028,0.2568,GO:0001658,branching involved in ureteric bud morphogenesis,10,4,0.38,0.00264,1
GO:0034101,erythrocyte homeostasis,76,23,19.6,0.00114,0.9708,GO:0050790,regulation of catalytic activity,671,80,98.64,0.00033,0.281,GO:0006278,RNA-dependent DNA biosynthetic process,79,9,3.01,0.00296,1
GO:0006364,rRNA processing,85,31,21.92,0.00169,1,GO:0006364,rRNA processing,85,20,12.5,0.00084,0.6676,GO:0043622,cortical microtubule organization,3,2,0.11,0.00424,1
GO:0019068,virion assembly,32,14,8.25,0.00210,1,GO:1904667,negative regulation of ubiquitin protein ligase activity,8,5,1.18,0.00258,1,GO:0097112,gamma-aminobutyric acid receptor clustering,3,2,0.11,0.00424,1
GO:0007023,post-chaperonin tubulin folding pathway,4,4,1.03,0.00441,1,GO:0007186,G protein-coupled receptor signaling pathway,222,46,32.64,0.00308,1,GO:0006281,DNA repair,244,12,9.31,0.00434,1
GO:0050908,detection of light stimulus involved in visual perception,4,4,1.03,0.00441,1,GO:0006508,proteolysis,735,89,108.05,0.00313,1,GO:0043583,ear development,48,5,1.83,0.00818,1
GO:0006999,nuclear pore organization,10,5,2.58,0.00442,1,GO:0060059,embryonic retina morphogenesis in camera-type eye,3,3,0.44,0.00317,1,GO:0051660,establishment of centrosome localization,4,2,0.15,0.00827,1
GO:0071539,protein localization to centrosome,22,13,5.67,0.00516,1,GO:0050917,sensory perception of umami taste,3,3,0.44,0.00317,1,GO:0098719,sodium ion import across plasma membrane,4,2,0.15,0.00827,1
GO:0032418,lysosome localization,33,12,8.51,0.01118,1,GO:0097112,gamma-aminobutyric acid receptor clustering,3,3,0.44,0.00317,1,GO:0035176,social behavior,13,3,0.5,0.01181,1
GO:0006468,protein phosphorylation,685,170,176.68,0.01166,1,GO:0090179,planar cell polarity pathway involved in neural tube closure,3,3,0.44,0.00317,1,GO:0006508,proteolysis,735,27,28.04,0.01289,1
GO:0050890,cognition,80,27,20.63,0.01238,1,GO:0035176,social behavior,13,6,1.91,0.00676,1,GO:0007214,gamma-aminobutyric acid signaling pathway,5,2,0.19,0.01343,1
GO:0007286,spermatid development,48,17,12.38,0.01457,1,GO:0016310,phosphorylation,845,120,124.22,0.00981,1,GO:0030539,male genitalia development,5,2,0.19,0.01343,1
GO:0055091,phospholipid homeostasis,7,5,1.81,0.01476,1,GO:0007601,visual perception,26,10,3.82,0.00990,1,GO:1903753,negative regulation of p38MAPK cascade,6,2,0.23,0.01964,1
GO:0050852,T cell receptor signaling pathway,52,20,13.41,0.01533,1,GO:0010842,retina layer formation,4,3,0.59,0.01128,1,GO:0071805,potassium ion transmembrane transport,41,6,1.56,0.02458,1
GO:0007186,G protein-coupled receptor signaling pathway,222,66,57.26,0.01544,1,GO:0098719,sodium ion import across plasma membrane,4,3,0.59,0.01128,1,GO:0006301,postreplication repair,17,3,0.65,0.02669,1
GO:0006139,nucleobase-containing compound metabolic process,2206,589,568.98,0.01657,1,GO:0090103,cochlea morphogenesis,4,3,0.59,0.01128,1,GO:0002318,myeloid progenitor cell differentiation,7,2,0.27,0.02681,1
GO:0051170,import into nucleus,72,25,18.57,0.01701,1,GO:0071539,protein localization to centrosome,22,8,3.23,0.01511,1,GO:0007010,cytoskeleton organization,540,20,20.6,0.03356,1
GO:0030299,intestinal cholesterol absorption,5,5,1.29,0.01709,1,GO:0006897,endocytosis,179,21,26.31,0.01560,1,GO:0060037,pharyngeal system development,8,2,0.31,0.03486,1
GO:0003351,epithelial cilium movement involved in extracellular fluid movement,7,5,1.81,0.01711,1,GO:0016032,viral process,170,29,24.99,0.01976,1,GO:0030953,astral microtubule organization,8,2,0.31,0.03486,1
GO:0019509,L-methionine salvage from methylthioadenosine,3,3,0.77,0.01714,1,GO:2000059,negative regulation of ubiquitin-dependent protein catabolic process,31,7,4.56,0.01987,1,GO:0019433,triglyceride catabolic process,8,2,0.31,0.03486,1
GO:0001732,formation of cytoplasmic translation initiation complex,3,3,0.77,0.01714,1,GO:1902473,regulation of protein localization to synapse,6,3,0.88,0.02157,1,GO:0001654,eye development,92,5,3.51,0.03491,1
GO:0097112,gamma-aminobutyric acid receptor clustering,3,3,0.77,0.01714,1,GO:0048016,inositol phosphate-mediated signaling,22,5,3.23,0.02159,1,GO:0035088,establishment or maintenance of apical/basal cell polarity,19,3,0.72,0.03795,1
GO:1900029,positive regulation of ruffle assembly,3,3,0.77,0.01714,1,GO:0036335,intestinal stem cell homeostasis,2,2,0.29,0.02159,1,GO:0033280,response to vitamin D,5,2,0.19,0.03802,1
GO:0046832,negative regulation of RNA export from nucleus,3,3,0.77,0.01714,1,GO:0021794,thalamus development,2,2,0.29,0.02159,1,GO:0021544,subpallium development,8,2,0.31,0.03804,1
GO:0015889,cobalamin transport,3,3,0.77,0.01714,1,GO:0001827,inner cell mass cell fate commitment,2,2,0.29,0.02159,1,GO:0007548,sex differentiation,62,4,2.37,0.03805,1
GO:1902255,positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator,3,3,0.77,0.01714,1,GO:0001828,inner cell mass cellular morphogenesis,2,2,0.29,0.02159,1,GO:0016191,synaptic vesicle uncoating,1,1,0.04,0.03815,1
GO:2000435,negative regulation of protein neddylation,3,3,0.77,0.01714,1,GO:0060022,hard palate development,2,2,0.29,0.02159,1,GO:0001951,intestinal D-glucose absorption,1,1,0.04,0.03815,1
GO:0060059,embryonic retina morphogenesis in camera-type eye,3,3,0.77,0.01714,1,GO:0007021,tubulin complex assembly,2,2,0.29,0.02159,1,GO:0001971,negative regulation of activation of membrane attack complex,1,1,0.04,0.03815,1
GO:0014051,gamma-aminobutyric acid secretion,3,3,0.77,0.01714,1,GO:0033693,neurofilament bundle assembly,2,2,0.29,0.02159,1,GO:0010989,negative regulation of low-density lipoprotein particle clearance,1,1,0.04,0.03815,1
GO:0050917,sensory perception of umami taste,3,3,0.77,0.01714,1,GO:2001311,lysobisphosphatidic acid metabolic process,2,2,0.29,0.02159,1,GO:0086092,regulation of the force of heart contraction by cardiac conduction,1,1,0.04,0.03815,1
GO:0090179,planar cell polarity pathway involved in neural tube closure,3,3,0.77,0.01714,1,GO:0060374,mast cell differentiation,2,2,0.29,0.02159,1,GO:1902389,ceramide 1-phosphate transport,1,1,0.04,0.03815,1
