GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0060907,positive regulation of macrophage cytokine production,11,11,3.79,8.1e-06,0.0966,GO:0032755,positive regulation of interleukin-6 production,34,20,7.15,1.7e-06,0.0203,GO:0006955,immune response,430,48,23.59,0.00011,1
GO:0045071,negative regulation of viral genome replication,14,10,4.83,0.00047,1,GO:0032481,positive regulation of type I interferon production,33,16,6.94,2.7e-05,0.1152,GO:0006952,defense response,430,53,23.59,0.00108,1
GO:0030225,macrophage differentiation,18,12,6.21,0.00057,1,GO:0060907,positive regulation of macrophage cytokine production,11,9,2.31,2.9e-05,0.1152,GO:0002230,positive regulation of defense response to virus by host,10,4,0.55,0.00144,1
GO:0032760,positive regulation of tumor necrosis factor production,29,19,10,0.00062,1,GO:0007616,long-term memory,8,7,1.68,0.00012,0.3577,GO:0006954,inflammatory response,196,21,10.75,0.00195,1
GO:0032755,positive regulation of interleukin-6 production,34,21,11.72,0.00102,1,GO:2000343,positive regulation of chemokine (C-X-C motif) ligand 2 production,5,5,1.05,0.00041,0.8544,GO:0008340,determination of adult lifespan,11,4,0.6,0.00216,1
GO:0009636,response to toxic substance,37,17,12.76,0.00111,1,GO:1900016,negative regulation of cytokine production involved in inflammatory response,9,7,1.89,0.00043,0.8544,GO:0090026,positive regulation of monocyte chemotaxis,6,3,0.33,0.00289,1
GO:0050729,positive regulation of inflammatory response,41,25,14.14,0.00119,1,GO:0032722,positive regulation of chemokine production,24,17,5.05,0.00054,0.9197,GO:0035721,intraciliary retrograde transport,6,3,0.33,0.00289,1
GO:0032481,positive regulation of type I interferon production,33,19,11.38,0.00123,1,GO:0006954,inflammatory response,196,72,41.24,0.00070,1,GO:0001783,B cell apoptotic process,13,3,0.71,0.00300,1
GO:1900016,negative regulation of cytokine production involved in inflammatory response,9,8,3.1,0.00124,1,GO:0032760,positive regulation of tumor necrosis factor production,29,14,6.1,0.00098,1,GO:0071650,negative regulation of chemokine (C-C motif) ligand 5 production,2,2,0.11,0.00300,1
GO:2001034,positive regulation of double-strand break repair via nonhomologous end joining,9,8,3.1,0.00124,1,GO:0045071,negative regulation of viral genome replication,14,8,2.95,0.00118,1,GO:0046059,dAMP catabolic process,2,2,0.11,0.00300,1
GO:0045429,positive regulation of nitric oxide biosynthetic process,9,8,3.1,0.00124,1,GO:0050729,positive regulation of inflammatory response,41,20,8.63,0.00138,1,GO:0032696,negative regulation of interleukin-13 production,2,2,0.11,0.00300,1
GO:0018149,peptide cross-linking,6,6,2.07,0.00167,1,GO:0007165,signal transduction,1752,417,368.6,0.00155,1,GO:0006196,AMP catabolic process,2,2,0.11,0.00300,1
GO:0006955,immune response,430,209,148.25,0.00182,1,GO:0006955,immune response,430,151,90.47,0.00170,1,GO:0006157,deoxyadenosine catabolic process,2,2,0.11,0.00300,1
GO:0007229,integrin-mediated signaling pathway,40,24,13.79,0.00280,1,GO:0034154,toll-like receptor 7 signaling pathway,6,5,1.26,0.00195,1,GO:0051607,defense response to virus,91,16,4.99,0.00332,1
GO:0050848,regulation of calcium-mediated signaling,32,16,11.03,0.00321,1,GO:0042450,arginine biosynthetic process via ornithine,4,4,0.84,0.00195,1,GO:0006508,proteolysis,735,37,40.33,0.00419,1
GO:0007616,long-term memory,8,7,2.76,0.00322,1,GO:0009636,response to toxic substance,37,13,7.78,0.00213,1,GO:0002755,MyD88-dependent toll-like receptor signaling pathway,13,4,0.71,0.00429,1
GO:0006954,inflammatory response,196,99,67.58,0.00429,1,GO:0002755,MyD88-dependent toll-like receptor signaling pathway,13,9,2.74,0.00264,1,GO:0071360,cellular response to exogenous dsRNA,7,3,0.38,0.00486,1
GO:0007165,signal transduction,1752,665,604.05,0.00475,1,GO:0006952,defense response,430,146,90.47,0.00324,1,GO:0042742,defense response to bacterium,54,9,2.96,0.00572,1
GO:0050832,defense response to fungus,11,9,3.79,0.00484,1,GO:2000042,negative regulation of double-strand break repair via homologous recombination,14,8,2.95,0.00333,1,GO:0032259,methylation,168,10,9.22,0.00589,1
GO:0048660,regulation of smooth muscle cell proliferation,30,15,10.34,0.00484,1,GO:2001034,positive regulation of double-strand break repair via nonhomologous end joining,9,6,1.89,0.00400,1,GO:0010575,positive regulation of vascular endothelial growth factor production,15,4,0.82,0.00751,1
GO:2000343,positive regulation of chemokine (C-X-C motif) ligand 2 production,5,5,1.72,0.00486,1,GO:0051607,defense response to virus,91,32,19.15,0.00483,1,GO:0072734,cellular response to staurosporine,3,2,0.16,0.00868,1
GO:2000774,positive regulation of cellular senescence,5,5,1.72,0.00486,1,GO:0002250,adaptive immune response,115,46,24.19,0.00486,1,GO:0061518,microglial cell proliferation,3,2,0.16,0.00868,1
GO:1900227,positive regulation of NLRP3 inflammasome complex assembly,5,5,1.72,0.00486,1,GO:0051092,positive regulation of NF-kappaB transcription factor activity,69,24,14.52,0.00559,1,GO:0006154,adenosine catabolic process,3,2,0.16,0.00868,1
GO:0032287,peripheral nervous system myelin maintenance,5,5,1.72,0.00486,1,GO:0006508,proteolysis,735,137,154.63,0.00618,1,GO:2001171,positive regulation of ATP biosynthetic process,3,2,0.16,0.00868,1
