GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0007229,integrin-mediated signaling pathway,40,24,8.46,1.2e-06,0.0143,GO:1904707,positive regulation of vascular associated smooth muscle cell proliferation,11,6,1.03,0.00020,1,GO:0051754,meiotic sister chromatid cohesion, centromeric,4,3,0.09,4.5e-05,0.2682
GO:0006954,inflammatory response,196,71,41.44,7.0e-06,0.0417,GO:0070374,positive regulation of ERK1 and ERK2 cascade,56,14,5.25,0.00049,1,GO:0044205,'de novo' UMP biosynthetic process,4,3,0.09,4.5e-05,0.2682
GO:0045730,respiratory burst,14,7,2.96,0.00042,1,GO:0006954,inflammatory response,196,33,18.38,0.00057,1,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,7,3,0.16,0.00037,1
GO:1900227,positive regulation of NLRP3 inflammasome complex assembly,5,5,1.06,0.00042,1,GO:2001034,positive regulation of double-strand break repair via nonhomologous end joining,9,5,0.84,0.00065,1,GO:0070098,chemokine-mediated signaling pathway,12,4,0.27,0.00057,1
GO:0018108,peptidyl-tyrosine phosphorylation,107,40,22.62,0.00055,1,GO:0045429,positive regulation of nitric oxide biosynthetic process,9,5,0.84,0.00065,1,GO:0006541,glutamine metabolic process,8,3,0.18,0.00058,1
GO:0045087,innate immune response,170,64,35.94,0.00102,1,GO:0045071,negative regulation of viral genome replication,14,6,1.31,0.00120,1,GO:0070106,interleukin-27-mediated signaling pathway,3,2,0.07,0.00150,1
GO:0071526,semaphorin-plexin signaling pathway,12,8,2.54,0.00122,1,GO:0048538,thymus development,26,8,2.44,0.00193,1,GO:0045087,innate immune response,170,12,3.84,0.00150,1
GO:0070374,positive regulation of ERK1 and ERK2 cascade,56,22,11.84,0.00146,1,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,7,4,0.66,0.00213,1,GO:0051591,response to cAMP,18,3,0.41,0.00293,1
GO:0060379,cardiac muscle cell myoblast differentiation,4,4,0.85,0.00199,1,GO:0042742,defense response to bacterium,54,11,5.06,0.00297,1,GO:0016554,cytidine to uridine editing,4,2,0.09,0.00295,1
GO:0032700,negative regulation of interleukin-17 production,4,4,0.85,0.00199,1,GO:0048711,positive regulation of astrocyte differentiation,4,3,0.38,0.00305,1,GO:0045071,negative regulation of viral genome replication,14,3,0.32,0.00343,1
GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,11,8,2.33,0.00206,1,GO:0032700,negative regulation of interleukin-17 production,4,3,0.38,0.00305,1,GO:0006954,inflammatory response,196,9,4.43,0.00358,1
GO:0061098,positive regulation of protein tyrosine kinase activity,10,6,2.11,0.00208,1,GO:0044205,'de novo' UMP biosynthetic process,4,3,0.38,0.00305,1,GO:0051607,defense response to virus,91,8,2.06,0.00372,1
GO:0032755,positive regulation of interleukin-6 production,34,15,7.19,0.00215,1,GO:0051754,meiotic sister chromatid cohesion, centromeric,4,3,0.38,0.00305,1,GO:0007186,G protein-coupled receptor signaling pathway,222,13,5.02,0.00675,1
GO:1904707,positive regulation of vascular associated smooth muscle cell proliferation,11,7,2.33,0.00274,1,GO:0003007,heart morphogenesis,60,10,5.62,0.00391,1,GO:0010226,response to lithium ion,6,2,0.14,0.00717,1
GO:0006952,defense response,430,151,90.91,0.00327,1,GO:0045087,innate immune response,170,29,15.94,0.00452,1,GO:0042981,regulation of apoptotic process,519,12,11.73,0.00851,1
GO:0048538,thymus development,26,12,5.5,0.00375,1,GO:2000249,regulation of actin cytoskeleton reorganization,16,6,1.5,0.00652,1,GO:0071897,DNA biosynthetic process,129,7,2.91,0.01397,1
GO:0045669,positive regulation of osteoblast differentiation,23,11,4.86,0.00390,1,GO:0071380,cellular response to prostaglandin E stimulus,5,3,0.47,0.00710,1,GO:0014898,cardiac muscle hypertrophy in response to stress,9,2,0.2,0.01645,1
GO:0030509,BMP signaling pathway,55,16,11.63,0.00397,1,GO:1900227,positive regulation of NLRP3 inflammasome complex assembly,5,3,0.47,0.00710,1,GO:0045471,response to ethanol,9,2,0.2,0.01645,1
GO:2000249,regulation of actin cytoskeleton reorganization,16,10,3.38,0.00407,1,GO:0002314,germinal center B cell differentiation,5,3,0.47,0.00710,1,GO:0045429,positive regulation of nitric oxide biosynthetic process,9,2,0.2,0.01645,1
GO:0051897,positive regulation of protein kinase B signaling,33,14,6.98,0.00463,1,GO:0061436,establishment of skin barrier,5,3,0.47,0.00710,1,GO:0140374,antiviral innate immune response,9,2,0.2,0.01645,1
GO:0030335,positive regulation of cell migration,179,59,37.84,0.00523,1,GO:0030509,BMP signaling pathway,55,9,5.16,0.00819,1,GO:0048731,system development,1383,29,31.25,0.01747,1
GO:0050829,defense response to Gram-negative bacterium,14,9,2.96,0.00535,1,GO:0045637,regulation of myeloid cell differentiation,89,15,8.34,0.00864,1,GO:0009653,anatomical structure morphogenesis,771,11,17.42,0.01837,1
GO:0060326,cell chemotaxis,89,31,18.82,0.00582,1,GO:0008272,sulfate transport,5,4,0.47,0.00873,1,GO:1902305,regulation of sodium ion transmembrane transport,14,2,0.32,0.02249,1
GO:0006909,phagocytosis,72,26,15.22,0.00586,1,GO:0032964,collagen biosynthetic process,7,4,0.66,0.00873,1,GO:0060054,positive regulation of epithelial cell proliferation involved in wound healing,1,1,0.02,0.02259,1
GO:0042742,defense response to bacterium,54,24,11.42,0.00589,1,GO:0035564,regulation of kidney size,3,3,0.28,0.00875,1,GO:0016338,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,1,1,0.02,0.02259,1
GO:0070493,thrombin-activated receptor signaling pathway,8,6,1.69,0.00599,1,GO:1902730,positive regulation of proteoglycan biosynthetic process,5,3,0.47,0.00876,1,GO:0031448,positive regulation of fast-twitch skeletal muscle fiber contraction,1,1,0.02,0.02259,1
GO:0051649,establishment of localization in cell,848,164,179.28,0.00666,1,GO:0010226,response to lithium ion,6,3,0.56,0.00876,1,GO:1905505,positive regulation of motile cilium assembly,1,1,0.02,0.02259,1
GO:0034341,response to interferon-gamma,39,19,8.25,0.00811,1,GO:0007586,digestion,22,4,2.06,0.00877,1,GO:0043163,cell envelope organization,1,1,0.02,0.02259,1
GO:0070528,protein kinase C signaling,9,6,1.9,0.00825,1,GO:2000660,negative regulation of interleukin-1-mediated signaling pathway,2,2,0.19,0.00878,1,GO:0043157,response to cation stress,1,1,0.02,0.02259,1
GO:0000302,response to reactive oxygen species,69,18,14.59,0.00827,1,GO:0033292,T-tubule organization,2,2,0.19,0.00878,1,GO:1905662,negative regulation of telomerase RNA reverse transcriptase activity,1,1,0.02,0.02259,1
GO:0045591,positive regulation of regulatory T cell differentiation,5,4,1.06,0.00828,1,GO:0097647,amylin receptor signaling pathway,2,2,0.19,0.00878,1,GO:1903408,positive regulation of sodium:potassium-exchanging ATPase activity,1,1,0.02,0.02259,1
GO:0007033,vacuole organization,101,23,21.35,0.00830,1,GO:0000050,urea cycle,2,2,0.19,0.00878,1,GO:1990798,pancreas regeneration,1,1,0.02,0.02259,1
GO:0048255,mRNA stabilization,27,10,5.71,0.00842,1,GO:0019441,tryptophan catabolic process to kynurenine,2,2,0.19,0.00878,1,GO:0035995,detection of muscle stretch,1,1,0.02,0.02259,1
GO:0045071,negative regulation of viral genome replication,14,7,2.96,0.00843,1,GO:0007386,compartment pattern specification,2,2,0.19,0.00878,1,GO:2000266,regulation of blood coagulation, intrinsic pathway,1,1,0.02,0.02259,1
GO:0002230,positive regulation of defense response to virus by host,10,6,2.11,0.00843,1,GO:0032286,central nervous system myelin maintenance,2,2,0.19,0.00878,1,GO:1990036,calcium ion import into sarcoplasmic reticulum,1,1,0.02,0.02259,1
GO:0045214,sarcomere organization,10,6,2.11,0.00843,1,GO:0046059,dAMP catabolic process,2,2,0.19,0.00878,1,GO:0035902,response to immobilization stress,1,1,0.02,0.02259,1
GO:0009653,anatomical structure morphogenesis,771,209,163,0.00850,1,GO:0032696,negative regulation of interleukin-13 production,2,2,0.19,0.00878,1,GO:0003117,regulation of vasoconstriction by circulating norepinephrine,1,1,0.02,0.02259,1
GO:0016525,negative regulation of angiogenesis,25,11,5.29,0.00910,1,GO:0003273,cell migration involved in endocardial cushion formation,2,2,0.19,0.00878,1,GO:0050957,equilibrioception,1,1,0.02,0.02259,1
