GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up,GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0060907,positive regulation of macrophage cytokine production,11,11,3.04,7.0e-07,0.0083,GO:0006954,inflammatory response,196,63,28.55,9.3e-06,0.1109,GO:0006952,defense response,430,33,10.91,0.00059,1
GO:0007229,integrin-mediated signaling pathway,40,25,11.06,5.8e-06,0.0227,GO:0007165,signal transduction,1752,338,255.24,2.2e-05,0.1311,GO:0032696,negative regulation of interleukin-13 production,2,2,0.05,0.00064,1
GO:0032755,positive regulation of interleukin-6 production,34,22,9.4,6.9e-06,0.0227,GO:0006955,immune response,430,121,62.65,7.8e-05,0.31,GO:0006954,inflammatory response,196,12,4.97,0.00149,1
GO:0006954,inflammatory response,196,95,54.18,7.6e-06,0.0227,GO:0032755,positive regulation of interleukin-6 production,34,14,4.95,0.00014,0.4173,GO:0048731,system development,1383,42,35.1,0.00175,1
GO:0032760,positive regulation of tumor necrosis factor production,29,18,8.02,0.00011,0.2384,GO:0002755,MyD88-dependent toll-like receptor signaling pathway,13,9,1.89,0.00026,0.4322,GO:1902358,sulfate transmembrane transport,3,2,0.08,0.00189,1
GO:0030225,macrophage differentiation,18,12,4.98,0.00012,0.2384,GO:0006631,fatty acid metabolic process,116,23,16.9,0.00026,0.4322,GO:0030913,paranodal junction assembly,3,2,0.08,0.00189,1
GO:0007165,signal transduction,1752,579,484.27,0.00016,0.2725,GO:0060907,positive regulation of macrophage cytokine production,11,7,1.6,0.00026,0.4322,GO:0070106,interleukin-27-mediated signaling pathway,3,2,0.08,0.00189,1
GO:0032481,positive regulation of type I interferon production,33,20,9.12,0.00022,0.2742,GO:0007229,integrin-mediated signaling pathway,40,16,5.83,0.00029,0.4322,GO:0042450,arginine biosynthetic process via ornithine,4,2,0.1,0.00372,1
GO:1900016,negative regulation of cytokine production involved in inflammatory response,9,8,2.49,0.00023,0.2742,GO:0050729,positive regulation of inflammatory response,41,17,5.97,0.00040,0.4861,GO:0016554,cytidine to uridine editing,4,2,0.1,0.00372,1
GO:0045429,positive regulation of nitric oxide biosynthetic process,9,8,2.49,0.00023,0.2742,GO:0042450,arginine biosynthetic process via ornithine,4,4,0.58,0.00045,0.4861,GO:0045071,negative regulation of viral genome replication,14,3,0.36,0.00476,1
