GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down
GO:0006541,glutamine metabolic process,8,4,0.17,1.2e-05,0.1349
GO:0051754,meiotic sister chromatid cohesion; centromeric,4,3,0.08,3.4e-05,0.1349
GO:0044205,'de novo' UMP biosynthetic process,4,3,0.08,3.4e-05,0.1349
GO:0055072,iron ion homeostasis,43,5,0.89,0.00026,0.6903
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,7,3,0.14,0.00029,0.6903
GO:0006334,nucleosome assembly,48,6,0.99,0.00042,0.8331
GO:0051930,regulation of sensory perception of pain,4,2,0.08,0.00248,1
GO:0042981,regulation of apoptotic process,518,16,10.72,0.00551,1
GO:0048731,system development,1394,33,28.85,0.00800,1
GO:0007186,G protein-coupled receptor signaling pathway,222,12,4.59,0.00928,1
GO:0006954,inflammatory response,195,7,4.04,0.01171,1
GO:0009653,anatomical structure morphogenesis,773,15,16,0.01451,1
GO:0022008,neurogenesis,438,13,9.06,0.01663,1
GO:0008645,hexose transmembrane transport,32,4,0.66,0.02034,1
GO:0030323,respiratory tube development,63,4,1.3,0.02044,1
GO:0002588,positive regulation of antigen processing and presentation of peptide antigen via MHC class II,1,1,0.02,0.02069,1
GO:1905808,positive regulation of synapse pruning,1,1,0.02,0.02069,1
GO:2000350,positive regulation of CD40 signaling pathway,1,1,0.02,0.02069,1
GO:0120229,protein localization to motile cilium,1,1,0.02,0.02069,1
GO:0021986,habenula development,1,1,0.02,0.02069,1
GO:0031448,positive regulation of fast-twitch skeletal muscle fiber contraction,1,1,0.02,0.02069,1
GO:0043163,cell envelope organization,1,1,0.02,0.02069,1
GO:0097080,plasma membrane selenite transport,1,1,0.02,0.02069,1
GO:0070512,positive regulation of histone H4-K20 methylation,1,1,0.02,0.02069,1
GO:0030026,cellular manganese ion homeostasis,1,1,0.02,0.02069,1
GO:1904141,positive regulation of microglial cell migration,1,1,0.02,0.02069,1
GO:0051866,general adaptation syndrome,1,1,0.02,0.02069,1
GO:0060392,negative regulation of SMAD protein signal transduction,1,1,0.02,0.02069,1
GO:0035995,detection of muscle stretch,1,1,0.02,0.02069,1
GO:0003117,regulation of vasoconstriction by circulating norepinephrine,1,1,0.02,0.02069,1
GO:0036254,cellular response to amiloride,1,1,0.02,0.02069,1
GO:0032877,positive regulation of DNA endoreduplication,1,1,0.02,0.02069,1
GO:1990540,mitochondrial manganese ion transmembrane transport,1,1,0.02,0.02069,1
GO:0010424,DNA methylation on cytosine within a CG sequence,1,1,0.02,0.02069,1
GO:0060992,response to fungicide,1,1,0.02,0.02069,1
GO:1902729,negative regulation of proteoglycan biosynthetic process,1,1,0.02,0.02069,1
GO:0048769,sarcomerogenesis,1,1,0.02,0.02069,1
GO:1900625,positive regulation of monocyte aggregation,1,1,0.02,0.02069,1
GO:1903082,positive regulation of C-C chemokine receptor CCR7 signaling pathway,1,1,0.02,0.02069,1
GO:0032683,negative regulation of connective tissue growth factor production,1,1,0.02,0.02069,1
GO:1901076,positive regulation of engulfment of apoptotic cell,1,1,0.02,0.02069,1
GO:0034337,RNA folding,1,1,0.02,0.02069,1
GO:0046813,receptor-mediated virion attachment to host cell,1,1,0.02,0.02069,1
GO:0033301,cell cycle comprising mitosis without cytokinesis,1,1,0.02,0.02069,1
GO:2000620,positive regulation of histone H4-K16 acetylation,1,1,0.02,0.02069,1
GO:0030240,skeletal muscle thin filament assembly,1,1,0.02,0.02069,1
GO:0030241,skeletal muscle myosin thick filament assembly,1,1,0.02,0.02069,1
GO:0050790,regulation of catalytic activity,669,13,13.84,0.02281,1
GO:0030509,BMP signaling pathway,55,4,1.14,0.02654,1
GO:0090305,nucleic acid phosphodiester bond hydrolysis,86,6,1.78,0.02681,1
