GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down
GO:0044205,'de novo' UMP biosynthetic process,4,3,0.02,2.0e-07,0.0012
GO:0051754,meiotic sister chromatid cohesion; centromeric,4,3,0.02,2.0e-07,0.0012
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,7,3,0.03,1.7e-06,0.0067
GO:0006541,glutamine metabolic process,8,3,0.03,2.7e-06,0.008
GO:0006334,nucleosome assembly,48,4,0.18,2.9e-05,0.069
GO:0055072,iron ion homeostasis,43,3,0.16,0.00055,1
GO:0030509,BMP signaling pathway,55,3,0.21,0.00113,1
GO:0098655,cation transmembrane transport,223,3,0.85,0.00360,1
GO:0048769,sarcomerogenesis,1,1,0,0.00382,1
GO:0030240,skeletal muscle thin filament assembly,1,1,0,0.00382,1
GO:0030241,skeletal muscle myosin thick filament assembly,1,1,0,0.00382,1
GO:0035995,detection of muscle stretch,1,1,0,0.00382,1
GO:0006954,inflammatory response,195,4,0.74,0.00593,1
GO:0030916,otic vesicle formation,2,1,0.01,0.00762,1
GO:0070106,interleukin-27-mediated signaling pathway,3,1,0.01,0.01141,1
GO:0090209,negative regulation of triglyceride metabolic process,3,1,0.01,0.01141,1
GO:0055003,cardiac myofibril assembly,3,1,0.01,0.01141,1
GO:0090310,negative regulation of DNA methylation-dependent heterochromatin assembly,3,1,0.01,0.01141,1
GO:0071897,DNA biosynthetic process,129,3,0.49,0.01254,1
GO:0048731,system development,1394,4,5.32,0.01497,1
GO:0007512,adult heart development,4,1,0.02,0.01518,1
GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,4,1,0.02,0.01518,1
GO:0016554,cytidine to uridine editing,4,1,0.02,0.01518,1
GO:2000623,negative regulation of nuclear-transcribed mRNA catabolic process; nonsense-mediated decay,5,1,0.02,0.01894,1
GO:0045087,innate immune response,173,4,0.66,0.02142,1
GO:0006751,glutathione catabolic process,6,1,0.02,0.02269,1
GO:0035721,intraciliary retrograde transport,6,1,0.02,0.02269,1
GO:0040015,negative regulation of multicellular organism growth,7,1,0.03,0.02642,1
GO:0045050,protein insertion into ER membrane by stop-transfer membrane-anchor sequence,7,1,0.03,0.02642,1
GO:0003009,skeletal muscle contraction,7,1,0.03,0.02642,1
GO:0006013,mannose metabolic process,8,1,0.03,0.03014,1
GO:0007186,G protein-coupled receptor signaling pathway,222,4,0.85,0.03165,1
GO:0014898,cardiac muscle hypertrophy in response to stress,9,1,0.03,0.03384,1
GO:0045214,sarcomere organization,9,1,0.03,0.03384,1
GO:0140374,antiviral innate immune response,9,1,0.03,0.03384,1
GO:0071816,tail-anchored membrane protein insertion into ER membrane,10,1,0.04,0.03753,1
GO:0042953,lipoprotein transport,10,1,0.04,0.03753,1
GO:0055008,cardiac muscle tissue morphogenesis,11,1,0.04,0.04121,1
GO:0042981,regulation of apoptotic process,518,4,1.98,0.04217,1
GO:0045071,negative regulation of viral genome replication,14,1,0.05,0.05216,1
GO:0080111,DNA demethylation,15,1,0.06,0.05579,1
GO:0009409,response to cold,15,1,0.06,0.05579,1
GO:0009653,anatomical structure morphogenesis,773,3,2.95,0.08323,1
GO:0016556,mRNA modification,23,1,0.09,0.08430,1
GO:0010332,response to gamma radiation,24,1,0.09,0.08781,1
GO:0001756,somitogenesis,24,1,0.09,0.08781,1
GO:0050873,brown fat cell differentiation,26,1,0.1,0.09478,1
GO:0007601,visual perception,26,1,0.1,0.09478,1
GO:0048255,mRNA stabilization,28,1,0.11,0.10170,1
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,32,1,0.12,0.11540,1
