GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down
GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,65,26,11.31,1.3e-05,0.0748
GO:0002250,adaptive immune response,116,43,20.18,1.7e-05,0.0748
GO:0006270,DNA replication initiation,17,10,2.96,1.9e-05,0.0748
GO:0050853,B cell receptor signaling pathway,27,14,4.7,4.0e-05,0.1111
GO:0006955,immune response,464,166,80.74,4.7e-05,0.1111
GO:0045087,innate immune response,173,59,30.1,6.5e-05,0.1249
GO:0050729,positive regulation of inflammatory response,41,19,7.13,7.4e-05,0.1249
GO:0030225,macrophage differentiation,18,9,3.13,0.00016,0.2363
GO:0007186,G protein-coupled receptor signaling pathway,217,65,37.76,0.00018,0.2363
GO:0002314,germinal center B cell differentiation,6,5,1.04,0.00081,0.768
GO:0006268,DNA unwinding involved in DNA replication,11,7,1.91,0.00082,0.768
GO:0032757,positive regulation of interleukin-8 production,20,10,3.48,0.00084,0.768
GO:0044205,'de novo' UMP biosynthetic process,4,4,0.7,0.00091,0.768
GO:0032825,positive regulation of natural killer cell differentiation,4,4,0.7,0.00091,0.768
GO:0032755,positive regulation of interleukin-6 production,35,14,6.09,0.00132,0.8893
GO:0030890,positive regulation of B cell proliferation,21,10,3.65,0.00135,0.8893
GO:0032743,positive regulation of interleukin-2 production,21,10,3.65,0.00135,0.8893
GO:0032481,positive regulation of type I interferon production,33,13,5.74,0.00141,0.8893
GO:0031295,T cell costimulation,9,6,1.57,0.00143,0.8893
GO:0007015,actin filament organization,162,36,28.19,0.00151,0.8921
GO:0071260,cellular response to mechanical stimulus,22,10,3.83,0.00209,1
GO:2000563,positive regulation of CD4-positive; alpha-beta T cell proliferation,7,5,1.22,0.00244,1
GO:0090630,activation of GTPase activity,19,9,3.31,0.00246,1
GO:0042742,defense response to bacterium,54,21,9.4,0.00302,1
GO:0042119,neutrophil activation,11,7,1.91,0.00391,1
GO:0050776,regulation of immune response,290,107,50.46,0.00449,1
GO:0045576,mast cell activation,20,10,3.48,0.00520,1
GO:0097112,gamma-aminobutyric acid receptor clustering,3,3,0.52,0.00526,1
GO:0070106,interleukin-27-mediated signaling pathway,3,3,0.52,0.00526,1
GO:0032930,positive regulation of superoxide anion generation,3,3,0.52,0.00526,1
GO:0002906,negative regulation of mature B cell apoptotic process,3,3,0.52,0.00526,1
GO:0006154,adenosine catabolic process,3,3,0.52,0.00526,1
GO:0034138,toll-like receptor 3 signaling pathway,9,4,1.57,0.00526,1
GO:0051092,positive regulation of NF-kappaB transcription factor activity,69,21,12.01,0.00539,1
GO:0008360,regulation of cell shape,48,16,8.35,0.00548,1
GO:0001657,ureteric bud development,22,8,3.83,0.00556,1
GO:0006954,inflammatory response,198,61,34.45,0.00558,1
GO:0045600,positive regulation of fat cell differentiation,25,10,4.35,0.00689,1
GO:0006508,proteolysis,742,106,129.11,0.00735,1
GO:0035914,skeletal muscle cell differentiation,29,10,5.05,0.00810,1
GO:0048538,thymus development,26,10,4.52,0.00882,1
GO:0042981,regulation of apoptotic process,518,108,90.13,0.00949,1
GO:0033209,tumor necrosis factor-mediated signaling pathway,36,11,6.26,0.00973,1
GO:0030593,neutrophil chemotaxis,26,9,4.52,0.00974,1
GO:0033077,T cell differentiation in thymus,43,19,7.48,0.00980,1
GO:0048704,embryonic skeletal system morphogenesis,22,10,3.83,0.01006,1
GO:0016446,somatic hypermutation of immunoglobulin genes,6,4,1.04,0.01017,1
GO:0007218,neuropeptide signaling pathway,6,4,1.04,0.01017,1
GO:0019370,leukotriene biosynthetic process,6,4,1.04,0.01017,1
GO:1902966,positive regulation of protein localization to early endosome,6,4,1.04,0.01017,1
