GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down
GO:0006278,RNA-dependent DNA biosynthetic process,79,4,0.34,0.00032,1
GO:0015074,DNA integration,33,3,0.14,0.00035,1
GO:0045471,response to ethanol,9,2,0.04,0.00062,1
GO:0090502,RNA phosphodiester bond hydrolysis; endonucleolytic,41,3,0.17,0.00066,1
GO:0006952,defense response,434,4,1.85,0.00224,1
GO:0051591,response to cAMP,19,2,0.08,0.00286,1
GO:0075713,establishment of integrated proviral latency,20,2,0.09,0.00317,1
GO:0044826,viral genome integration into host DNA,20,2,0.09,0.00317,1
GO:0055113,epiboly involved in gastrulation with mouth forming second,1,1,0,0.00426,1
GO:0051968,positive regulation of synaptic transmission; glutamatergic,1,1,0,0.00426,1
GO:0035902,response to immobilization stress,1,1,0,0.00426,1
GO:0032571,response to vitamin K,1,1,0,0.00426,1
GO:1903612,positive regulation of calcium-dependent ATPase activity,1,1,0,0.00426,1
GO:0097155,fasciculation of sensory neuron axon,1,1,0,0.00426,1
GO:2000538,positive regulation of B cell chemotaxis,1,1,0,0.00426,1
GO:0019230,proprioception,1,1,0,0.00426,1
GO:0043157,response to cation stress,1,1,0,0.00426,1
GO:0071907,determination of digestive tract left/right asymmetry,2,1,0.01,0.00849,1
GO:2000310,regulation of NMDA receptor activity,2,1,0.01,0.00849,1
GO:0006968,cellular defense response,2,1,0.01,0.00849,1
GO:0010752,regulation of cGMP-mediated signaling,2,1,0.01,0.00849,1
GO:2000463,positive regulation of excitatory postsynaptic potential,2,1,0.01,0.00849,1
GO:0032960,regulation of inositol trisphosphate biosynthetic process,2,1,0.01,0.00849,1
GO:0051602,response to electrical stimulus,2,1,0.01,0.00849,1
GO:0048842,positive regulation of axon extension involved in axon guidance,2,1,0.01,0.00849,1
GO:0032298,positive regulation of DNA-dependent DNA replication initiation,2,1,0.01,0.00849,1
GO:0035235,ionotropic glutamate receptor signaling pathway,2,1,0.01,0.00849,1
GO:0060971,embryonic heart tube left/right pattern formation,2,1,0.01,0.00849,1
GO:0007229,integrin-mediated signaling pathway,40,2,0.17,0.01234,1
GO:0090209,negative regulation of triglyceride metabolic process,3,1,0.01,0.01272,1
GO:0007172,signal complex assembly,3,1,0.01,0.01272,1
GO:0090310,negative regulation of DNA methylation-dependent heterochromatin assembly,3,1,0.01,0.01272,1
GO:0002315,marginal zone B cell differentiation,3,1,0.01,0.01272,1
GO:0060292,long-term synaptic depression,3,1,0.01,0.01272,1
GO:0042220,response to cocaine,4,1,0.02,0.01692,1
GO:0086100,endothelin receptor signaling pathway,4,1,0.02,0.01692,1
GO:0016554,cytidine to uridine editing,4,1,0.02,0.01692,1
GO:0015671,oxygen transport,4,1,0.02,0.01692,1
GO:0042976,activation of Janus kinase activity,4,1,0.02,0.01692,1
GO:0046718,viral entry into host cell,51,2,0.22,0.01960,1
GO:0038083,peptidyl-tyrosine autophosphorylation,5,1,0.02,0.02111,1
GO:0001556,oocyte maturation,5,1,0.02,0.02111,1
GO:1905606,regulation of presynapse assembly,5,1,0.02,0.02111,1
GO:0030502,negative regulation of bone mineralization,5,1,0.02,0.02111,1
GO:0033280,response to vitamin D,5,1,0.02,0.02111,1
GO:2000623,negative regulation of nuclear-transcribed mRNA catabolic process; nonsense-mediated decay,5,1,0.02,0.02111,1
GO:0010656,negative regulation of muscle cell apoptotic process,6,1,0.03,0.02527,1
GO:0010226,response to lithium ion,6,1,0.03,0.02527,1
GO:0010758,regulation of macrophage chemotaxis,6,1,0.03,0.02527,1
GO:0042074,cell migration involved in gastrulation,6,1,0.03,0.02527,1
