GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0098655,cation transmembrane transport,223,3,0.79,0.0030,1
GO:0034337,RNA folding,1,1,0,0.0035,1
GO:0010424,DNA methylation on cytosine within a CG sequence,1,1,0,0.0035,1
GO:0060992,response to fungicide,1,1,0,0.0035,1
GO:0048148,behavioral response to cocaine,2,1,0.01,0.0070,1
GO:0019530,taurine metabolic process,2,1,0.01,0.0070,1
GO:0071314,cellular response to cocaine,2,1,0.01,0.0070,1
GO:0036166,phenotypic switching,3,1,0.01,0.0105,1
GO:0009448,gamma-aminobutyric acid metabolic process,3,1,0.01,0.0105,1
GO:0006566,threonine metabolic process,3,1,0.01,0.0105,1
GO:0060842,arterial endothelial cell differentiation,3,1,0.01,0.0105,1
GO:0048665,neuron fate specification,3,1,0.01,0.0105,1
GO:2001214,positive regulation of vasculogenesis,3,1,0.01,0.0105,1
GO:0006563,L-serine metabolic process,4,1,0.01,0.0140,1
GO:0006544,glycine metabolic process,4,1,0.01,0.0140,1
GO:0051930,regulation of sensory perception of pain,4,1,0.01,0.0140,1
GO:0007130,synaptonemal complex assembly,5,1,0.02,0.0175,1
GO:0045603,positive regulation of endothelial cell differentiation,5,1,0.02,0.0175,1
GO:0046784,viral mRNA export from host cell nucleus,6,1,0.02,0.0210,1
GO:1901029,negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,6,1,0.02,0.0210,1
GO:0003198,epithelial to mesenchymal transition involved in endocardial cushion formation,7,1,0.02,0.0244,1
GO:0070734,histone H3-K27 methylation,8,1,0.03,0.0278,1
GO:0007616,long-term memory,8,1,0.03,0.0278,1
GO:0006541,glutamine metabolic process,8,1,0.03,0.0278,1
GO:0044030,regulation of DNA methylation,8,1,0.03,0.0278,1
GO:0034220,ion transmembrane transport,361,5,1.27,0.0305,1
GO:0045471,response to ethanol,9,1,0.03,0.0313,1
GO:0070314,G1 to G0 transition,9,1,0.03,0.0313,1
GO:0048599,oocyte development,9,1,0.03,0.0313,1
GO:1902902,negative regulation of autophagosome assembly,10,1,0.04,0.0347,1
GO:0048013,ephrin receptor signaling pathway,10,1,0.04,0.0347,1
GO:0018027,peptidyl-lysine dimethylation,10,1,0.04,0.0347,1
GO:0051570,regulation of histone H3-K9 methylation,13,1,0.05,0.0449,1
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,14,1,0.05,0.0482,1
GO:0021510,spinal cord development,15,1,0.05,0.0516,1
GO:0032786,positive regulation of DNA-templated transcription; elongation,15,1,0.05,0.0516,1
GO:0051569,regulation of histone H3-K4 methylation,19,1,0.07,0.0649,1
GO:0031297,replication fork processing,24,1,0.08,0.0813,1
GO:0002088,lens development in camera-type eye,25,1,0.09,0.0846,1
GO:0007601,visual perception,26,1,0.09,0.0878,1
GO:0006406,mRNA export from nucleus,31,1,0.11,0.1038,1
GO:0021782,glial cell development,32,1,0.11,0.1070,1
GO:0050848,regulation of calcium-mediated signaling,32,1,0.11,0.1070,1
GO:0008645,hexose transmembrane transport,32,1,0.11,0.1070,1
GO:0009566,fertilization,32,1,0.11,0.1070,1
GO:0032508,DNA duplex unwinding,37,1,0.13,0.1227,1
GO:0071466,cellular response to xenobiotic stimulus,38,1,0.13,0.1258,1
GO:0035265,organ growth,38,1,0.13,0.1258,1
GO:0015914,phospholipid transport,40,1,0.14,0.1320,1
GO:0071805,potassium ion transmembrane transport,41,1,0.14,0.1351,1
