GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down
GO:0006412,translation,352,105,66.36,6.4e-13,0
GO:0042274,ribosomal small subunit biogenesis,25,12,4.71,1.2e-05,0.0715
GO:0002181,cytoplasmic translation,41,14,7.73,2.6e-05,0.1033
GO:0034101,erythrocyte homeostasis,76,19,14.33,0.00024,0.7153
GO:0006364,rRNA processing,85,25,16.02,0.00033,0.7869
GO:0007601,visual perception,26,13,4.9,0.00093,1
GO:0055072,iron ion homeostasis,42,16,7.92,0.00267,1
GO:0071539,protein localization to centrosome,22,11,4.15,0.00282,1
GO:1902255,positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator,3,3,0.57,0.00669,1
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,14,7,2.64,0.00827,1
GO:0016032,viral process,170,22,32.05,0.00836,1
GO:0031175,neuron projection development,231,46,43.55,0.01157,1
GO:0051225,spindle assembly,63,16,11.88,0.01303,1
GO:0090160,Golgi to lysosome transport,6,4,1.13,0.01364,1
GO:0034551,mitochondrial respiratory chain complex III assembly,6,4,1.13,0.01364,1
GO:0045494,photoreceptor cell maintenance,12,6,2.26,0.01450,1
GO:1903053,regulation of extracellular matrix organization,16,7,3.02,0.02289,1
GO:0051754,meiotic sister chromatid cohesion; centromeric,4,3,0.75,0.02298,1
GO:0044205,'de novo' UMP biosynthetic process,4,3,0.75,0.02298,1
GO:0033625,positive regulation of integrin activation,4,3,0.75,0.02298,1
GO:0007023,post-chaperonin tubulin folding pathway,4,3,0.75,0.02298,1
GO:0032466,negative regulation of cytokinesis,4,3,0.75,0.02298,1
GO:0015671,oxygen transport,4,3,0.75,0.02298,1
GO:0015937,coenzyme A biosynthetic process,10,5,1.89,0.02570,1
GO:0046677,response to antibiotic,15,6,2.83,0.02708,1
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,7,4,1.32,0.02711,1
GO:0016358,dendrite development,57,11,10.75,0.02729,1
GO:0007229,integrin-mediated signaling pathway,40,13,7.54,0.02765,1
GO:0000082,G1/S transition of mitotic cell cycle,82,16,15.46,0.02817,1
GO:0001934,positive regulation of protein phosphorylation,234,47,44.12,0.03350,1
GO:0090316,positive regulation of intracellular protein transport,62,11,11.69,0.03402,1
GO:0042445,hormone metabolic process,53,15,9.99,0.03533,1
GO:0000303,response to superoxide,6,5,1.13,0.03540,1
GO:0045143,homologous chromosome segregation,20,7,3.77,0.03543,1
GO:0051570,regulation of histone H3-K9 methylation,15,6,2.83,0.03543,1
GO:0019430,removal of superoxide radicals,4,3,0.75,0.03549,1
GO:0090205,positive regulation of cholesterol metabolic process,4,3,0.75,0.03549,1
GO:0030213,hyaluronan biosynthetic process,5,3,0.94,0.03550,1
GO:0043576,regulation of respiratory gaseous exchange,5,3,0.94,0.03550,1
GO:0038065,collagen-activated signaling pathway,5,3,0.94,0.03550,1
GO:1902473,regulation of protein localization to synapse,6,3,1.13,0.03551,1
GO:0042853,L-alanine catabolic process,2,2,0.38,0.03552,1
GO:0006788,heme oxidation,2,2,0.38,0.03552,1
GO:0006703,estrogen biosynthetic process,2,2,0.38,0.03552,1
GO:0071922,regulation of cohesin loading,2,2,0.38,0.03552,1
GO:0006601,creatine biosynthetic process,2,2,0.38,0.03552,1
GO:1904908,negative regulation of maintenance of mitotic sister chromatid cohesion; telomeric,2,2,0.38,0.03552,1
GO:1905793,protein localization to pericentriolar material,2,2,0.38,0.03552,1
GO:0008594,photoreceptor cell morphogenesis,2,2,0.38,0.03552,1
GO:0007021,tubulin complex assembly,2,2,0.38,0.03552,1
