GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0045071,negative regulation of viral genome replication,14,2,0.05,0.0011,1
GO:0007010,cytoskeleton organization,540,8,1.98,0.0012,1
GO:0055113,epiboly involved in gastrulation with mouth forming second,1,1,0,0.0037,1
GO:0097155,fasciculation of sensory neuron axon,1,1,0,0.0037,1
GO:0050957,equilibrioception,1,1,0,0.0037,1
GO:0060971,embryonic heart tube left/right pattern formation,2,1,0.01,0.0073,1
GO:0035634,response to stilbenoid,2,1,0.01,0.0073,1
GO:0048842,positive regulation of axon extension involved in axon guidance,2,1,0.01,0.0073,1
GO:0071907,determination of digestive tract left/right asymmetry,2,1,0.01,0.0073,1
GO:0034165,positive regulation of toll-like receptor 9 signaling pathway,2,1,0.01,0.0073,1
GO:0034157,positive regulation of toll-like receptor 7 signaling pathway,2,1,0.01,0.0073,1
GO:0070837,dehydroascorbic acid transport,3,1,0.01,0.0110,1
GO:0070106,interleukin-27-mediated signaling pathway,3,1,0.01,0.0110,1
GO:0015882,L-ascorbic acid transmembrane transport,4,1,0.01,0.0146,1
GO:0048266,behavioral response to pain,4,1,0.01,0.0146,1
GO:1905606,regulation of presynapse assembly,5,1,0.02,0.0182,1
GO:0060088,auditory receptor cell stereocilium organization,5,1,0.02,0.0182,1
GO:2000553,positive regulation of T-helper 2 cell cytokine production,5,1,0.02,0.0182,1
GO:1900246,positive regulation of RIG-I signaling pathway,5,1,0.02,0.0182,1
GO:0006751,glutathione catabolic process,6,1,0.02,0.0218,1
GO:0042074,cell migration involved in gastrulation,6,1,0.02,0.0218,1
GO:2000001,regulation of DNA damage checkpoint,9,1,0.03,0.0325,1
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,10,1,0.04,0.0361,1
GO:0060339,negative regulation of type I interferon-mediated signaling pathway,10,1,0.04,0.0361,1
GO:0031571,mitotic G1 DNA damage checkpoint,11,1,0.04,0.0396,1
GO:0036297,interstrand cross-link repair,12,1,0.04,0.0432,1
GO:0045494,photoreceptor cell maintenance,12,1,0.04,0.0432,1
GO:0045879,negative regulation of smoothened signaling pathway,13,1,0.05,0.0467,1
GO:0010592,positive regulation of lamellipodium assembly,14,1,0.05,0.0502,1
GO:0050709,negative regulation of protein secretion,16,1,0.06,0.0572,1
GO:0045104,intermediate filament cytoskeleton organization,16,1,0.06,0.0572,1
GO:0060976,coronary vasculature development,19,1,0.07,0.0675,1
GO:0061371,determination of heart left/right asymmetry,19,1,0.07,0.0675,1
GO:0009058,biosynthetic process,2316,5,8.49,0.0676,1
GO:0075713,establishment of integrated proviral latency,20,1,0.07,0.0710,1
GO:0044826,viral genome integration into host DNA,20,1,0.07,0.0710,1
GO:0048704,embryonic skeletal system morphogenesis,22,1,0.08,0.0778,1
GO:0003143,embryonic heart tube morphogenesis,22,1,0.08,0.0778,1
GO:0031297,replication fork processing,23,1,0.08,0.0812,1
GO:0048255,mRNA stabilization,27,1,0.1,0.0946,1
GO:0007409,axonogenesis,93,2,0.34,0.0951,1
GO:0030326,embryonic limb morphogenesis,29,1,0.11,0.1013,1
GO:0050953,sensory perception of light stimulus,29,1,0.11,0.1013,1
GO:0043367,CD4-positive; alpha-beta T cell differentiation,31,1,0.11,0.1079,1
GO:0019068,virion assembly,32,1,0.12,0.1112,1
GO:0015074,DNA integration,33,1,0.12,0.1145,1
GO:0007605,sensory perception of sound,35,1,0.13,0.1210,1
GO:0009636,response to toxic substance,37,1,0.14,0.1274,1
GO:0048870,cell motility,495,2,1.82,0.1276,1
GO:0090502,RNA phosphodiester bond hydrolysis; endonucleolytic,41,1,0.15,0.1402,1
