GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down
GO:0006412,translation,352,216,166.96,1.0e-10,0
GO:0000381,regulation of alternative mRNA splicing; via spliceosome,20,18,9.49,8.4e-05,0.357
GO:0006338,chromatin remodeling,94,63,44.59,9.0e-05,0.357
GO:0010824,regulation of centrosome duplication,27,21,12.81,0.00013,0.3868
GO:1901673,regulation of mitotic spindle assembly,15,14,7.11,0.00024,0.5712
GO:0070936,protein K48-linked ubiquitination,46,33,21.82,0.00070,1
GO:0032981,mitochondrial respiratory chain complex I assembly,41,30,19.45,0.00071,1
GO:0000398,mRNA splicing; via spliceosome,140,100,66.4,0.00086,1
GO:0002181,cytoplasmic translation,42,31,19.92,0.00092,1
GO:0070534,protein K63-linked ubiquitination,26,20,12.33,0.00107,1
GO:0042274,ribosomal small subunit biogenesis,24,20,11.38,0.00119,1
GO:0031468,nuclear envelope reassembly,11,10,5.22,0.00121,1
GO:0039702,viral budding via host ESCRT complex,12,10,5.69,0.00121,1
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,206,125,97.71,0.00139,1
GO:0097352,autophagosome maturation,38,21,18.02,0.00176,1
GO:0045292,mRNA cis splicing; via spliceosome,17,15,8.06,0.00200,1
GO:0006511,ubiquitin-dependent protein catabolic process,330,205,156.52,0.00246,1
GO:0000380,alternative mRNA splicing; via spliceosome,28,26,13.28,0.00250,1
GO:0051865,protein autoubiquitination,50,33,23.72,0.00290,1
GO:0006120,mitochondrial electron transport; NADH to ubiquinone,17,14,8.06,0.00371,1
GO:0016567,protein ubiquitination,342,206,162.22,0.00397,1
GO:0032786,positive regulation of DNA-templated transcription; elongation,15,12,7.11,0.00537,1
GO:0016180,snRNA processing,11,9,5.22,0.00538,1
GO:0001558,regulation of cell growth,123,69,58.34,0.00692,1
GO:0046761,viral budding from plasma membrane,10,9,4.74,0.00693,1
GO:0061952,midbody abscission,10,9,4.74,0.00693,1
GO:0060261,positive regulation of transcription initiation from RNA polymerase II promoter,26,19,12.33,0.00715,1
GO:0007283,spermatogenesis,117,73,55.5,0.00743,1
GO:0031175,neuron projection development,232,92,110.04,0.00794,1
GO:0008380,RNA splicing,184,128,87.27,0.01114,1
GO:0045116,protein neddylation,15,13,7.11,0.01130,1
GO:0042026,protein refolding,6,6,2.85,0.01136,1
GO:0001675,acrosome assembly,6,6,2.85,0.01136,1
GO:0006364,rRNA processing,84,51,39.84,0.01169,1
GO:0051225,spindle assembly,61,44,28.93,0.01196,1
GO:0071985,multivesicular body sorting pathway,16,12,7.59,0.01230,1
GO:0010498,proteasomal protein catabolic process,246,151,116.68,0.01237,1
GO:0006357,regulation of transcription by RNA polymerase II,716,354,339.61,0.01256,1
GO:0000338,protein deneddylation,9,8,4.27,0.01329,1
GO:0042254,ribosome biogenesis,132,79,62.61,0.01751,1
GO:0007094,mitotic spindle assembly checkpoint,24,18,11.38,0.01799,1
GO:0006406,mRNA export from nucleus,31,21,14.7,0.01859,1
GO:0043162,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,19,14,9.01,0.01867,1
GO:0006139,nucleobase-containing compound metabolic process,2199,1119,1043.02,0.02020,1
GO:0048147,negative regulation of fibroblast proliferation,11,9,5.22,0.02199,1
GO:0034244,negative regulation of transcription elongation from RNA polymerase II promoter,11,9,5.22,0.02199,1
GO:0000070,mitotic sister chromatid segregation,92,63,43.64,0.02335,1
GO:0010458,exit from mitosis,10,9,4.74,0.02391,1
GO:1902017,regulation of cilium assembly,28,17,13.28,0.02393,1
GO:1903059,regulation of protein lipidation,7,7,3.32,0.02393,1
