GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0006955,immune response,464,108,76.04,6.9e-07,0.0082
GO:0007186,G protein-coupled receptor signaling pathway,217,58,35.56,1.1e-05,0.065
GO:0006412,translation,370,65,60.64,4.0e-05,0.1575
GO:0045060,negative thymic T cell selection,7,6,1.15,0.00012,0.3545
GO:0031295,T cell costimulation,9,7,1.47,0.00040,0.9453
GO:0042632,cholesterol homeostasis,31,13,5.08,0.00065,1
GO:0032743,positive regulation of interleukin-2 production,21,9,3.44,0.00372,1
GO:0050688,regulation of defense response to virus,30,7,4.92,0.00440,1
GO:0120162,positive regulation of cold-induced thermogenesis,34,12,5.57,0.00574,1
GO:0010575,positive regulation of vascular endothelial growth factor production,15,7,2.46,0.00594,1
GO:0042274,ribosomal small subunit biogenesis,24,8,3.93,0.00825,1
GO:0009617,response to bacterium,159,35,26.06,0.01260,1
GO:0030890,positive regulation of B cell proliferation,21,8,3.44,0.01397,1
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,10,5,1.64,0.01433,1
GO:0002548,monocyte chemotaxis,13,7,2.13,0.01531,1
GO:0007019,microtubule depolymerization,14,5,2.29,0.01540,1
GO:0033153,T cell receptor V(D)J recombination,4,3,0.66,0.01541,1
GO:0055089,fatty acid homeostasis,4,3,0.66,0.01541,1
GO:0045348,positive regulation of MHC class II biosynthetic process,4,3,0.66,0.01541,1
GO:0032825,positive regulation of natural killer cell differentiation,4,3,0.66,0.01541,1
GO:0002606,positive regulation of dendritic cell antigen processing and presentation,4,3,0.66,0.01541,1
GO:0045627,positive regulation of T-helper 1 cell differentiation,4,3,0.66,0.01541,1
GO:0045629,negative regulation of T-helper 2 cell differentiation,4,3,0.66,0.01541,1
GO:0042474,middle ear morphogenesis,4,3,0.66,0.01541,1
GO:0033089,positive regulation of T cell differentiation in thymus,4,3,0.66,0.01541,1
GO:0043303,mast cell degranulation,14,4,2.29,0.01544,1
GO:0008015,blood circulation,111,16,18.19,0.01559,1
GO:0045582,positive regulation of T cell differentiation,37,17,6.06,0.01613,1
GO:2000563,positive regulation of CD4-positive; alpha-beta T cell proliferation,7,4,1.15,0.01655,1
GO:0048661,positive regulation of smooth muscle cell proliferation,18,5,2.95,0.01660,1
GO:0045454,cell redox homeostasis,18,7,2.95,0.01876,1
GO:0006310,DNA recombination,160,36,26.22,0.02139,1
GO:0007264,small GTPase mediated signal transduction,163,27,26.71,0.02263,1
GO:0060907,positive regulation of macrophage cytokine production,11,5,1.8,0.02278,1
GO:0007131,reciprocal meiotic recombination,11,5,1.8,0.02278,1
GO:0046629,gamma-delta T cell activation,7,5,1.15,0.02673,1
GO:1904894,positive regulation of receptor signaling pathway via STAT,11,5,1.8,0.02676,1
GO:0035701,hematopoietic stem cell migration,6,4,0.98,0.02677,1
GO:0030201,heparan sulfate proteoglycan metabolic process,22,6,3.61,0.02680,1
GO:0019852,L-ascorbic acid metabolic process,4,3,0.66,0.02680,1
GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,4,3,0.66,0.02680,1
GO:0002407,dendritic cell chemotaxis,5,3,0.82,0.02681,1
GO:0006788,heme oxidation,2,2,0.33,0.02684,1
GO:0001572,lactosylceramide biosynthetic process,2,2,0.33,0.02684,1
GO:0042574,retinal metabolic process,2,2,0.33,0.02684,1
GO:0014846,esophagus smooth muscle contraction,2,2,0.33,0.02684,1
GO:0071907,determination of digestive tract left/right asymmetry,2,2,0.33,0.02684,1
GO:0060686,negative regulation of prostatic bud formation,2,2,0.33,0.02684,1
GO:2001206,positive regulation of osteoclast development,2,2,0.33,0.02684,1
GO:0035360,positive regulation of peroxisome proliferator activated receptor signaling pathway,2,2,0.33,0.02684,1
