GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0006955,immune response,430,48,23.59,0.00011,1
GO:0006952,defense response,430,53,23.59,0.00108,1
GO:0002230,positive regulation of defense response to virus by host,10,4,0.55,0.00144,1
GO:0006954,inflammatory response,196,21,10.75,0.00195,1
GO:0008340,determination of adult lifespan,11,4,0.6,0.00216,1
GO:0090026,positive regulation of monocyte chemotaxis,6,3,0.33,0.00289,1
GO:0035721,intraciliary retrograde transport,6,3,0.33,0.00289,1
GO:0001783,B cell apoptotic process,13,3,0.71,0.00300,1
GO:0071650,negative regulation of chemokine (C-C motif) ligand 5 production,2,2,0.11,0.00300,1
GO:0046059,dAMP catabolic process,2,2,0.11,0.00300,1
GO:0032696,negative regulation of interleukin-13 production,2,2,0.11,0.00300,1
GO:0006196,AMP catabolic process,2,2,0.11,0.00300,1
GO:0006157,deoxyadenosine catabolic process,2,2,0.11,0.00300,1
GO:0051607,defense response to virus,91,16,4.99,0.00332,1
GO:0006508,proteolysis,735,37,40.33,0.00419,1
GO:0002755,MyD88-dependent toll-like receptor signaling pathway,13,4,0.71,0.00429,1
GO:0071360,cellular response to exogenous dsRNA,7,3,0.38,0.00486,1
GO:0042742,defense response to bacterium,54,9,2.96,0.00572,1
GO:0032259,methylation,168,10,9.22,0.00589,1
GO:0010575,positive regulation of vascular endothelial growth factor production,15,4,0.82,0.00751,1
GO:0072734,cellular response to staurosporine,3,2,0.16,0.00868,1
GO:0061518,microglial cell proliferation,3,2,0.16,0.00868,1
GO:0006154,adenosine catabolic process,3,2,0.16,0.00868,1
GO:2001171,positive regulation of ATP biosynthetic process,3,2,0.16,0.00868,1
GO:1902358,sulfate transmembrane transport,3,2,0.16,0.00868,1
GO:0070106,interleukin-27-mediated signaling pathway,3,2,0.16,0.00868,1
GO:0098711,iron ion import across plasma membrane,3,2,0.16,0.00868,1
GO:0048731,system development,1383,75,75.89,0.00883,1
GO:0009615,response to virus,130,23,7.13,0.01067,1
GO:2001034,positive regulation of double-strand break repair via nonhomologous end joining,9,3,0.49,0.01074,1
GO:0000724,double-strand break repair via homologous recombination,82,10,4.5,0.01079,1
GO:0045071,negative regulation of viral genome replication,14,4,0.77,0.01465,1
GO:0034154,toll-like receptor 7 signaling pathway,6,3,0.33,0.01666,1
GO:0040037,negative regulation of fibroblast growth factor receptor signaling pathway,4,2,0.22,0.01673,1
GO:0060315,negative regulation of ryanodine-sensitive calcium-release channel activity,4,2,0.22,0.01673,1
GO:0015882,L-ascorbic acid transmembrane transport,4,2,0.22,0.01673,1
GO:1905907,negative regulation of amyloid fibril formation,4,2,0.22,0.01673,1
GO:0015671,oxygen transport,4,2,0.22,0.01673,1
GO:0000255,allantoin metabolic process,4,2,0.22,0.01673,1
GO:0016554,cytidine to uridine editing,4,2,0.22,0.01673,1
GO:0042450,arginine biosynthetic process via ornithine,4,2,0.22,0.01673,1
GO:1901223,negative regulation of NIK/NF-kappaB signaling,12,3,0.66,0.02489,1
GO:0055085,transmembrane transport,459,39,25.19,0.02612,1
GO:0006525,arginine metabolic process,11,5,0.6,0.02652,1
GO:0042554,superoxide anion generation,9,3,0.49,0.02678,1
GO:0046931,pore complex assembly,11,3,0.6,0.02679,1
GO:0002862,negative regulation of inflammatory response to antigenic stimulus,5,2,0.27,0.02688,1
GO:2000774,positive regulation of cellular senescence,5,2,0.27,0.02688,1
GO:0140289,protein mono-ADP-ribosylation,5,2,0.27,0.02688,1
GO:0070269,pyroptosis,5,2,0.27,0.02688,1
