GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0070106,interleukin-27-mediated signaling pathway,3,2,0.04,0.00063,1
GO:0045071,negative regulation of viral genome replication,14,3,0.21,0.00099,1
GO:0007186,G protein-coupled receptor signaling pathway,222,10,3.26,0.00173,1
GO:0006955,immune response,434,17,6.37,0.00259,1
GO:0051607,defense response to virus,91,7,1.34,0.00441,1
GO:0048731,system development,1394,18,20.46,0.00473,1
GO:0140374,antiviral innate immune response,9,2,0.13,0.00718,1
GO:0045429,positive regulation of nitric oxide biosynthetic process,9,2,0.13,0.00718,1
GO:0006954,inflammatory response,195,7,2.86,0.01225,1
GO:0006544,glycine metabolic process,4,2,0.06,0.01454,1
GO:0030026,cellular manganese ion homeostasis,1,1,0.01,0.01468,1
GO:0150102,negative regulation of monocyte activation,1,1,0.01,0.01468,1
GO:0060054,positive regulation of epithelial cell proliferation involved in wound healing,1,1,0.01,0.01468,1
GO:0061519,macrophage homeostasis,1,1,0.01,0.01468,1
GO:1902847,regulation of neuronal signal transduction,1,1,0.01,0.01468,1
GO:0016338,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,1,1,0.01,0.01468,1
GO:0097080,plasma membrane selenite transport,1,1,0.01,0.01468,1
GO:0048295,positive regulation of isotype switching to IgE isotypes,1,1,0.01,0.01468,1
GO:0007171,activation of transmembrane receptor protein tyrosine kinase activity,1,1,0.01,0.01468,1
GO:0048014,Tie signaling pathway,1,1,0.01,0.01468,1
GO:1905662,negative regulation of telomerase RNA reverse transcriptase activity,1,1,0.01,0.01468,1
GO:0002331,pre-B cell allelic exclusion,1,1,0.01,0.01468,1
GO:0007066,female meiosis sister chromatid cohesion,1,1,0.01,0.01468,1
GO:0032929,negative regulation of superoxide anion generation,1,1,0.01,0.01468,1
GO:0000053,argininosuccinate metabolic process,1,1,0.01,0.01468,1
GO:1904884,positive regulation of telomerase catalytic core complex assembly,1,1,0.01,0.01468,1
GO:1903914,negative regulation of fusion of virus membrane with host plasma membrane,1,1,0.01,0.01468,1
GO:1990540,mitochondrial manganese ion transmembrane transport,1,1,0.01,0.01468,1
GO:1902998,positive regulation of neurofibrillary tangle assembly,1,1,0.01,0.01468,1
GO:0097694,establishment of RNA localization to telomere,1,1,0.01,0.01468,1
GO:1904262,negative regulation of TORC1 signaling,13,2,0.19,0.01497,1
GO:0006278,RNA-dependent DNA biosynthetic process,79,4,1.16,0.02597,1
GO:0048017,inositol lipid-mediated signaling,56,3,0.82,0.02879,1
GO:0006526,arginine biosynthetic process,6,2,0.09,0.02887,1
GO:0035634,response to stilbenoid,2,1,0.03,0.02914,1
GO:0061518,microglial cell proliferation,2,1,0.03,0.02914,1
GO:0006876,cellular cadmium ion homeostasis,2,1,0.03,0.02914,1
GO:0010526,negative regulation of transposition; RNA-mediated,2,1,0.03,0.02914,1
GO:1990079,cartilage homeostasis,2,1,0.03,0.02914,1
GO:0019530,taurine metabolic process,2,1,0.03,0.02914,1
GO:0032286,central nervous system myelin maintenance,2,1,0.03,0.02914,1
GO:0035279,mRNA cleavage involved in gene silencing by miRNA,2,1,0.03,0.02914,1
GO:0007161,calcium-independent cell-matrix adhesion,2,1,0.03,0.02914,1
GO:1904237,positive regulation of substrate-dependent cell migration; cell attachment to substrate,2,1,0.03,0.02914,1
GO:0070574,cadmium ion transmembrane transport,2,1,0.03,0.02914,1
GO:0035754,B cell chemotaxis,2,1,0.03,0.02914,1
GO:0035771,interleukin-4-mediated signaling pathway,2,1,0.03,0.02914,1
GO:0030592,DNA ADP-ribosylation,2,1,0.03,0.02914,1
GO:1905605,positive regulation of blood-brain barrier permeability,2,1,0.03,0.02914,1
GO:0000050,urea cycle,2,1,0.03,0.02914,1
