GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0007186,G protein-coupled receptor signaling pathway,217,70,44.13,3.8e-05,0.449
GO:0006955,immune response,464,139,94.35,0.00011,0.5514
GO:0006278,RNA-templated DNA biosynthetic process,79,29,16.06,0.00014,0.5514
GO:0034379,very-low-density lipoprotein particle assembly,5,5,1.02,0.00035,0.9453
GO:0051289,protein homotetramerization,22,12,4.47,0.00040,0.9453
GO:0009617,response to bacterium,159,50,32.33,0.00090,1
GO:0051607,defense response to virus,97,37,19.72,0.00117,1
GO:0044205,'de novo' UMP biosynthetic process,4,4,0.81,0.00170,1
GO:0034134,toll-like receptor 2 signaling pathway,9,5,1.83,0.00170,1
GO:0070374,positive regulation of ERK1 and ERK2 cascade,58,22,11.79,0.00219,1
GO:0002250,adaptive immune response,116,36,23.59,0.00413,1
GO:0045600,positive regulation of fat cell differentiation,25,10,5.08,0.00473,1
GO:0030225,macrophage differentiation,18,10,3.66,0.00497,1
GO:0071360,cellular response to exogenous dsRNA,7,5,1.42,0.00502,1
GO:0006508,proteolysis,742,120,150.88,0.00546,1
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,54,21,10.98,0.00672,1
GO:0002230,positive regulation of defense response to virus by host,10,6,2.03,0.00690,1
GO:0008611,ether lipid biosynthetic process,7,5,1.42,0.00712,1
GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,5,4,1.02,0.00714,1
GO:0042531,positive regulation of tyrosine phosphorylation of STAT protein,13,7,2.64,0.00765,1
GO:0009143,nucleoside triphosphate catabolic process,8,5,1.63,0.00838,1
GO:0001920,negative regulation of receptor recycling,3,3,0.61,0.00839,1
GO:0070106,interleukin-27-mediated signaling pathway,3,3,0.61,0.00839,1
GO:1902358,sulfate transmembrane transport,3,3,0.61,0.00839,1
GO:0045576,mast cell activation,20,5,4.07,0.00842,1
GO:0006310,DNA recombination,160,42,32.54,0.01046,1
GO:0075713,establishment of integrated proviral latency,20,9,4.07,0.01103,1
GO:0044826,viral genome integration into host DNA,20,9,4.07,0.01103,1
GO:0001682,tRNA 5'-leader removal,8,5,1.63,0.01115,1
GO:0006268,DNA unwinding involved in DNA replication,11,6,2.24,0.01259,1
GO:0019933,cAMP-mediated signaling,11,6,2.24,0.01259,1
GO:0050853,B cell receptor signaling pathway,27,10,5.49,0.01780,1
GO:0000413,protein peptidyl-prolyl isomerization,18,8,3.66,0.01782,1
GO:0050832,defense response to fungus,11,6,2.24,0.01792,1
GO:0033234,negative regulation of protein sumoylation,6,4,1.22,0.01796,1
GO:0034154,toll-like receptor 7 signaling pathway,6,4,1.22,0.01796,1
GO:0045656,negative regulation of monocyte differentiation,6,4,1.22,0.01796,1
GO:0032481,positive regulation of type I interferon production,33,13,6.71,0.02072,1
GO:0002931,response to ischemia,9,5,1.83,0.02092,1
GO:0001932,regulation of protein phosphorylation,383,79,77.88,0.02109,1
GO:0071260,cellular response to mechanical stimulus,22,9,4.47,0.02215,1
GO:0015074,DNA integration,33,12,6.71,0.02412,1
GO:0090502,RNA phosphodiester bond hydrolysis; endonucleolytic,41,14,8.34,0.02723,1
GO:0007166,cell surface receptor signaling pathway,786,181,159.83,0.02756,1
GO:0060333,interferon-gamma-mediated signaling pathway,10,6,2.03,0.02836,1
GO:0043372,positive regulation of CD4-positive; alpha-beta T cell differentiation,13,6,2.64,0.02840,1
GO:0034405,response to fluid shear stress,13,5,2.64,0.02845,1
GO:0090557,establishment of endothelial intestinal barrier,4,3,0.81,0.02846,1
GO:0051754,meiotic sister chromatid cohesion; centromeric,4,3,0.81,0.02846,1
GO:0016554,cytidine to uridine editing,4,3,0.81,0.02846,1
