GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down
GO:0007010,cytoskeleton organization,540,8,3.01,7.1e-07,0.0085
GO:0097324,melanocyte migration,1,1,0.01,0.0056,1
GO:0097326,melanocyte adhesion,1,1,0.01,0.0056,1
GO:0030026,cellular manganese ion homeostasis,1,1,0.01,0.0056,1
GO:0038162,erythropoietin-mediated signaling pathway,1,1,0.01,0.0056,1
GO:0097080,plasma membrane selenite transport,1,1,0.01,0.0056,1
GO:0030432,peristalsis,1,1,0.01,0.0056,1
GO:0140331,aminophospholipid translocation,1,1,0.01,0.0056,1
GO:0010424,DNA methylation on cytosine within a CG sequence,1,1,0.01,0.0056,1
GO:0060992,response to fungicide,1,1,0.01,0.0056,1
GO:1903760,regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization,1,1,0.01,0.0056,1
GO:1990550,mitochondrial alpha-ketoglutarate transmembrane transport,1,1,0.01,0.0056,1
GO:1990540,mitochondrial manganese ion transmembrane transport,1,1,0.01,0.0056,1
GO:0070574,cadmium ion transmembrane transport,2,1,0.01,0.0111,1
GO:0060374,mast cell differentiation,2,1,0.01,0.0111,1
GO:0071314,cellular response to cocaine,2,1,0.01,0.0111,1
GO:1990079,cartilage homeostasis,2,1,0.01,0.0111,1
GO:0060022,hard palate development,2,1,0.01,0.0111,1
GO:0019530,taurine metabolic process,2,1,0.01,0.0111,1
GO:0042853,L-alanine catabolic process,2,1,0.01,0.0111,1
GO:0042415,norepinephrine metabolic process,2,1,0.01,0.0111,1
GO:0033693,neurofilament bundle assembly,2,1,0.01,0.0111,1
GO:0006363,termination of RNA polymerase I transcription,2,1,0.01,0.0111,1
GO:1903764,regulation of potassium ion export across plasma membrane,2,1,0.01,0.0111,1
GO:2000255,negative regulation of male germ cell proliferation,2,1,0.01,0.0111,1
GO:0048148,behavioral response to cocaine,2,1,0.01,0.0111,1
GO:0032765,positive regulation of mast cell cytokine production,2,1,0.01,0.0111,1
GO:0009448,gamma-aminobutyric acid metabolic process,2,1,0.01,0.0111,1
GO:0006876,cellular cadmium ion homeostasis,2,1,0.01,0.0111,1
GO:0061757,leukocyte adhesion to arterial endothelial cell,2,1,0.01,0.0111,1
GO:0006749,glutathione metabolic process,35,2,0.2,0.0160,1
GO:0006936,muscle contraction,68,2,0.38,0.0164,1
GO:0043622,cortical microtubule organization,3,1,0.02,0.0166,1
GO:0098711,iron ion import across plasma membrane,3,1,0.02,0.0166,1
GO:0006566,threonine metabolic process,3,1,0.02,0.0166,1
GO:0061092,positive regulation of phospholipid translocation,3,1,0.02,0.0166,1
GO:0036166,phenotypic switching,3,1,0.02,0.0166,1
GO:0070668,positive regulation of mast cell proliferation,3,1,0.02,0.0166,1
GO:0050910,detection of mechanical stimulus involved in sensory perception of sound,3,1,0.02,0.0166,1
GO:1903286,regulation of potassium ion import,3,1,0.02,0.0166,1
GO:0060842,arterial endothelial cell differentiation,3,1,0.02,0.0166,1
GO:0098911,regulation of ventricular cardiac muscle cell action potential,3,1,0.02,0.0166,1
GO:2001214,positive regulation of vasculogenesis,3,1,0.02,0.0166,1
GO:1905065,positive regulation of vascular associated smooth muscle cell differentiation,3,1,0.02,0.0166,1
GO:0048665,neuron fate specification,3,1,0.02,0.0166,1
GO:0048625,myoblast fate commitment,3,1,0.02,0.0166,1
GO:2000147,positive regulation of cell motility,183,2,1.02,0.0221,1
GO:0015701,bicarbonate transport,4,1,0.02,0.0221,1
GO:0006563,L-serine metabolic process,4,1,0.02,0.0221,1
GO:0051930,regulation of sensory perception of pain,4,1,0.02,0.0221,1
