GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0007229,integrin-mediated signaling pathway,40,24,8.46,1.2e-06,0.0143
GO:0006954,inflammatory response,196,71,41.44,7.0e-06,0.0417
GO:0045730,respiratory burst,14,7,2.96,0.00042,1
GO:1900227,positive regulation of NLRP3 inflammasome complex assembly,5,5,1.06,0.00042,1
GO:0018108,peptidyl-tyrosine phosphorylation,107,40,22.62,0.00055,1
GO:0045087,innate immune response,170,64,35.94,0.00102,1
GO:0071526,semaphorin-plexin signaling pathway,12,8,2.54,0.00122,1
GO:0070374,positive regulation of ERK1 and ERK2 cascade,56,22,11.84,0.00146,1
GO:0060379,cardiac muscle cell myoblast differentiation,4,4,0.85,0.00199,1
GO:0032700,negative regulation of interleukin-17 production,4,4,0.85,0.00199,1
GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,11,8,2.33,0.00206,1
GO:0061098,positive regulation of protein tyrosine kinase activity,10,6,2.11,0.00208,1
GO:0032755,positive regulation of interleukin-6 production,34,15,7.19,0.00215,1
GO:1904707,positive regulation of vascular associated smooth muscle cell proliferation,11,7,2.33,0.00274,1
GO:0006952,defense response,430,151,90.91,0.00327,1
GO:0048538,thymus development,26,12,5.5,0.00375,1
GO:0045669,positive regulation of osteoblast differentiation,23,11,4.86,0.00390,1
GO:0030509,BMP signaling pathway,55,16,11.63,0.00397,1
GO:2000249,regulation of actin cytoskeleton reorganization,16,10,3.38,0.00407,1
GO:0051897,positive regulation of protein kinase B signaling,33,14,6.98,0.00463,1
GO:0030335,positive regulation of cell migration,179,59,37.84,0.00523,1
GO:0050829,defense response to Gram-negative bacterium,14,9,2.96,0.00535,1
GO:0060326,cell chemotaxis,89,31,18.82,0.00582,1
GO:0006909,phagocytosis,72,26,15.22,0.00586,1
GO:0042742,defense response to bacterium,54,24,11.42,0.00589,1
GO:0070493,thrombin-activated receptor signaling pathway,8,6,1.69,0.00599,1
GO:0051649,establishment of localization in cell,848,164,179.28,0.00666,1
GO:0034341,response to interferon-gamma,39,19,8.25,0.00811,1
GO:0070528,protein kinase C signaling,9,6,1.9,0.00825,1
GO:0000302,response to reactive oxygen species,69,18,14.59,0.00827,1
GO:0045591,positive regulation of regulatory T cell differentiation,5,4,1.06,0.00828,1
GO:0007033,vacuole organization,101,23,21.35,0.00830,1
GO:0048255,mRNA stabilization,27,10,5.71,0.00842,1
GO:0045071,negative regulation of viral genome replication,14,7,2.96,0.00843,1
GO:0002230,positive regulation of defense response to virus by host,10,6,2.11,0.00843,1
GO:0045214,sarcomere organization,10,6,2.11,0.00843,1
GO:0009653,anatomical structure morphogenesis,771,209,163,0.00850,1
GO:0016525,negative regulation of angiogenesis,25,11,5.29,0.00910,1
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,54,24,11.42,0.00928,1
GO:2000573,positive regulation of DNA biosynthetic process,40,14,8.46,0.00937,1
GO:0003009,skeletal muscle contraction,7,6,1.48,0.00939,1
GO:0060333,interferon-gamma-mediated signaling pathway,9,5,1.9,0.00942,1
GO:0072112,glomerular visceral epithelial cell differentiation,6,4,1.27,0.00943,1
GO:0070106,interleukin-27-mediated signaling pathway,3,3,0.63,0.00943,1
GO:0070837,dehydroascorbic acid transport,3,3,0.63,0.00943,1
GO:0035912,dorsal aorta morphogenesis,3,3,0.63,0.00943,1
GO:0010756,positive regulation of plasminogen activation,3,3,0.63,0.00943,1
GO:0008217,regulation of blood pressure,35,15,7.4,0.00970,1
GO:0030163,protein catabolic process,483,82,102.11,0.01057,1
GO:0051092,positive regulation of NF-kappaB transcription factor activity,69,23,14.59,0.01231,1
