GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down
GO:0051865,protein autoubiquitination,49,32,20.17,0.00046,1
GO:0030182,neuron differentiation,333,136,137.04,0.00132,1
GO:0035970,peptidyl-threonine dephosphorylation,10,9,4.12,0.00212,1
GO:0008285,negative regulation of cell population proliferation,208,94,85.6,0.00271,1
GO:0051302,regulation of cell division,53,27,21.81,0.00359,1
GO:0000209,protein polyubiquitination,117,63,48.15,0.00467,1
GO:0030878,thyroid gland development,9,8,3.7,0.00467,1
GO:0006337,nucleosome disassembly,9,8,3.7,0.00467,1
GO:0060324,face development,23,15,9.47,0.00735,1
GO:0051649,establishment of localization in cell,848,361,348.98,0.00993,1
GO:0031063,regulation of histone deacetylation,17,13,7,0.01014,1
GO:0010811,positive regulation of cell-substrate adhesion,48,27,19.75,0.01169,1
GO:0007033,vacuole organization,101,48,41.56,0.01170,1
GO:0021522,spinal cord motor neuron differentiation,7,7,2.88,0.01175,1
GO:0001675,acrosome assembly,5,5,2.06,0.01178,1
GO:0030278,regulation of ossification,40,19,16.46,0.01179,1
GO:0043405,regulation of MAP kinase activity,67,27,27.57,0.01185,1
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,201,105,82.72,0.01466,1
GO:0006511,ubiquitin-dependent protein catabolic process,324,169,133.34,0.01768,1
GO:0043433,negative regulation of DNA-binding transcription factor activity,64,36,26.34,0.01784,1
GO:0030433,ubiquitin-dependent ERAD pathway,45,25,18.52,0.01866,1
GO:0060048,cardiac muscle contraction,33,22,13.58,0.02173,1
GO:0000122,negative regulation of transcription by RNA polymerase II,297,140,122.22,0.02197,1
GO:0000398,mRNA splicing; via spliceosome,140,69,57.61,0.02325,1
GO:0008104,protein localization,989,424,407,0.02695,1
GO:0030198,extracellular matrix organization,62,31,25.51,0.02771,1
GO:0042147,retrograde transport; endosome to Golgi,46,25,18.93,0.02808,1
GO:0098780,response to mitochondrial depolarisation,11,7,4.53,0.02864,1
GO:0030579,ubiquitin-dependent SMAD protein catabolic process,4,4,1.65,0.02865,1
GO:0031442,positive regulation of mRNA 3'-end processing,4,4,1.65,0.02865,1
GO:0075525,viral translational termination-reinitiation,4,4,1.65,0.02865,1
GO:0021554,optic nerve development,4,4,1.65,0.02865,1
GO:0030214,hyaluronan catabolic process,4,4,1.65,0.02865,1
GO:0051754,meiotic sister chromatid cohesion; centromeric,4,4,1.65,0.02865,1
GO:0031453,positive regulation of heterochromatin assembly,9,5,3.7,0.02869,1
GO:0034765,regulation of ion transmembrane transport,123,51,50.62,0.02873,1
GO:0060291,long-term synaptic potentiation,17,11,7,0.02949,1
GO:0075522,IRES-dependent viral translational initiation,9,7,3.7,0.02953,1
GO:0071897,DNA biosynthetic process,129,45,53.09,0.03026,1
GO:0016567,protein ubiquitination,340,165,139.92,0.03408,1
GO:0045879,negative regulation of smoothened signaling pathway,13,9,5.35,0.03494,1
GO:0007420,brain development,175,80,72.02,0.03628,1
GO:0044154,histone H3-K14 acetylation,17,11,7,0.04298,1
GO:0010508,positive regulation of autophagy,69,34,28.4,0.04313,1
GO:0070534,protein K63-linked ubiquitination,26,15,10.7,0.04395,1
GO:0007613,memory,27,15,11.11,0.04400,1
GO:0030509,BMP signaling pathway,55,25,22.63,0.04419,1
GO:1900026,positive regulation of substrate adhesion-dependent cell spreading,25,15,10.29,0.04429,1
GO:0051726,regulation of cell cycle,441,191,181.49,0.04433,1
GO:0045669,positive regulation of osteoblast differentiation,23,14,9.47,0.04451,1
