GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_down
GO:0030026,cellular manganese ion homeostasis,1,1,0,0.0031,1
GO:0034337,RNA folding,1,1,0,0.0031,1
GO:0097080,plasma membrane selenite transport,1,1,0,0.0031,1
GO:1990540,mitochondrial manganese ion transmembrane transport,1,1,0,0.0031,1
GO:0019530,taurine metabolic process,2,1,0.01,0.0062,1
GO:0006876,cellular cadmium ion homeostasis,2,1,0.01,0.0062,1
GO:1902523,positive regulation of protein K63-linked ubiquitination,2,1,0.01,0.0062,1
GO:1990079,cartilage homeostasis,2,1,0.01,0.0062,1
GO:0061757,leukocyte adhesion to arterial endothelial cell,2,1,0.01,0.0062,1
GO:0070574,cadmium ion transmembrane transport,2,1,0.01,0.0062,1
GO:0009448,gamma-aminobutyric acid metabolic process,3,1,0.01,0.0092,1
GO:0098711,iron ion import across plasma membrane,3,1,0.01,0.0092,1
GO:0006566,threonine metabolic process,3,1,0.01,0.0092,1
GO:0071578,zinc ion import across plasma membrane,3,1,0.01,0.0092,1
GO:0006544,glycine metabolic process,4,1,0.01,0.0123,1
GO:0015701,bicarbonate transport,4,1,0.01,0.0123,1
GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,4,1,0.01,0.0123,1
GO:0002943,tRNA dihydrouridine synthesis,4,1,0.01,0.0123,1
GO:0019835,cytolysis,4,1,0.01,0.0123,1
GO:0006563,L-serine metabolic process,4,1,0.01,0.0123,1
GO:0033084,regulation of immature T cell proliferation in thymus,5,1,0.02,0.0153,1
GO:0046784,viral mRNA export from host cell nucleus,6,1,0.02,0.0184,1
GO:0006751,glutathione catabolic process,6,1,0.02,0.0184,1
GO:1901029,negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,6,1,0.02,0.0184,1
GO:0045050,protein insertion into ER membrane by stop-transfer membrane-anchor sequence,7,1,0.02,0.0214,1
GO:0006413,translational initiation,75,2,0.23,0.0219,1
GO:0006541,glutamine metabolic process,8,1,0.02,0.0244,1
GO:0070314,G1 to G0 transition,9,1,0.03,0.0274,1
GO:0048013,ephrin receptor signaling pathway,10,1,0.03,0.0304,1
GO:0071816,tail-anchored membrane protein insertion into ER membrane,10,1,0.03,0.0304,1
GO:0006525,arginine metabolic process,11,1,0.03,0.0334,1
GO:0006882,cellular zinc ion homeostasis,12,1,0.04,0.0364,1
GO:1904262,negative regulation of TORC1 signaling,13,1,0.04,0.0394,1
GO:0008152,metabolic process,4746,15,14.63,0.0397,1
GO:1901031,regulation of response to reactive oxygen species,14,1,0.04,0.0423,1
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,14,1,0.04,0.0423,1
GO:0032786,positive regulation of DNA-templated transcription; elongation,15,1,0.05,0.0453,1
GO:0021510,spinal cord development,15,1,0.05,0.0453,1
GO:0006301,postreplication repair,17,1,0.05,0.0512,1
GO:0031297,replication fork processing,24,1,0.07,0.0715,1
GO:0006406,mRNA export from nucleus,31,1,0.1,0.0914,1
GO:0021782,glial cell development,32,1,0.1,0.0943,1
GO:0008645,hexose transmembrane transport,32,1,0.1,0.0943,1
GO:0008217,regulation of blood pressure,35,1,0.11,0.1026,1
GO:0032508,DNA duplex unwinding,37,1,0.11,0.1082,1
GO:0006487,protein N-linked glycosylation,39,1,0.12,0.1137,1
GO:0015914,phospholipid transport,40,1,0.12,0.1165,1
GO:0006915,apoptotic process,635,2,1.96,0.1518,1
GO:0042742,defense response to bacterium,54,1,0.17,0.1541,1
GO:0030198,extracellular matrix organization,62,1,0.19,0.1749,1
