GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,54,44,25.32,1.2e-05,0.0714
GO:0032755,positive regulation of interleukin-6 production,35,29,16.41,1.2e-05,0.0714
GO:0032760,positive regulation of tumor necrosis factor production,29,24,13.6,7.5e-05,0.2321
GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,65,46,30.48,7.8e-05,0.2321
GO:0050729,positive regulation of inflammatory response,41,32,19.22,0.00013,0.2975
GO:0007229,integrin-mediated signaling pathway,40,31,18.76,0.00015,0.2975
GO:0060907,positive regulation of macrophage cytokine production,11,11,5.16,0.00024,0.408
GO:0006954,inflammatory response,195,129,91.43,0.00041,0.5474
GO:0051897,positive regulation of protein kinase B signaling,34,26,15.94,0.00042,0.5474
GO:0070374,positive regulation of ERK1 and ERK2 cascade,58,41,27.2,0.00046,0.5474
GO:0045087,innate immune response,173,108,81.12,0.00097,0.9979
GO:0045429,positive regulation of nitric oxide biosynthetic process,9,9,4.22,0.00109,0.9979
GO:0002092,positive regulation of receptor internalization,9,9,4.22,0.00109,0.9979
GO:0006955,immune response,434,277,203.5,0.00146,1
GO:0030890,positive regulation of B cell proliferation,21,17,9.85,0.00147,1
GO:0007015,actin filament organization,162,100,75.96,0.00155,1
GO:0006814,sodium ion transport,45,31,21.1,0.00161,1
GO:0002218,activation of innate immune response,17,15,7.97,0.00175,1
GO:0001570,vasculogenesis,24,19,11.25,0.00298,1
GO:0071260,cellular response to mechanical stimulus,22,17,10.32,0.00365,1
GO:0007165,signal transduction,1751,909,821.02,0.00395,1
GO:0032496,response to lipopolysaccharide,82,53,38.45,0.00458,1
GO:0030225,macrophage differentiation,18,14,8.44,0.00495,1
GO:0030335,positive regulation of cell migration,182,113,85.34,0.00525,1
GO:0009636,response to toxic substance,36,20,16.88,0.00539,1
GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,19,14,8.91,0.00609,1
GO:2000773,negative regulation of cellular senescence,13,11,6.1,0.00609,1
GO:0071526,semaphorin-plexin signaling pathway,12,10,5.63,0.00630,1
GO:0043552,positive regulation of phosphatidylinositol 3-kinase activity,10,9,4.69,0.00630,1
GO:0010628,positive regulation of gene expression,413,234,193.65,0.00660,1
GO:0051092,positive regulation of NF-kappaB transcription factor activity,69,43,32.35,0.00690,1
GO:0010629,negative regulation of gene expression,371,190,173.96,0.00697,1
GO:0050853,B cell receptor signaling pathway,27,22,12.66,0.00756,1
GO:0098586,cellular response to virus,35,19,16.41,0.00774,1
GO:0045669,positive regulation of osteoblast differentiation,23,17,10.78,0.00789,1
GO:0060326,cell chemotaxis,91,60,42.67,0.00906,1
GO:0006909,phagocytosis,72,51,33.76,0.00906,1
GO:0008217,regulation of blood pressure,35,23,16.41,0.00937,1
GO:0031647,regulation of protein stability,157,81,73.62,0.00996,1
GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,20,15,9.38,0.01015,1
GO:0032757,positive regulation of interleukin-8 production,20,15,9.38,0.01015,1
GO:0008544,epidermis development,83,53,38.92,0.01038,1
GO:0016064,immunoglobulin mediated immune response,41,30,19.22,0.01045,1
GO:0061098,positive regulation of protein tyrosine kinase activity,10,9,4.69,0.01058,1
GO:0002281,macrophage activation involved in immune response,6,6,2.81,0.01060,1
GO:0033234,negative regulation of protein sumoylation,6,6,2.81,0.01060,1
GO:0045821,positive regulation of glycolytic process,6,6,2.81,0.01060,1
GO:0090051,negative regulation of cell migration involved in sprouting angiogenesis,6,6,2.81,0.01060,1
GO:0002091,negative regulation of receptor internalization,6,6,2.81,0.01060,1
GO:0043491,protein kinase B signaling,73,50,34.23,0.01081,1
