GO.ID,Term,Annotated,Significant,Expected,weightFisher,p.adj_up
GO:0007601,visual perception,5,4,1.09,0.0089,1
GO:0051923,sulfation,2,2,0.44,0.0472,1
GO:0018027,peptidyl-lysine dimethylation,2,2,0.44,0.0472,1
GO:1990034,calcium ion export across plasma membrane,2,2,0.44,0.0472,1
GO:0003334,keratinocyte development,2,2,0.44,0.0472,1
GO:0007602,phototransduction,2,2,0.44,0.0472,1
GO:0090026,positive regulation of monocyte chemotaxis,2,2,0.44,0.0472,1
GO:0046627,negative regulation of insulin receptor signaling pathway,2,2,0.44,0.0472,1
GO:0007368,determination of left/right symmetry,2,2,0.44,0.0472,1
GO:0006310,DNA recombination,14,5,3.05,0.0714,1
GO:0006278,RNA-dependent DNA biosynthetic process,9,4,1.96,0.1090,1
GO:0010468,regulation of gene expression,88,23,19.2,0.1128,1
GO:0001503,ossification,6,3,1.31,0.1204,1
GO:0006511,ubiquitin-dependent protein catabolic process,11,4,2.4,0.1206,1
GO:0051570,regulation of histone H3-K9 methylation,3,2,0.65,0.1213,1
GO:0007219,Notch signaling pathway,3,2,0.65,0.1213,1
GO:0015074,DNA integration,3,2,0.65,0.1213,1
GO:0010467,gene expression,119,33,25.96,0.1740,1
GO:0006355,regulation of transcription; DNA-templated,63,15,13.75,0.1799,1
GO:0090502,RNA phosphodiester bond hydrolysis; endonucleolytic,4,2,0.87,0.2086,1
GO:0035725,sodium ion transmembrane transport,4,2,0.87,0.2086,1
GO:0007399,nervous system development,37,12,8.07,0.2092,1
GO:0050877,nervous system process,28,10,6.11,0.2095,1
GO:0050953,sensory perception of light stimulus,6,5,1.31,0.2105,1
GO:0021915,neural tube development,3,3,0.65,0.2141,1
GO:0022008,neurogenesis,27,8,5.89,0.2145,1
GO:0043588,skin development,6,3,1.31,0.2158,1
GO:0022904,respiratory electron transport chain,6,3,1.31,0.2158,1
GO:1990138,neuron projection extension,2,2,0.44,0.2161,1
GO:0007411,axon guidance,2,2,0.44,0.2161,1
GO:0051480,regulation of cytosolic calcium ion concentration,2,2,0.44,0.2161,1
GO:0060349,bone morphogenesis,2,2,0.44,0.2161,1
GO:0042471,ear morphogenesis,2,2,0.44,0.2161,1
GO:0042475,odontogenesis of dentin-containing tooth,2,2,0.44,0.2161,1
GO:0045664,regulation of neuron differentiation,2,2,0.44,0.2161,1
GO:0070129,regulation of mitochondrial translation,2,2,0.44,0.2161,1
GO:0030593,neutrophil chemotaxis,3,2,0.65,0.2167,1
GO:0021782,glial cell development,3,2,0.65,0.2167,1
GO:0010837,regulation of keratinocyte proliferation,3,2,0.65,0.2167,1
GO:0048871,multicellular organismal homeostasis,13,4,2.84,0.2172,1
GO:0070371,ERK1 and ERK2 cascade,4,2,0.87,0.2173,1
GO:0006707,cholesterol catabolic process,1,1,0.22,0.2182,1
GO:1902902,negative regulation of autophagosome assembly,1,1,0.22,0.2182,1
GO:0010592,positive regulation of lamellipodium assembly,1,1,0.22,0.2182,1
GO:1990166,protein localization to site of double-strand break,1,1,0.22,0.2182,1
GO:0021902,commitment of neuronal cell to specific neuron type in forebrain,1,1,0.22,0.2182,1
GO:0140331,aminophospholipid translocation,1,1,0.22,0.2182,1
GO:0030210,heparin biosynthetic process,1,1,0.22,0.2182,1
GO:0060088,auditory receptor cell stereocilium organization,1,1,0.22,0.2182,1
GO:0061588,calcium activated phospholipid scrambling,1,1,0.22,0.2182,1
