Sample	Reads passing filters
ES100_SEM19-140_Control-lipid_0_1	45410205.0
ES100_SEM19-140_Control-lipid_0_2	45410205.0
ES101_SEM19-140_Control-lipid_14_1	42988673.0
ES101_SEM19-140_Control-lipid_14_2	42988673.0
ES102_SEM19-140_Control-lipid_21_1	48174120.0
ES102_SEM19-140_Control-lipid_21_2	48174120.0
ES103_625_Control-lipid_0_1	50992615.0
ES103_625_Control-lipid_0_2	50992615.0
ES104_625_Control-lipid_14_1	41077281.0
ES104_625_Control-lipid_14_2	41077281.0
ES105_625_Control-lipid_21_1	53394179.0
ES105_625_Control-lipid_21_2	53394179.0
ES10_172_Control-protein_14_1	42919861.0
ES10_172_Control-protein_14_2	42919861.0
ES11_172_Control-protein_21_1	48298663.0
ES11_172_Control-protein_21_2	48298663.0
ES12_209_MG-lipid_0_1	48405960.0
ES12_209_MG-lipid_0_2	48405960.0
ES13_209_MG-lipid_14_1	47878628.0
ES13_209_MG-lipid_14_2	47878628.0
ES14_209_MG-lipid_21_1	40169252.0
ES14_209_MG-lipid_21_2	40169252.0
ES15_601_Control-protein_14_1	44752398.0
ES15_601_Control-protein_14_2	44752398.0
ES16_601_Control-protein_21_1	48927075.0
ES16_601_Control-protein_21_2	48927075.0
ES17_615_Control-protein_0_1	46470216.0
ES17_615_Control-protein_0_2	46470216.0
ES18_615_Control-protein_14_1	44847689.0
ES18_615_Control-protein_14_2	44847689.0
ES19_615_Control-protein_21_1	43779323.0
ES19_615_Control-protein_21_2	43779323.0
ES1_48_Control-lipid_0_1	51030869.0
ES1_48_Control-lipid_0_2	51030869.0
ES20_618_Control-lipid_0_1	47849211.0
ES20_618_Control-lipid_0_2	47849211.0
ES21_618_Control-lipid_14_1	33752786.0
ES21_618_Control-lipid_14_2	33752786.0
ES22_618_Control-lipid_21_1	46382754.0
ES22_618_Control-lipid_21_2	46382754.0
ES23_Blue-010_Control-lipid_0_1	45957789.0
ES23_Blue-010_Control-lipid_0_2	45957789.0
ES24_Blue-010_Control-lipid_21_1	49818486.0
ES24_Blue-010_Control-lipid_21_2	49818486.0
ES25_619_MG-lipid_0_1	44150438.0
ES25_619_MG-lipid_0_2	44150438.0
ES26_619_MG-lipid_14_1	44410086.0
ES26_619_MG-lipid_14_2	44410086.0
ES27_619_MG-lipid_21_1	44969958.0
ES27_619_MG-lipid_21_2	44969958.0
ES28_Blue-098_Control-lipid_0_1	54464395.0
ES28_Blue-098_Control-lipid_0_2	54464395.0
ES29_Blue-098_Control-lipid_14_1	52140641.0
ES29_Blue-098_Control-lipid_14_2	52140641.0
ES2_48_Control-lipid_14_1	45624327.0
ES2_48_Control-lipid_14_2	45624327.0
ES30_Blue-098_Control-lipid_21_1	35667230.0
ES30_Blue-098_Control-lipid_21_2	35667230.0
ES31_Blue-055_NA_0_1	46585222.0
ES31_Blue-055_NA_0_2	46585222.0
ES32_Blue-055_NA_14_1	48039457.0
ES32_Blue-055_NA_14_2	48039457.0
ES33_101-LS_MG-lipid_0_1	48139143.0
ES33_101-LS_MG-lipid_0_2	48139143.0
ES34_101-LS_MG-lipid_14_1	45028801.0
ES34_101-LS_MG-lipid_14_2	45028801.0
ES35_101-LS_MG-lipid_21_1	45405269.0
ES35_101-LS_MG-lipid_21_2	45405269.0
ES36_AR17-21_MG-lipid_0_1	42487772.0
ES36_AR17-21_MG-lipid_0_2	42487772.0
ES37_AR17-21_MG-lipid_14_1	47722441.0
ES37_AR17-21_MG-lipid_14_2	47722441.0
ES38_AR17-21_MG-lipid_21_1	43890238.0
ES38_AR17-21_MG-lipid_21_2	43890238.0
