Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
ES100_SEM19-140_Control-lipid_0_1 - Adapter 1	9357986	2968595	676835	105050	27998	1881	491	477	612	680	704	321	349	381	305	328	340	297	257	287	253	211	230	207	208	180	191	156	151	126	584	163	104	122	55	79	47	53	25	27	63	48	44	195	35	81	1462	2032	232	4325
ES100_SEM19-140_Control-lipid_0_2 - Adapter 1	10413755	3359622	1087242	165435	54996	6293	1223	581	718	1134	987	601	534	563	367	443	609	271	511	221	271	269	299	333	198	203	229	156	182	165	573	171	108	96	83	73	60	59	30	30	68	32	35	22	23	11	46	57	24	89
ES101_SEM19-140_Control-lipid_14_1 - Adapter 1	9242051	2743115	633558	102891	26656	2059	554	477	695	704	771	441	452	439	369	389	448	347	296	348	313	241	261	329	281	223	196	189	184	121	258	165	156	112	107	70	54	68	53	35	31	8	24	44	23	52	99	42	109	5545
ES101_SEM19-140_Control-lipid_14_2 - Adapter 1	10088298	3230143	1072493	162498	49956	5872	1387	677	809	1264	1102	729	706	645	435	593	746	325	648	236	391	352	354	437	299	242	271	201	225	209	180	155	103	133	107	59	83	53	48	21	40	26	23	10	26	15	47	24	25	53
ES102_SEM19-140_Control-lipid_21_1 - Adapter 1	10072577	3119020	713679	114538	29281	2159	657	544	764	840	890	468	475	525	423	482	546	398	326	357	322	292	338	297	291	286	241	236	220	156	170	161	136	124	75	79	54	34	48	39	60	27	58	186	44	99	1139	474	201	15510
ES102_SEM19-140_Control-lipid_21_2 - Adapter 1	11067947	3491909	1168355	174863	55643	6639	1672	771	955	1331	1261	728	767	805	516	679	808	410	698	283	396	407	379	428	353	344	364	207	234	156	184	146	137	120	76	88	56	53	42	34	45	25	16	10	20	11	56	21	22	91
ES103_625_Control-lipid_0_1 - Adapter 1	10760804	3274430	736141	121281	32318	2428	750	655	889	911	938	527	537	593	488	446	603	475	341	421	364	308	360	332	344	246	275	246	194	171	494	198	143	143	106	97	69	68	57	55	91	41	59	107	39	95	562	392	351	20015
ES103_625_Control-lipid_0_2 - Adapter 1	11484949	3786455	1241137	192523	65860	6580	1905	842	1122	1533	1322	846	880	867	566	711	960	423	662	367	469	401	449	531	371	293	411	254	225	287	384	170	164	143	112	112	83	68	59	36	59	28	44	22	34	15	73	26	18	163
ES104_625_Control-lipid_14_1 - Adapter 1	8658454	2665498	591673	97538	25444	1877	541	424	615	686	706	399	391	412	359	385	422	339	250	310	265	234	239	240	230	191	187	163	174	136	224	133	95	86	83	45	44	54	42	43	63	84	115	421	103	187	3819	1201	2222	95795
ES104_625_Control-lipid_14_2 - Adapter 1	9394618	2899381	959957	150808	51094	5090	1284	606	757	1110	921	612	610	625	375	536	613	269	519	241	323	301	306	327	225	219	247	153	192	135	232	112	113	93	56	54	46	59	36	33	49	31	20	10	23	22	62	65	44	270
