Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ES100_SEM19-140_Control-lipid_0_1	1.1809789901412753	11.391867193485057
ES100_SEM19-140_Control-lipid_0_2	0.9050675407566198	11.817734804110735
ES101_SEM19-140_Control-lipid_14_1	1.778020861396269	12.462982622916476
ES101_SEM19-140_Control-lipid_14_2	1.2291787620546222	13.267057849384653
ES102_SEM19-140_Control-lipid_21_1	1.2920787787136698	10.067349992010307
ES102_SEM19-140_Control-lipid_21_2	0.8318307384712134	10.389778361135264
ES103_625_Control-lipid_0_1	1.3796788976505108	7.490639557197623
ES103_625_Control-lipid_0_2	0.7522506025181616	8.75876121187298
ES104_625_Control-lipid_14_1	1.2990747545955428	7.7986351360362836
ES104_625_Control-lipid_14_2	0.7580006346770143	8.546205021991044
ES105_625_Control-lipid_21_1	0.5018250343750459	7.1594319915765725
ES105_625_Control-lipid_21_2	0.8313948412188811	9.388914147995353
ES10_172_Control-protein_14_1	1.2623968692377026	12.209279655534118
ES10_172_Control-protein_14_2	0.9482933828159994	12.217459139854078
ES11_172_Control-protein_21_1	1.5114017534728816	12.818868125083839
ES11_172_Control-protein_21_2	0.9303736684978097	12.960524935363734
ES12_209_MG-lipid_0_1	0.855146892827992	15.729689961893843
ES12_209_MG-lipid_0_2	1.1042364363262174	15.724039344542547
ES13_209_MG-lipid_14_1	0.6571912781760055	8.555848677413296
ES13_209_MG-lipid_14_2	0.857277117158916	8.683888525314007
ES14_209_MG-lipid_21_1	0.8639649409376237	14.301960726381353
ES14_209_MG-lipid_21_2	0.9848377273232946	14.007598521960807
ES15_601_Control-protein_14_1	1.0319621303759579	11.685241543264258
ES15_601_Control-protein_14_2	0.9325505357673713	11.920396348176782
ES16_601_Control-protein_21_1	0.9437692197461103	12.217149085843625
ES16_601_Control-protein_21_2	0.8497081598766809	12.422936848403223
ES17_615_Control-protein_0_1	0.9072564657766069	14.07705792853416
ES17_615_Control-protein_0_2	1.059674684202395	14.899334831907462
ES18_615_Control-protein_14_1	0.8544390044230096	6.619027154350638
ES18_615_Control-protein_14_2	0.7373614587638042	6.978923516177018
ES19_615_Control-protein_21_1	1.3858123715563015	9.282727241415449
ES19_615_Control-protein_21_2	0.7493019736581394	9.856580539407057
ES1_48_Control-lipid_0_1	0.9264103959244356	9.810577769997845
