Sample	Unique Reads	Duplicate Reads
ES100_SEM19-140_Control-lipid_0_1	7910647.0	37225211.0
ES100_SEM19-140_Control-lipid_0_2	8842619.0	36293239.0
ES101_SEM19-140_Control-lipid_14_1	8268400.0	34537172.0
ES101_SEM19-140_Control-lipid_14_2	9041745.0	33763827.0
ES102_SEM19-140_Control-lipid_21_1	9232659.0	38541363.0
ES102_SEM19-140_Control-lipid_21_2	10659376.0	37114646.0
ES103_625_Control-lipid_0_1	10676337.0	40126281.0
ES103_625_Control-lipid_0_2	11198080.0	39604538.0
ES104_625_Control-lipid_14_1	9171454.0	31362549.0
ES104_625_Control-lipid_14_2	10549892.0	29984111.0
ES105_625_Control-lipid_21_1	11045667.0	42178262.0
ES105_625_Control-lipid_21_2	11696220.0	41527709.0
ES10_172_Control-protein_14_1	8533077.0	33987941.0
ES10_172_Control-protein_14_2	9815609.0	32705409.0
ES11_172_Control-protein_21_1	9089030.0	38665116.0
ES11_172_Control-protein_21_2	10792128.0	36962018.0
ES12_209_MG-lipid_0_1	8729467.0	39282986.0
ES12_209_MG-lipid_0_2	9984478.0	38027975.0
ES13_209_MG-lipid_14_1	9494172.0	37957462.0
ES13_209_MG-lipid_14_2	10925895.0	36525739.0
ES14_209_MG-lipid_21_1	7885491.0	31917513.0
ES14_209_MG-lipid_21_2	9218160.0	30584844.0
ES15_601_Control-protein_14_1	8448908.0	35920162.0
ES15_601_Control-protein_14_2	9756103.0	34612967.0
ES16_601_Control-protein_21_1	8801083.0	39796073.0
ES16_601_Control-protein_21_2	10117078.0	38480078.0
ES17_615_Control-protein_0_1	8701171.0	37391088.0
ES17_615_Control-protein_0_2	10112089.0	35980170.0
ES18_615_Control-protein_14_1	10205237.0	34140585.0
ES18_615_Control-protein_14_2	11779019.0	32566803.0
ES19_615_Control-protein_21_1	9227404.0	33974404.0
ES19_615_Control-protein_21_2	10893235.0	32308573.0
ES1_48_Control-lipid_0_1	9776036.0	40804247.0
ES1_48_Control-lipid_0_2	11205007.0	39375276.0
ES20_618_Control-lipid_0_1	8525804.0	39002495.0
ES20_618_Control-lipid_0_2	9639730.0	37888569.0
ES21_618_Control-lipid_14_1	6226651.0	27010418.0
ES21_618_Control-lipid_14_2	6967900.0	26269169.0
ES22_618_Control-lipid_21_1	8703795.0	37227318.0
ES22_618_Control-lipid_21_2	10221297.0	35709816.0
ES23_Blue-010_Control-lipid_0_1	9627109.0	35985723.0
ES23_Blue-010_Control-lipid_0_2	10687761.0	34925071.0
ES24_Blue-010_Control-lipid_21_1	9207067.0	40245151.0
ES24_Blue-010_Control-lipid_21_2	10540651.0	38911567.0
ES25_619_MG-lipid_0_1	7966748.0	35833922.0
ES25_619_MG-lipid_0_2	9270842.0	34529828.0
ES26_619_MG-lipid_14_1	9019142.0	34858513.0
ES26_619_MG-lipid_14_2	10464076.0	33413579.0
ES27_619_MG-lipid_21_1	8528086.0	36138939.0
ES27_619_MG-lipid_21_2	9434545.0	35232480.0
ES28_Blue-098_Control-lipid_0_1	10609829.0	43506160.0
ES28_Blue-098_Control-lipid_0_2	11750868.0	42365121.0
ES29_Blue-098_Control-lipid_14_1	10507940.0	41410914.0
ES29_Blue-098_Control-lipid_14_2	11263529.0	40655325.0
ES2_48_Control-lipid_14_1	8505022.0	36709688.0
ES2_48_Control-lipid_14_2	9805637.0	35409073.0
ES30_Blue-098_Control-lipid_21_1	7983783.0	27302482.0
