Sample	Unique Reads	Duplicate Reads
ES100_SEM19-140_Control-lipid_0_1	7778970.0	37631235.0
ES100_SEM19-140_Control-lipid_0_2	9053570.0	36356635.0
ES101_SEM19-140_Control-lipid_14_1	8150743.0	34837930.0
ES101_SEM19-140_Control-lipid_14_2	9161775.0	33826898.0
ES102_SEM19-140_Control-lipid_21_1	9110239.0	39063881.0
ES102_SEM19-140_Control-lipid_21_2	11006095.0	37168025.0
ES103_625_Control-lipid_0_1	10531694.0	40460921.0
ES103_625_Control-lipid_0_2	11270112.0	39722503.0
ES104_625_Control-lipid_14_1	9081714.0	31995567.0
ES104_625_Control-lipid_14_2	11048611.0	30028670.0
ES105_625_Control-lipid_21_1	10875320.0	42518859.0
ES105_625_Control-lipid_21_2	11768168.0	41626011.0
ES10_172_Control-protein_14_1	8442950.0	34476911.0
ES10_172_Control-protein_14_2	10214257.0	32705604.0
ES11_172_Control-protein_21_1	9009194.0	39289469.0
ES11_172_Control-protein_21_2	11387608.0	36911055.0
ES12_209_MG-lipid_0_1	8623870.0	39782090.0
ES12_209_MG-lipid_0_2	10427574.0	37978386.0
ES13_209_MG-lipid_14_1	9382065.0	38496563.0
ES13_209_MG-lipid_14_2	11335514.0	36543114.0
ES14_209_MG-lipid_21_1	7813258.0	32355994.0
ES14_209_MG-lipid_21_2	9615366.0	30553886.0
ES15_601_Control-protein_14_1	8343093.0	36409305.0
ES15_601_Control-protein_14_2	10094365.0	34658033.0
ES16_601_Control-protein_21_1	8662980.0	40264095.0
ES16_601_Control-protein_21_2	10414013.0	38513062.0
ES17_615_Control-protein_0_1	8616798.0	37853418.0
ES17_615_Control-protein_0_2	10578939.0	35891277.0
ES18_615_Control-protein_14_1	10089841.0	34757848.0
ES18_615_Control-protein_14_2	12289287.0	32558402.0
ES19_615_Control-protein_21_1	9132422.0	34646901.0
ES19_615_Control-protein_21_2	11475994.0	32303329.0
ES1_48_Control-lipid_0_1	9643762.0	41387107.0
ES1_48_Control-lipid_0_2	11602092.0	39428777.0
ES20_618_Control-lipid_0_1	8409934.0	39439277.0
ES20_618_Control-lipid_0_2	9973318.0	37875893.0
ES21_618_Control-lipid_14_1	6145890.0	27606896.0
ES21_618_Control-lipid_14_2	7359916.0	26392870.0
ES22_618_Control-lipid_21_1	8601303.0	37781451.0
ES22_618_Control-lipid_21_2	10713249.0	35669505.0
ES23_Blue-010_Control-lipid_0_1	9487795.0	36469994.0
ES23_Blue-010_Control-lipid_0_2	10992363.0	34965426.0
ES24_Blue-010_Control-lipid_21_1	9067245.0	40751241.0
ES24_Blue-010_Control-lipid_21_2	10883961.0	38934525.0
ES25_619_MG-lipid_0_1	7882752.0	36267686.0
ES25_619_MG-lipid_0_2	9623334.0	34527104.0
ES26_619_MG-lipid_14_1	8924476.0	35485610.0
ES26_619_MG-lipid_14_2	10995949.0	33414137.0
ES27_619_MG-lipid_21_1	8407403.0	36562555.0
ES27_619_MG-lipid_21_2	9693721.0	35276237.0
ES28_Blue-098_Control-lipid_0_1	10431266.0	44033129.0
ES28_Blue-098_Control-lipid_0_2	12048624.0	42415771.0
ES29_Blue-098_Control-lipid_14_1	10333625.0	41807016.0
ES29_Blue-098_Control-lipid_14_2	11374509.0	40766132.0
ES2_48_Control-lipid_14_1	8421128.0	37203199.0
ES2_48_Control-lipid_14_2	10197669.0	35426658.0
ES30_Blue-098_Control-lipid_21_1	7899591.0	27767639.0
ES30_Blue-098_Control-lipid_21_2	9694825.0	25972405.0
ES31_Blue-055_NA_0_1	7490811.0	39094411.0
ES31_Blue-055_NA_0_2	8187149.0	38398073.0
ES32_Blue-055_NA_14_1	8501590.0	39537867.0
ES32_Blue-055_NA_14_2	10032827.0	38006630.0
