Sample	Exonic	Intronic	Intergenic
ES100_SEM19-140_Control-lipid_0	66506040.0	7200942.0	3173467.0
ES101_SEM19-140_Control-lipid_14	61677205.0	7488219.0	3048560.0
ES102_SEM19-140_Control-lipid_21	68145949.0	8093421.0	3520369.0
ES103_625_Control-lipid_0	73881265.0	8699675.0	3570354.0
ES104_625_Control-lipid_14	57367578.0	6998840.0	2674026.0
ES105_625_Control-lipid_21	79163683.0	9500614.0	3922783.0
ES10_172_Control-protein_14	62269314.0	7007780.0	2975369.0
ES11_172_Control-protein_21	69130947.0	7493101.0	3189071.0
ES12_209_MG-lipid_0	73045587.0	6571893.0	2773901.0
ES13_209_MG-lipid_14	70098087.0	6826424.0	3215783.0
ES14_209_MG-lipid_21	59372884.0	5846671.0	2417809.0
ES15_601_Control-protein_14	64359501.0	6960582.0	3133686.0
ES16_601_Control-protein_21	72453327.0	7343875.0	3282108.0
ES17_615_Control-protein_0	68787107.0	6778702.0	2993347.0
ES18_615_Control-protein_14	62808823.0	8202662.0	3496499.0
ES19_615_Control-protein_21	61007271.0	7329145.0	3156453.0
ES1_48_Control-lipid_0	73085199.0	8169215.0	3636315.0
ES20_618_Control-lipid_0	71216594.0	7064486.0	3383482.0
ES21_618_Control-lipid_14	49727201.0	5047171.0	2384863.0
ES22_618_Control-lipid_21	66573589.0	7285800.0	3309061.0
ES23_Blue-010_Control-lipid_0	66890183.0	7517447.0	3428224.0
ES24_Blue-010_Control-lipid_21	73049500.0	7673298.0	3468750.0
ES25_619_MG-lipid_0	66630624.0	6468093.0	2676828.0
ES26_619_MG-lipid_14	64521551.0	7049951.0	2894028.0
ES27_619_MG-lipid_21	65515376.0	7736972.0	3119201.0
ES28_Blue-098_Control-lipid_0	76717736.0	9729440.0	4299627.0
ES29_Blue-098_Control-lipid_14	75294585.0	9138599.0	4001291.0
ES2_48_Control-lipid_14	66762244.0	6532040.0	2916034.0
ES30_Blue-098_Control-lipid_21	49619524.0	6260274.0	2593887.0
ES31_Blue-055_NA_0	71301134.0	7449579.0	3351882.0
ES32_Blue-055_NA_14	70142422.0	6804444.0	3298285.0
ES33_101-LS_MG-lipid_0	72068830.0	7569892.0	3389229.0
ES34_101-LS_MG-lipid_14	67071615.0	7439083.0	3347645.0
ES35_101-LS_MG-lipid_21	65987513.0	7756998.0	3464369.0
ES36_AR17-21_MG-lipid_0	62692614.0	5983135.0	2823887.0
ES37_AR17-21_MG-lipid_14	69313141.0	7052922.0	3261537.0
ES38_AR17-21_MG-lipid_21	62909771.0	6889462.0	3216855.0
ES39_LD19-239_MG-lipid_14	64997348.0	7901872.0	3457120.0
ES3_48_Control-lipid_21	61989714.0	6457378.0	2834404.0
ES40_LD19-239_MG-lipid_21	76320157.0	8939151.0	3892364.0
ES41_Blue-013_Control-protein_0	70896134.0	8262505.0	3348037.0
ES42_Blue-013_Control-protein_14	61427211.0	9074764.0	3207420.0
ES43_Blue-013_Control-protein_21	68212565.0	8484121.0	3052608.0
ES44_Blue-015_MG-lipid_0	71674906.0	8660023.0	3905742.0
ES45_Blue-015_MG-lipid_14	81167777.0	8956414.0	4011229.0
ES46_Blue-015_MG-lipid_21	64739300.0	9391228.0	3949239.0
ES47_Blue-45_MG-protein_0	62140999.0	8334794.0	3652628.0
ES48_Blue-45_MG-protein_14	66357737.0	7368907.0	3486647.0
ES49_Blue-024_Control-protein_0	64580358.0	6674838.0	2783592.0
ES4_164_Control-protein_0	65407689.0	6526269.0	2755185.0
ES50_Blue-024_Control-protein_14	56658265.0	6335840.0	2549812.0
ES51_Blue-024_Control-protein_21	55454082.0	6109254.0	2506413.0
ES52_SEM19-1481_MG-lipid_14	65093676.0	7611453.0	2992770.0
ES53_SEM19-74_MG-protein_0	61710460.0	6363355.0	2833195.0
ES54_SEM19-74_MG-protein_14	63494251.0	6805985.0	2839374.0
ES55_SEM19-74_MG-protein_21	54148352.0	6212363.0	2699839.0
ES56_Blue-050_Control-lipid_21	69911185.0	7003715.0	3132404.0
ES57_Blue-031_MG-lipid_0	79427954.0	8172989.0	3559475.0
ES58_Blue-032_MG-protein_0	70518971.0	7849445.0	3625772.0
ES59_Blue-032_MG-protein_14	68595238.0	7610629.0	3462524.0
ES5_164_Control-protein_14	60817121.0	6821780.0	2881506.0
ES60_Blue-032_MG-protein_21	60943808.0	7085275.0	3073395.0
ES61_Blue-035_MG-protein_0	56280074.0	7212310.0	2951563.0
ES62_Blue-035_MG-protein_14	63642761.0	7704554.0	3173334.0
ES63_Blue-035_MG-protein_21	58247962.0	7358178.0	3138369.0
ES64_SEM19-1481_MG-lipid_21	67721766.0	7426130.0	3073953.0
ES65_106_NA_0	65852441.0	6809248.0	3083241.0
ES66_617_Control-protein_14	62629546.0	6540825.0	2786642.0
ES67_Blue-037_MG-protein_0	58355163.0	7873771.0	3225959.0
ES68_Blue-037_MG-protein_14	53867477.0	6888907.0	2792630.0
ES69_Blue-037_MG-protein_21	56621453.0	7504342.0	3182492.0
ES6_164_Control-protein_21	58467714.0	7443875.0	3009549.0
ES70_Blue-039_Control-lipid_0	79048806.0	8800420.0	4001191.0
ES71_Blue-039_Control-lipid_14	56067195.0	6426487.0	2695620.0
ES72_Blue-039_Control-lipid_21	61426460.0	6642720.0	2885507.0
ES73_Blue-042_MG-protein_0	77682705.0	8641957.0	3705251.0
ES74_Blue-042_MG-protein_14	71271040.0	9094867.0	3851328.0
ES75_Blue-042_MG-protein_21	71753248.0	7116509.0	3235408.0
ES76_Blue-043_MG-lipid_0	58563252.0	7780487.0	3108041.0
ES77_Blue-043_MG-lipid_14	65605779.0	9195103.0	3703526.0
ES78_Blue-043_MG-lipid_21	71189094.0	10125938.0	4158309.0
ES79_Blue-050_Control-lipid_0	55065948.0	6529011.0	2773315.0
ES7_SEM19-1354_Control-protein_14	63529102.0	7825899.0	3159899.0
ES80_Blue-050_Control-lipid_14	60698532.0	6628194.0	2752610.0
ES81_Blue-047_Control-lipid_0	66026393.0	7385533.0	3251165.0
ES82_Blue-047_Control-lipid_14	43822882.0	4292902.0	1883678.0
ES83_SEM19-1481_MG-lipid_0	69239835.0	7562798.0	3009618.0
ES84_LD19-239_MG-lipid_0	66884056.0	7435555.0	3359118.0
ES85_orange-24_Control-protein_0	65046636.0	7296998.0	3265371.0
ES86_orange-24_Control-protein_14	50904103.0	5665531.0	2516118.0
ES87_orange-24_Control-protein_21	63173198.0	6882602.0	3114861.0
ES88_610_MG-protein_0	72929910.0	7485312.0	3544981.0
ES8_SEM19-1354_Control-protein_21	65926193.0	8691545.0	3585509.0
ES90_Blue-049_Control-protein_14	63462580.0	6849610.0	3019144.0
ES91_Blue-049_Control-protein_21	61297190.0	6543106.0	2787561.0
ES92_SEM19-76_MG-lipid_0	73768741.0	6622270.0	3105162.0
ES93_SEM19-76_MG-lipid_14	69475190.0	7183337.0	3302530.0
ES94_SEM19-76_MG-lipid_21	71223910.0	8067462.0	3294018.0
ES95_610_MG-protein_14	70739768.0	8674121.0	3877948.0
ES96_610_MG-protein_21	69757411.0	8980636.0	3689834.0
ES97_SEM19-107_MG-protein_0	68201003.0	8170954.0	3394827.0
ES98_SEM19-107_MG-protein_14	79036783.0	11515788.0	4266556.0
ES99_SEM19-107_MG-protein_21	65067050.0	8458233.0	3231403.0
ES9_172_Control-protein_0	66220537.0	7467858.0	3170827.0
