Sample	Aligned uniquely to a gene	Aligned to multiple genes	Filtered due to too many alignments	Unalignable reads
ES100_SEM19-140_Control-lipid_0	33076587.0	164039.0	0.0	4453931.0
ES101_SEM19-140_Control-lipid_14	30421170.0	144679.0	0.0	4676652.0
ES102_SEM19-140_Control-lipid_21	33755585.0	179550.0	0.0	5721726.0
ES103_625_Control-lipid_0	36727558.0	220984.0	0.0	5191878.0
ES104_625_Control-lipid_14	28699544.0	165582.0	0.0	5125414.0
ES105_625_Control-lipid_21	39855096.0	226883.0	0.0	4635038.0
ES10_172_Control-protein_14	30901198.0	172679.0	0.0	4436057.0
ES11_172_Control-protein_21	34449350.0	189696.0	0.0	5615595.0
ES12_209_MG-lipid_0	36007766.0	172175.0	0.0	4757390.0
ES13_209_MG-lipid_14	34760748.0	209746.0	0.0	5154200.0
ES14_209_MG-lipid_21	29209142.0	136081.0	0.0	4225181.0
ES15_601_Control-protein_14	32074682.0	163714.0	0.0	5189763.0
ES16_601_Control-protein_21	36139465.0	189495.0	0.0	5027527.0
ES17_615_Control-protein_0	33930277.0	167614.0	0.0	4744346.0
ES18_615_Control-protein_14	30778619.0	200428.0	0.0	5313305.0
ES19_615_Control-protein_21	30332976.0	167497.0	0.0	5654061.0
ES1_48_Control-lipid_0	36365699.0	209064.0	0.0	5859868.0
ES20_618_Control-lipid_0	35447050.0	168780.0	0.0	4699118.0
ES21_618_Control-lipid_14	24819599.0	130104.0	0.0	3252717.0
ES22_618_Control-lipid_21	32866781.0	164078.0	0.0	5354027.0
ES23_Blue-010_Control-lipid_0	33389688.0	185953.0	0.0	4758139.0
ES24_Blue-010_Control-lipid_21	36484897.0	188984.0	0.0	5238724.0
ES25_619_MG-lipid_0	32882804.0	152886.0	0.0	4031146.0
ES26_619_MG-lipid_14	31650259.0	164524.0	0.0	4737885.0
ES27_619_MG-lipid_21	32572807.0	170740.0	0.0	4536303.0
ES28_Blue-098_Control-lipid_0	38117430.0	207571.0	0.0	6576841.0
ES29_Blue-098_Control-lipid_14	37850681.0	204474.0	0.0	5595143.0
ES2_48_Control-lipid_14	32937651.0	171081.0	0.0	4938567.0
ES30_Blue-098_Control-lipid_21	24424251.0	123612.0	0.0	4667484.0
ES31_Blue-055_NA_0	35355136.0	169292.0	0.0	3410224.0
ES32_Blue-055_NA_14	34681725.0	178883.0	0.0	5440281.0
ES33_101-LS_MG-lipid_0	35557866.0	165708.0	0.0	4325008.0
ES34_101-LS_MG-lipid_14	33420899.0	170598.0	0.0	4110456.0
ES35_101-LS_MG-lipid_21	32706685.0	168199.0	0.0	4510325.0
ES36_AR17-21_MG-lipid_0	30906278.0	143865.0	0.0	4596204.0
ES37_AR17-21_MG-lipid_14	34468393.0	183677.0	0.0	5567546.0
ES38_AR17-21_MG-lipid_21	31146419.0	164324.0	0.0	5265691.0
ES39_LD19-239_MG-lipid_14	32298755.0	203412.0	0.0	5269041.0
ES3_48_Control-lipid_21	30567381.0	160836.0	0.0	4676800.0
ES40_LD19-239_MG-lipid_21	37960764.0	213470.0	0.0	5798782.0
ES41_Blue-013_Control-protein_0	34895399.0	199889.0	0.0	5666017.0
ES42_Blue-013_Control-protein_14	30572461.0	195257.0	0.0	4635683.0
ES43_Blue-013_Control-protein_21	33989365.0	205236.0	0.0	4819972.0
ES44_Blue-015_MG-lipid_0	35524613.0	190247.0	0.0	5037804.0
ES45_Blue-015_MG-lipid_14	41000305.0	216582.0	0.0	4261012.0
ES46_Blue-015_MG-lipid_21	32255395.0	190106.0	0.0	4986250.0
ES47_Blue-45_MG-protein_0	31070473.0	203282.0	0.0	4198811.0
ES48_Blue-45_MG-protein_14	32878748.0	205733.0	0.0	4848247.0
ES49_Blue-024_Control-protein_0	31648586.0	149180.0	0.0	5162796.0
ES4_164_Control-protein_0	32126839.0	170125.0	0.0	5286142.0
ES50_Blue-024_Control-protein_14	27746571.0	134717.0	0.0	5020116.0
