Sample	Sense	Antisense	Undetermined
ES100_SEM19-140_Control-lipid_0	0.9400000000000001	98.02	1.04
ES101_SEM19-140_Control-lipid_14	0.69	98.31	0.9900000000000001
ES102_SEM19-140_Control-lipid_21	0.91	97.99	1.0999999999999999
ES103_625_Control-lipid_0	0.8099999999999999	96.67999999999999	2.52
ES104_625_Control-lipid_14	0.7000000000000001	96.8	2.4899999999999998
ES105_625_Control-lipid_21	0.88	96.37	2.74
ES10_172_Control-protein_14	0.62	98.02	1.3599999999999999
ES11_172_Control-protein_21	0.58	97.83	1.6
ES12_209_MG-lipid_0	0.53	97.56	1.91
ES13_209_MG-lipid_14	0.5	97.56	1.9300000000000002
ES14_209_MG-lipid_21	0.38	98.42999999999999	1.1900000000000002
ES15_601_Control-protein_14	1.43	97.59	0.98
ES16_601_Control-protein_21	1.1199999999999999	97.78	1.0999999999999999
ES17_615_Control-protein_0	0.86	97.49	1.6500000000000001
ES18_615_Control-protein_14	0.9299999999999999	96.61	2.4699999999999998
ES19_615_Control-protein_21	0.86	98.07000000000001	1.0699999999999998
ES1_48_Control-lipid_0	0.9400000000000001	97.86	1.2
ES20_618_Control-lipid_0	1.23	97.26	1.51
ES21_618_Control-lipid_14	0.73	98.35000000000001	0.9299999999999999
ES22_618_Control-lipid_21	1.17	97.38	1.46
ES23_Blue-010_Control-lipid_0	0.6799999999999999	97.92	1.4000000000000001
ES24_Blue-010_Control-lipid_21	0.8	97.50999999999999	1.68
ES25_619_MG-lipid_0	0.62	98.18	1.2
ES26_619_MG-lipid_14	0.6	98.24000000000001	1.16
ES27_619_MG-lipid_21	0.79	98.00999999999999	1.2
ES28_Blue-098_Control-lipid_0	2.11	96.12	1.77
ES29_Blue-098_Control-lipid_14	1.29	96.84	1.87
ES2_48_Control-lipid_14	0.6799999999999999	98.28	1.04
ES30_Blue-098_Control-lipid_21	1.02	97.68	1.3
ES31_Blue-055_NA_0	1.04	97.57000000000001	1.39
ES32_Blue-055_NA_14	0.8099999999999999	97.67	1.52
ES33_101-LS_MG-lipid_0	1.32	97.55	1.1400000000000001
ES34_101-LS_MG-lipid_14	1.28	97.50999999999999	1.21
ES35_101-LS_MG-lipid_21	2.04	96.8	1.17
ES36_AR17-21_MG-lipid_0	0.95	97.59	1.46
ES37_AR17-21_MG-lipid_14	0.8099999999999999	97.37	1.83
ES38_AR17-21_MG-lipid_21	1.28	96.98	1.7399999999999998
ES39_LD19-239_MG-lipid_14	0.65	97.72	1.63
ES3_48_Control-lipid_21	0.62	98.42999999999999	0.95
ES40_LD19-239_MG-lipid_21	0.79	97.83	1.38
ES41_Blue-013_Control-protein_0	0.7000000000000001	98.15	1.1400000000000001
ES42_Blue-013_Control-protein_14	0.5599999999999999	98.21	1.23
ES43_Blue-013_Control-protein_21	0.5599999999999999	98.00999999999999	1.44
ES44_Blue-015_MG-lipid_0	0.8500000000000001	98.02	1.13
ES45_Blue-015_MG-lipid_14	0.83	97.82	1.35
ES46_Blue-015_MG-lipid_21	1.0	98.00999999999999	0.9900000000000001
ES47_Blue-45_MG-protein_0	1.1400000000000001	97.39999999999999	1.46
ES48_Blue-45_MG-protein_14	0.95	97.65	1.4000000000000001
ES49_Blue-024_Control-protein_0	0.73	98.33	0.9400000000000001
ES4_164_Control-protein_0	0.51	97.78	1.71
ES50_Blue-024_Control-protein_14	0.7000000000000001	98.58	0.72
ES51_Blue-024_Control-protein_21	0.65	98.63	0.7100000000000001
ES52_SEM19-1481_MG-lipid_14	0.86	96.53	2.6100000000000003
ES53_SEM19-74_MG-protein_0	0.72	97.6	1.68
ES54_SEM19-74_MG-protein_14	1.31	96.86	1.83
ES55_SEM19-74_MG-protein_21	0.8500000000000001	97.55	1.6
ES56_Blue-050_Control-lipid_21	3.4799999999999995	95.02000000000001	1.5
ES57_Blue-031_MG-lipid_0	1.01	97.09	1.91
ES58_Blue-032_MG-protein_0	1.18	96.75	2.06
ES59_Blue-032_MG-protein_14	1.18	97.17	1.6500000000000001
ES5_164_Control-protein_14	0.53	97.74000000000001	1.73
ES60_Blue-032_MG-protein_21	0.89	97.46000000000001	1.6400000000000001
ES61_Blue-035_MG-protein_0	0.62	98.25	1.1400000000000001
ES62_Blue-035_MG-protein_14	0.5499999999999999	98.14	1.31
ES63_Blue-035_MG-protein_21	0.72	98.11999999999999	1.16
ES64_SEM19-1481_MG-lipid_21	0.73	96.99	2.2800000000000002
ES65_106_NA_0	0.72	97.97	1.32
ES66_617_Control-protein_14	0.76	97.85000000000001	1.39
ES67_Blue-037_MG-protein_0	0.6799999999999999	98.29	1.03
ES68_Blue-037_MG-protein_14	0.5499999999999999	98.61	0.84
ES69_Blue-037_MG-protein_21	0.8	97.86	1.34
ES6_164_Control-protein_21	0.54	97.66	1.7999999999999998
ES70_Blue-039_Control-lipid_0	0.97	96.97	2.06
ES71_Blue-039_Control-lipid_14	0.77	97.96000000000001	1.28
ES72_Blue-039_Control-lipid_21	0.7799999999999999	97.92	1.3
