Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
ES100_SEM19-140_Control-lipid_0	63334149.0	5685761.0	15556943.0	5451120.0	166193.0	106845.0	53483.0	679581.0	1023804.0	84022.0	1609329.0
ES101_SEM19-140_Control-lipid_14	57686246.0	5634751.0	15004429.0	5721638.0	147609.0	103923.0	53331.0	649568.0	937641.0	80885.0	1607052.0
ES102_SEM19-140_Control-lipid_21	64768621.0	5765421.0	16204920.0	6157471.0	184024.0	120235.0	61298.0	720241.0	1059348.0	90590.0	1763348.0
ES103_625_Control-lipid_0	71229317.0	5701354.0	17660497.0	6580930.0	187535.0	110621.0	51174.0	748680.0	1071906.0	83041.0	1882728.0
ES104_625_Control-lipid_14	55272678.0	4555854.0	13480591.0	5350999.0	149666.0	85748.0	39399.0	560090.0	774228.0	61984.0	1407243.0
ES105_625_Control-lipid_21	76221226.0	6653899.0	17964721.0	7169357.0	205297.0	110548.0	54524.0	825410.0	1169785.0	92993.0	1730521.0
ES10_172_Control-protein_14	59513172.0	5011725.0	14614696.0	5419781.0	137460.0	98276.0	51616.0	663761.0	896653.0	72431.0	1534261.0
ES11_172_Control-protein_21	65648998.0	5660312.0	16299316.0	5764464.0	146051.0	102824.0	54602.0	736726.0	983534.0	79015.0	1673842.0
ES12_209_MG-lipid_0	69726207.0	6545217.0	15749547.0	4859765.0	132461.0	78814.0	35813.0	639767.0	830369.0	52733.0	1416529.0
ES13_209_MG-lipid_14	66897788.0	5668632.0	16535578.0	5079508.0	143459.0	81572.0	35560.0	787499.0	1092929.0	56193.0	1451997.0
ES14_209_MG-lipid_21	56452734.0	5266803.0	13221767.0	4384490.0	115142.0	72645.0	32855.0	544610.0	754526.0	51584.0	1196862.0
ES15_601_Control-protein_14	62410099.0	5397216.0	14322094.0	5217379.0	177271.0	131184.0	65704.0	630328.0	836330.0	76542.0	1616897.0
ES16_601_Control-protein_21	70041763.0	5578030.0	16514044.0	5543224.0	181966.0	127544.0	66298.0	666654.0	810663.0	84463.0	1724613.0
ES17_615_Control-protein_0	66166236.0	5692898.0	15000527.0	5150325.0	143571.0	108375.0	52550.0	651692.0	866497.0	73482.0	1537674.0
ES18_615_Control-protein_14	59635924.0	4707560.0	15504831.0	6312374.0	170070.0	136211.0	68496.0	669223.0	884291.0	86220.0	1673977.0
ES19_615_Control-protein_21	58075656.0	4843803.0	14610430.0	5614759.0	161211.0	122738.0	66796.0	644039.0	839424.0	80342.0	1617747.0
ES1_48_Control-lipid_0	70150265.0	6042503.0	17300952.0	6157250.0	199515.0	123412.0	55422.0	747347.0	990756.0	82972.0	1862837.0
ES20_618_Control-lipid_0	68421727.0	6412298.0	15348305.0	5246026.0	188989.0	124959.0	58184.0	685171.0	958620.0	78175.0	1657572.0
ES21_618_Control-lipid_14	48143641.0	4146056.0	10968944.0	3835917.0	121068.0	87449.0	42098.0	493792.0	665430.0	58894.0	1233190.0
ES22_618_Control-lipid_21	63330276.0	5966174.0	15296526.0	5442952.0	190827.0	132802.0	61893.0	663035.0	907626.0	76633.0	1724961.0
ES23_Blue-010_Control-lipid_0	63347158.0	5544222.0	15892373.0	5644821.0	182358.0	125504.0	55692.0	744741.0	934317.0	74548.0	1609970.0
ES24_Blue-010_Control-lipid_21	69781754.0	5847208.0	16772228.0	5876751.0	192662.0	137804.0	70300.0	755608.0	988674.0	83895.0	1696890.0
ES25_619_MG-lipid_0	64608013.0	5534854.0	14138259.0	4905424.0	130851.0	86106.0	39833.0	576310.0	744163.0	59645.0	1455790.0
ES26_619_MG-lipid_14	61423476.0	5495398.0	14860308.0	5322564.0	140044.0	87398.0	40340.0	618168.0	843934.0	62316.0	1510294.0
ES27_619_MG-lipid_21	62569653.0	5144474.0	15489390.0	5889911.0	152485.0	105162.0	47237.0	664465.0	887386.0	69712.0	1578421.0
ES28_Blue-098_Control-lipid_0	73194715.0	6381655.0	18534565.0	7298341.0	248067.0	165600.0	86842.0	818153.0	1053284.0	109058.0	2108615.0
ES29_Blue-098_Control-lipid_14	71780823.0	5968051.0	18251775.0	6933733.0	200934.0	139545.0	78350.0	846605.0	1060835.0	100189.0	1937966.0
ES2_48_Control-lipid_14	64245922.0	6027214.0	14874674.0	4878479.0	161867.0	92086.0	42365.0	627520.0	894174.0	63767.0	1553642.0
ES30_Blue-098_Control-lipid_21	46987951.0	4235827.0	11968575.0	4738673.0	134529.0	90266.0	51847.0	506153.0	648479.0	66726.0	1320889.0
ES31_Blue-055_NA_0	68964950.0	6164035.0	15407307.0	5663999.0	187496.0	136902.0	67709.0	695480.0	997391.0	86163.0	1571004.0
ES32_Blue-055_NA_14	67389960.0	6279977.0	15669703.0	5017909.0	169273.0	105806.0	51589.0	740192.0	1047418.0	68513.0	1555157.0
ES33_101-LS_MG-lipid_0	70506785.0	5901305.0	15512892.0	5696334.0	205019.0	151060.0	63203.0	629220.0	851196.0	88247.0	1784717.0
ES34_101-LS_MG-lipid_14	64346328.0	5923196.0	15188982.0	5503715.0	207167.0	141939.0	59568.0	650575.0	885025.0	81341.0	1590331.0
ES35_101-LS_MG-lipid_21	63233382.0	5712242.0	15118863.0	5837546.0	198235.0	144337.0	62759.0	656023.0	911848.0	104658.0	1768742.0
ES36_AR17-21_MG-lipid_0	59253396.0	5815826.0	14069435.0	4366843.0	160411.0	108620.0	54896.0	578055.0	808838.0	72121.0	1398157.0
ES37_AR17-21_MG-lipid_14	65862252.0	5749293.0	16121047.0	5291829.0	170541.0	121303.0	67534.0	687391.0	873452.0	86605.0	1628895.0
ES38_AR17-21_MG-lipid_21	59629587.0	5320911.0	14879045.0	5122215.0	170042.0	128821.0	67130.0	646351.0	872470.0	83556.0	1576308.0
ES39_LD19-239_MG-lipid_14	61317057.0	4666073.0	16686707.0	5983647.0	153044.0	107705.0	51324.0	761860.0	937864.0	75587.0	1591454.0
ES3_48_Control-lipid_21	58444383.0	5585092.0	14580444.0	4773954.0	154191.0	90530.0	40033.0	589441.0	766276.0	62933.0	1436850.0
ES40_LD19-239_MG-lipid_21	73297498.0	6040282.0	17897865.0	6674992.0	189812.0	121386.0	57850.0	825748.0	1070755.0	91222.0	1835511.0
ES41_Blue-013_Control-protein_0	68642466.0	5623690.0	16040985.0	6299815.0	170683.0	131783.0	61763.0	649944.0	856689.0	82074.0	1818896.0
ES42_Blue-013_Control-protein_14	58747993.0	4920381.0	15086512.0	7046641.0	173512.0	138441.0	65382.0	640608.0	876592.0	72938.0	1542734.0
ES43_Blue-013_Control-protein_21	65352360.0	5024589.0	16321251.0	6528259.0	157347.0	119226.0	56029.0	613024.0	747567.0	68617.0	1562837.0
ES44_Blue-015_MG-lipid_0	68146418.0	5891557.0	17139078.0	6557735.0	213463.0	142951.0	69373.0	787964.0	1091122.0	96345.0	1761132.0
