Sample	Mapped	Unmapped
ES100_SEM19-140_Control-lipid_0	81309178.0	8962538.0
ES101_SEM19-140_Control-lipid_14	76227492.0	9383652.0
ES102_SEM19-140_Control-lipid_21	84017052.0	11530992.0
ES103_625_Control-lipid_0	91191779.0	10413457.0
ES104_625_Control-lipid_14	70723914.0	10344092.0
ES105_625_Control-lipid_21	97147879.0	9299979.0
ES10_172_Control-protein_14	76098105.0	8943931.0
ES11_172_Control-protein_21	84155742.0	11352550.0
ES12_209_MG-lipid_0	86436232.0	9588674.0
ES13_209_MG-lipid_14	84505242.0	10398026.0
ES14_209_MG-lipid_21	71088827.0	8517181.0
ES15_601_Control-protein_14	78260685.0	10477455.0
ES16_601_Control-protein_21	87067611.0	10126701.0
ES17_615_Control-protein_0	82630872.0	9553646.0
ES18_615_Control-protein_14	77952926.0	10738718.0
ES19_615_Control-protein_21	74987937.0	11415679.0
ES1_48_Control-lipid_0	89366404.0	11794162.0
ES20_618_Control-lipid_0	85592381.0	9464217.0
ES21_618_Control-lipid_14	59937159.0	6536979.0
ES22_618_Control-lipid_21	81072848.0	10789378.0
ES23_Blue-010_Control-lipid_0	81636026.0	9589638.0
ES24_Blue-010_Control-lipid_21	88353977.0	10550459.0
ES25_619_MG-lipid_0	79470735.0	8130605.0
ES26_619_MG-lipid_14	78191958.0	9563352.0
ES27_619_MG-lipid_21	80198616.0	9135434.0
ES28_Blue-098_Control-lipid_0	94999465.0	13232513.0
ES29_Blue-098_Control-lipid_14	92613475.0	11224233.0
ES2_48_Control-lipid_14	80464132.0	9965288.0
ES30_Blue-098_Control-lipid_21	61147455.0	9425075.0
ES31_Blue-055_NA_0	86162575.0	6837359.0
ES32_Blue-055_NA_14	84521471.0	10946245.0
ES33_101-LS_MG-lipid_0	87089697.0	8705803.0
ES34_101-LS_MG-lipid_14	81505920.0	8251324.0
ES35_101-LS_MG-lipid_21	81079323.0	9088581.0
ES36_AR17-21_MG-lipid_0	74982031.0	9273881.0
ES37_AR17-21_MG-lipid_14	83335263.0	11224861.0
ES38_AR17-21_MG-lipid_21	76525750.0	10595962.0
ES39_LD19-239_MG-lipid_14	79928506.0	10623642.0
ES3_48_Control-lipid_21	74775640.0	9422920.0
ES40_LD19-239_MG-lipid_21	93551783.0	11690867.0
ES41_Blue-013_Control-protein_0	86769429.0	11429057.0
ES42_Blue-013_Control-protein_14	77602150.0	9339098.0
ES43_Blue-013_Control-protein_21	83471324.0	9727680.0
ES44_Blue-015_MG-lipid_0	88330994.0	10139346.0
ES45_Blue-015_MG-lipid_14	99008604.0	8542582.0
ES46_Blue-015_MG-lipid_21	81789709.0	10020277.0
ES47_Blue-45_MG-protein_0	77476463.0	8439605.0
ES48_Blue-45_MG-protein_14	80806862.0	9750156.0
ES49_Blue-024_Control-protein_0	77867682.0	10407956.0
ES4_164_Control-protein_0	78716281.0	10662565.0
ES50_Blue-024_Control-protein_14	68651982.0	10111656.0
