Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
ES100_SEM19-140_Control-lipid_0_1	3.4	45410205	13155863	45410205	2270510250	2097601	2249939398	0.9060012831917408
ES100_SEM19-140_Control-lipid_0_2	3.4	45410205	15100101	45410205	2270510250	16342240	2232574367	1.6708087091877255
ES101_SEM19-140_Control-lipid_14_1	3.4	42988673	12766453	42988673	2149433650	2003165	2129767386	0.9149509685958438
ES101_SEM19-140_Control-lipid_14_2	3.4	42988673	14623774	42988673	2149433650	11457203	2117030203	1.507534182318212
ES102_SEM19-140_Control-lipid_21_1	3.4	48174120	14080346	48174120	2408706000	2157921	2386401188	0.9260080723840933
ES102_SEM19-140_Control-lipid_21_2	3.4	48174120	15981561	48174120	2408706000	24752041	2361109657	1.976012971280015
ES103_625_Control-lipid_0_1	3.4	50992615	14961998	50992615	2549630750	2354717	2525788254	0.9351352543892876
ES103_625_Control-lipid_0_2	3.4	50992615	16796014	50992615	2549630750	11790754	2513603034	1.4130562239257587
ES104_625_Control-lipid_14_1	3.4	41077281	12153641	41077281	2053864050	1669207	2030564157	1.1344418341613214
ES104_625_Control-lipid_14_2	3.4	41077281	13473884	41077281	2053864050	29800781	2004873959	2.3852645456255974
ES105_625_Control-lipid_21_1	3.4	53394179	15593005	53394179	2669708950	1681605	2646296262	0.8769752972510356
ES105_625_Control-lipid_21_2	3.4	53394179	17602811	53394179	2669708950	11235463	2632948728	1.376937437318776
ES10_172_Control-protein_14_1	3.4	42919861	12671620	42919861	2145993050	2040507	2124177269	1.0165820900491733
ES10_172_Control-protein_14_2	3.4	42919861	14258237	42919861	2145993050	22276340	2103451656	1.9823640155777766
ES11_172_Control-protein_21_1	3.4	48298663	14269948	48298663	2414933150	2333514	2392794256	0.9167497659303737
ES11_172_Control-protein_21_2	3.4	48298663	16041214	48298663	2414933150	33137650	2359106519	2.3117257303789134
ES12_209_MG-lipid_0_1	3.4	48405960	14062008	48405960	2420298000	1833821	2398990454	0.8803686983999491
ES12_209_MG-lipid_0_2	3.4	48405960	16349218	48405960	2420298000	22630606	2374447183	1.8944285786295738
ES13_209_MG-lipid_14_1	3.4	47878628	13974230	47878628	2393931400	1925927	2372371339	0.900613150401887
ES13_209_MG-lipid_14_2	3.4	47878628	15841645	47878628	2393931400	25379937	2345997003	2.0023295989183314
ES14_209_MG-lipid_21_1	3.4	40169252	11663659	40169252	2008462600	1646409	1990594023	0.8896644129694025
ES14_209_MG-lipid_21_2	3.4	40169252	13523682	40169252	2008462600	20936100	1968319989	1.998673562554762
ES15_601_Control-protein_14_1	3.4	44752398	12924674	44752398	2237619900	1920699	2217826746	0.8845628339290333
ES15_601_Control-protein_14_2	3.4	44752398	14642864	44752398	2237619900	24597180	2192131994	2.0328701045249016
ES16_601_Control-protein_21_1	3.4	48927075	14236462	48927075	2446353750	1852363	2424602511	0.8891289332133588
ES16_601_Control-protein_21_2	3.4	48927075	16008422	48927075	2446353750	20270865	2403239092	1.7624048852297014
ES17_615_Control-protein_0_1	3.4	46470216	13423832	46470216	2323510800	1813906	2303085080	0.8790886618646231
ES17_615_Control-protein_0_2	3.4	46470216	15560936	46470216	2323510800	21798834	2279657389	1.887377110534627
ES18_615_Control-protein_14_1	3.4	44847689	13220479	44847689	2242384450	1826603	2221637359	0.925224530521517
ES18_615_Control-protein_14_2	3.4	44847689	14679435	44847689	2242384450	30337189	2191193688	2.282871788555259
ES19_615_Control-protein_21_1	3.4	43779323	12780356	43779323	2188966150	2051580	2165211056	1.0852197965692616
ES19_615_Control-protein_21_2	3.4	43779323	14385072	43779323	2188966150	32004246	2136506274	2.3965594899674443
ES1_48_Control-lipid_0_1	3.4	51030869	14946523	51030869	2551543450	2100454	2525129455	1.0352163511070134
ES1_48_Control-lipid_0_2	3.4	51030869	16630989	51030869	2551543450	24734640	2503078809	1.8994244836395007
ES20_618_Control-lipid_0_1	3.4	47849211	13752772	47849211	2392460550	1747237	2371589946	0.8723489296406581
ES20_618_Control-lipid_0_2	3.4	47849211	15870908	47849211	2392460550	19140636	2350661034	1.747135015455114
ES21_618_Control-lipid_14_1	3.4	33752786	9859139	33752786	1687639300	1629842	1655471726	1.9060692649193463
ES21_618_Control-lipid_14_2	3.4	33752786	11095299	33752786	1687639300	17475113	1653937035	1.9970064100782674
ES22_618_Control-lipid_21_1	3.4	46382754	13455234	46382754	2319137700	2273516	2296956228	0.9564534266335285
ES22_618_Control-lipid_21_2	3.4	46382754	15512290	46382754	2319137700	25428674	2271627450	2.0486170355473075
ES23_Blue-010_Control-lipid_0_1	3.4	45957789	13536128	45957789	2297889450	1734414	2277323667	0.8949857444186446
ES23_Blue-010_Control-lipid_0_2	3.4	45957789	15265022	45957789	2297889450	20919209	2255195476	1.8579646640529204
ES24_Blue-010_Control-lipid_21_1	3.4	49818486	14397046	49818486	2490924300	1944361	2468923987	0.8832188517330695
ES24_Blue-010_Control-lipid_21_2	3.4	49818486	16240719	49818486	2490924300	22004218	2445668524	1.8168266293760913
ES25_619_MG-lipid_0_1	3.4	44150438	12870207	44150438	2207521900	1690203	2187965719	0.8858884253877618
ES25_619_MG-lipid_0_2	3.4	44150438	14716059	44150438	2207521900	20573801	2166069139	1.8777961387381932
ES26_619_MG-lipid_14_1	3.4	44410086	13100587	44410086	2220504300	1949934	2196111867	1.0985087036309726
ES26_619_MG-lipid_14_2	3.4	44410086	14914635	44410086	2220504300	28151618	2171151374	2.222599884179463
ES27_619_MG-lipid_21_1	3.4	44969958	13364491	44969958	2248497900	1737143	2228135590	0.905596131532967
ES27_619_MG-lipid_21_2	3.4	44969958	14932869	44969958	2248497900	18296714	2208850209	1.7632967769282772
ES28_Blue-098_Control-lipid_0_1	3.4	54464395	15773760	54464395	2723219750	2097024	2699058378	0.887235486596335
ES28_Blue-098_Control-lipid_0_2	3.4	54464395	17656576	54464395	2723219750	22127815	2675754644	1.7429774442550956
ES29_Blue-098_Control-lipid_14_1	3.4	52140641	15299230	52140641	2607032050	1745655	2582467097	0.9422574225736887
ES29_Blue-098_Control-lipid_14_2	3.4	52140641	17049977	52140641	2607032050	13799055	2568664295	1.471702467179105
ES2_48_Control-lipid_14_1	3.4	45624327	13031486	45624327	2281216350	2281404	2259800996	0.938769091322706
ES2_48_Control-lipid_14_2	3.4	45624327	15023700	45624327	2281216350	24006445	2235784980	1.9915414861900318
ES30_Blue-098_Control-lipid_21_1	3.4	35667230	10372965	35667230	1783361500	1525729	1767389851	0.8955923406443393
ES30_Blue-098_Control-lipid_21_2	3.4	35667230	11736795	35667230	1783361500	23534874	1743109214	2.2571018831571728
ES31_Blue-055_NA_0_1	3.4	46585222	13276926	46585222	2329261100	1342211	2309505574	0.8481456200852708
ES31_Blue-055_NA_0_2	3.4	46585222	15433891	46585222	2329261100	6019110	2301014972	1.2126647373280737
ES32_Blue-055_NA_14_1	3.4	48039457	13688235	48039457	2401972850	1744538	2381062766	0.8705378997102319
ES32_Blue-055_NA_14_2	3.4	48039457	15742907	48039457	2401972850	18868669	2360532932	1.7252450626159241
ES33_101-LS_MG-lipid_0_1	3.4	48139143	13730811	48139143	2406957150	1826229	2385537259	0.8899157594060202
ES33_101-LS_MG-lipid_0_2	3.4	48139143	15662010	48139143	2406957150	15201545	2369348992	1.562477254736338
ES34_101-LS_MG-lipid_14_1	3.4	45028801	13086894	45028801	2251440050	1456870	2231838301	0.8706316208597249
ES34_101-LS_MG-lipid_14_2	3.4	45028801	14890955	45028801	2251440050	10184624	2219813384	1.4047305412373738
ES35_101-LS_MG-lipid_21_1	3.4	45405269	13232857	45405269	2270263450	2087188	2249855354	0.8989307386329988
ES35_101-LS_MG-lipid_21_2	3.4	45405269	15161735	45405269	2270263450	19338866	2229241611	1.8069197651928899
ES36_AR17-21_MG-lipid_0_1	3.4	42487772	12164891	42487772	2124388600	1628664	2105347505	0.8963094134472385
ES36_AR17-21_MG-lipid_0_2	3.4	42487772	14135902	42487772	2124388600	21876087	2082285259	1.9819039228510262
ES37_AR17-21_MG-lipid_14_1	3.4	47722441	13930823	47722441	2386122050	1897623	2364688291	0.8982675047992621
ES37_AR17-21_MG-lipid_14_2	3.4	47722441	15831517	47722441	2386122050	26051315	2337499555	2.037720367237711
