Sample	pe_sense	pe_antisense	failed
ES100_SEM19-140_Control-lipid_0	0.0094	0.9802	0.0104
ES101_SEM19-140_Control-lipid_14	0.0069	0.9831	0.0099
ES102_SEM19-140_Control-lipid_21	0.0091	0.9799	0.011
ES103_625_Control-lipid_0	0.0081	0.9668	0.0252
ES104_625_Control-lipid_14	0.007	0.968	0.0249
ES105_625_Control-lipid_21	0.0088	0.9637	0.0274
ES10_172_Control-protein_14	0.0062	0.9802	0.0136
ES11_172_Control-protein_21	0.0058	0.9783	0.016
ES12_209_MG-lipid_0	0.0053	0.9756	0.0191
ES13_209_MG-lipid_14	0.005	0.9756	0.0193
ES14_209_MG-lipid_21	0.0038	0.9843	0.0119
ES15_601_Control-protein_14	0.0143	0.9759	0.0098
ES16_601_Control-protein_21	0.0112	0.9778	0.011
ES17_615_Control-protein_0	0.0086	0.9749	0.0165
ES18_615_Control-protein_14	0.0093	0.9661	0.0247
ES19_615_Control-protein_21	0.0086	0.9807	0.0107
ES1_48_Control-lipid_0	0.0094	0.9786	0.012
ES20_618_Control-lipid_0	0.0123	0.9726	0.0151
ES21_618_Control-lipid_14	0.0073	0.9835	0.0093
ES22_618_Control-lipid_21	0.0117	0.9738	0.0146
ES23_Blue-010_Control-lipid_0	0.0068	0.9792	0.014
ES24_Blue-010_Control-lipid_21	0.008	0.9751	0.0168
ES25_619_MG-lipid_0	0.0062	0.9818	0.012
ES26_619_MG-lipid_14	0.006	0.9824	0.0116
ES27_619_MG-lipid_21	0.0079	0.9801	0.012
ES28_Blue-098_Control-lipid_0	0.0211	0.9612	0.0177
ES29_Blue-098_Control-lipid_14	0.0129	0.9684	0.0187
ES2_48_Control-lipid_14	0.0068	0.9828	0.0104
ES30_Blue-098_Control-lipid_21	0.0102	0.9768	0.013
ES31_Blue-055_NA_0	0.0104	0.9757	0.0139
ES32_Blue-055_NA_14	0.0081	0.9767	0.0152
ES33_101-LS_MG-lipid_0	0.0132	0.9755	0.0114
ES34_101-LS_MG-lipid_14	0.0128	0.9751	0.0121
ES35_101-LS_MG-lipid_21	0.0204	0.968	0.0117
ES36_AR17-21_MG-lipid_0	0.0095	0.9759	0.0146
ES37_AR17-21_MG-lipid_14	0.0081	0.9737	0.0183
ES38_AR17-21_MG-lipid_21	0.0128	0.9698	0.0174
ES39_LD19-239_MG-lipid_14	0.0065	0.9772	0.0163
ES3_48_Control-lipid_21	0.0062	0.9843	0.0095
ES40_LD19-239_MG-lipid_21	0.0079	0.9783	0.0138
ES41_Blue-013_Control-protein_0	0.007	0.9815	0.0114
ES42_Blue-013_Control-protein_14	0.0056	0.9821	0.0123
ES43_Blue-013_Control-protein_21	0.0056	0.9801	0.0144
ES44_Blue-015_MG-lipid_0	0.0085	0.9802	0.0113
ES45_Blue-015_MG-lipid_14	0.0083	0.9782	0.0135
ES46_Blue-015_MG-lipid_21	0.01	0.9801	0.0099
ES47_Blue-45_MG-protein_0	0.0114	0.974	0.0146
ES48_Blue-45_MG-protein_14	0.0095	0.9765	0.014
ES49_Blue-024_Control-protein_0	0.0073	0.9833	0.0094
ES4_164_Control-protein_0	0.0051	0.9778	0.0171
ES50_Blue-024_Control-protein_14	0.007	0.9858	0.0072
ES51_Blue-024_Control-protein_21	0.0065	0.9863	0.0071
ES52_SEM19-1481_MG-lipid_14	0.0086	0.9653	0.0261
ES53_SEM19-74_MG-protein_0	0.0072	0.976	0.0168
