Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
ES100_SEM19-140_Control-lipid_0	81309178	93751230	92141901	33276731	63334149	1903.26	4740658	5685761	1199.36	20563428	15556943	756.53	506681601	5451120	10.76	12297643	166193	13.51	5.68	4.07	12593343	679581	53.96	37.18	23.82	1609329	67.55553927132476	6.06473216404734	16.59385482195807	5.814451714393507	0.1772702075482103	0.29123671230766784	0.34828449717406373	0.7248768896152082	1.8169201620074744	1.9065424528296855	1.7165950782725732	32123943	35773054	53483	106845	29212114	33220403	84022	1023804
ES101_SEM19-140_Control-lipid_14	76227492	87627073	86020021	33276731	57686246	1733.53	4740658	5634751	1188.6	20563428	15004429	729.67	506681601	5721638	11.29	12297643	147609	12.0	5.23	3.8	12593343	649568	51.58	34.64	22.23	1607052	65.83153359464603	6.430376831142129	17.123051685179533	6.529532259967191	0.16845136434033348	0.28704827331160543	0.34790960095175155	0.7412868851616212	1.8113226262846873	1.903628573785638	1.833967454327728	32123943	35773054	53331	103923	29212114	33220403	80885	937641
ES102_SEM19-140_Control-lipid_21	84017052	96895517	95132169	33276731	64768621	1946.36	4740658	5765421	1216.16	20563428	16204920	788.05	506681601	6157471	12.15	12297643	184024	14.96	6.33	4.56	12593343	720241	57.19	38.84	24.93	1763348	66.84377461962457	5.9501421515713675	16.724117380992972	6.354753233836401	0.18992003520658238	0.3140073033512995	0.37726926004223704	0.7433171547038652	1.8366061249252637	1.9300985823730112	1.8198447715594521	32123943	35773054	61298	120235	29212114	33220403	90590	1059348
ES103_625_Control-lipid_0	91191779	105307783	103425055	33276731	71229317	2140.51	4740658	5701354	1202.65	20563428	17660497	858.83	506681601	6580930	12.99	12297643	187535	15.25	6.2	4.36	12593343	748680	59.45	39.74	25.37	1882728	67.63917629905855	5.413991100733742	16.77036254765709	6.249234209023278	0.17808275386445083	0.28312817106784977	0.33172286990411715	0.7109446032113315	1.7288237850378068	1.8076793051468951	1.7878336684763365	32123943	35773054	51174	110621	29212114	33220403	83041	1071906
ES104_625_Control-lipid_14	70723914	81738480	80331237	33276731	55272678	1661.0	4740658	4555854	961.02	20563428	13480591	655.56	506681601	5350999	10.56	12297643	149666	12.17	4.9	3.43	12593343	560090	44.48	29.12	18.61	1407243	67.6213675615206	5.573695522598414	16.49234363056421	6.5464870401309145	0.18310347831278487	0.2880087811762587	0.3362100689907617	0.6852219419788574	1.632423309070587	1.708255401862134	1.7216407743329702	32123943	35773054	39399	85748	29212114	33220403	61984	774228
ES105_625_Control-lipid_21	97147879	112198281	110467760	33276731	76221226	2290.53	4740658	6653899	1403.58	20563428	17964721	873.62	506681601	7169357	14.15	12297643	205297	16.69	6.57	4.62	12593343	825410	65.54	43.55	27.83	1730521	67.93439731933148	5.930482125657522	16.011583100814175	6.389899146494053	0.18297695666121658	0.28150609544543737	0.33010220539831625	0.7356708076481137	1.7782759078100314	1.8611586393199733	1.542377462984482	32123943	35773054	54524	110548	29212114	33220403	92993	1169785
ES10_172_Control-protein_14	76098105	88013832	86479571	33276731	59513172	1788.43	4740658	5011725	1057.18	20563428	14614696	710.71	506681601	5419781	10.7	12297643	137460	11.18	4.9	3.58	12593343	663761	52.71	34.06	21.76	1534261	67.61797622900909	5.69424701335581	16.604999086961694	6.157874139601148	0.156179996798685	0.2678397186478598	0.32648504612320484	0.7541553241313251	1.7729190566319168	1.8552140758966158	1.743204409052432	32123943	35773054	51616	98276	29212114	33220403	72431	896653
ES11_172_Control-protein_21	84155742	97149684	95475842	33276731	65648998	1972.82	4740658	5660312	1193.99	20563428	16299316	792.64	506681601	5764464	11.38	12297643	146051	11.88	5.18	3.78	12593343	736726	58.5	37.55	23.98	1673842	67.57510194268876	5.82638230712104	16.77752858156492	5.933590067055699	0.15033605255988275	0.2561768497363306	0.3123808410946555	0.7583411182274149	1.770731441596866	1.8520646963710146	1.722951564103904	32123943	35773054	54602	102824	29212114	33220403	79015	983534
ES12_209_MG-lipid_0	86436232	100067222	98650693	33276731	69726207	2095.34	4740658	6545217	1380.66	20563428	15749547	765.9	506681601	4859765	9.59	12297643	132461	10.77	4.4	3.08	12593343	639767	50.8	32.09	20.3	1416529	69.67936713582395	6.540820129892285	15.738966951635772	4.856500363325765	0.13237201688281103	0.2111330721262553	0.24692201408369266	0.6393372247307915	1.469148409056464	1.5218459846921704	1.4155774205463605	32123943	35773054	35813	78814	29212114	33220403	52733	830369
ES13_209_MG-lipid_14	84505242	97830715	96378718	33276731	66897788	2010.35	4740658	5668632	1195.75	20563428	16535578	804.13	506681601	5079508	10.03	12297643	143459	11.67	4.68	3.25	12593343	787499	62.53	41.05	25.81	1451997	68.38117047391506	5.794327476805214	16.90223566289994	5.192140321166006	0.1466400404003998	0.23002080686009502	0.2663693094750457	0.8049608959721904	1.9221243553213325	1.979563371278642	1.484193384460085	32123943	35773054	35560	81572	29212114	33220403	56193	1092929
