Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
ES100_SEM19-140_Control-lipid_0	90271716.0	0.0	90271716.0	1.0	45135858.0	45135858.0	81309178.0	81254502.0	8962538.0	81254502.0	90271716.0	0.0	539878.0	0.0	10533856.0	0.0	4466034910.0	2236818852.0	2229216058.0	4027240837.0	4004956882.0	0.0	0.0	7438681.0	0.001857369	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1111.1	1703.1	40623054.0	4197.0	0.0	0.0	90.0	90.07159894911048	90.0110306975886	9.928401050889518	90.0110306975886	100.0	0.0	0.5980588648608386	0.0
ES101_SEM19-140_Control-lipid_14	85611144.0	0.0	85611144.0	1.0	42805572.0	42805572.0	76227492.0	76197144.0	9383652.0	76197144.0	85611144.0	0.0	659190.0	0.0	10611514.0	0.0	4235841608.0	2121036931.0	2114804677.0	3774984707.0	3752856652.0	0.0	0.0	6746700.0	0.001797751	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1233.2	1798.5	38093724.0	4848.0	0.0	0.0	89.0	89.03921667020359	89.00376801412676	10.96078332979641	89.00376801412676	100.0	0.0	0.7699815341797092	0.0
ES102_SEM19-140_Control-lipid_21	95548044.0	0.0	95548044.0	1.0	47774022.0	47774022.0	84017052.0	83929512.0	11530992.0	83929512.0	95548044.0	0.0	573770.0	0.0	10257496.0	0.0	4723667116.0	2367498799.0	2356168317.0	4161045968.0	4137553626.0	0.0	0.0	7763505.0	0.001876352	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1121.4	1729.7	41959383.0	5373.0	0.0	0.0	87.8	87.931734112736	87.84011528273672	12.068265887264003	87.84011528273672	100.0	0.0	0.6005041819589735	0.0
ES103_625_Control-lipid_0	101605236.0	0.0	101605236.0	1.0	50802618.0	50802618.0	91191779.0	91162078.0	10413457.0	91162078.0	101605236.0	0.0	709054.0	0.0	12285251.0	0.0	5028640693.0	2517511063.0	2511129630.0	4516796653.0	4488834062.0	0.0	0.0	10713505.0	0.002386701	49.0	50.0	49.0	50.0	50.0	50.0	36.4	1104.6	1733.4	45574339.0	6700.0	0.0	0.0	89.7	89.75106263224465	89.7218308709996	10.248937367755339	89.7218308709996	100.0	0.0	0.6978518311792514	0.0
ES104_625_Control-lipid_14	81068006.0	0.0	81068006.0	1.0	40534003.0	40534003.0	70723914.0	70630650.0	10344092.0	70630650.0	81068006.0	0.0	451030.0	0.0	8413284.0	0.0	4006101067.0	2008828368.0	1997272699.0	3502860052.0	3483564333.0	0.0	0.0	8106401.0	0.002327042	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1112.6	1745.7	35310492.0	4833.0	0.0	0.0	87.1	87.24022890115245	87.12518474920921	12.759771098847553	87.12518474920921	100.0	0.0	0.5563600515843451	0.0
ES105_625_Control-lipid_21	106447858.0	0.0	106447858.0	1.0	53223929.0	53223929.0	97147879.0	97117976.0	9299979.0	97117976.0	106447858.0	0.0	205727.0	0.0	7921390.0	0.0	5269028535.0	2638183457.0	2630845078.0	4811839942.0	4788632904.0	0.0	0.0	10938473.0	0.002284258	49.0	50.0	49.0	50.0	50.0	50.0	36.5	1089.9	1689.6	48551322.0	7666.0	0.0	0.0	91.2	91.26334792006806	91.23525623221089	8.736652079931941	91.23525623221089	100.0	0.0	0.19326551408859724	0.0
ES10_172_Control-protein_14	85042036.0	0.0	85042036.0	1.0	42521018.0	42521018.0	76098105.0	76026288.0	8943931.0	76026288.0	85042036.0	0.0	508067.0	0.0	9134163.0	0.0	4205165868.0	2106987852.0	2098178016.0	3769282886.0	3749660892.0	0.0	0.0	7029622.0	0.001874735	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1067.9	1699.3	38009186.0	3958.0	0.0	0.0	89.4	89.48292935978156	89.39848053496743	10.517070640218444	89.39848053496743	100.0	0.0	0.597430428406018	0.0
ES11_172_Control-protein_21	95508292.0	0.0	95508292.0	1.0	47754146.0	47754146.0	84155742.0	84034382.0	11352550.0	84034382.0	95508292.0	0.0	624435.0	0.0	10773258.0	0.0	4718803623.0	2366203265.0	2352600358.0	4168127503.0	4147480899.0	0.0	0.0	7767106.0	0.001872729	49.0	50.0	49.0	50.0	50.0	50.0	36.2	1133.2	1742.5	42012764.0	4427.0	0.0	0.0	88.0	88.1135451568959	87.98647765578302	11.886454843104094	87.98647765578302	100.0	0.0	0.6538018709412163	0.0
ES12_209_MG-lipid_0	96024906.0	0.0	96024906.0	1.0	48012453.0	48012453.0	86436232.0	86362338.0	9588674.0	86362338.0	96024906.0	0.0	425868.0	0.0	8742583.0	0.0	4749610058.0	2379866209.0	2369743849.0	4281656038.0	4257158138.0	0.0	0.0	9159441.0	0.002151539	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1090.4	1658.4	43177464.0	3705.0	0.0	0.0	89.9	90.01438855873496	89.93743560654983	9.98561144126504	89.93743560654983	100.0	0.0	0.4434974401328755	0.0
ES13_209_MG-lipid_14	94903268.0	0.0	94903268.0	1.0	47451634.0	47451634.0	84505242.0	84415616.0	10398026.0	84415616.0	94903268.0	0.0	363885.0	0.0	9037342.0	0.0	4692655463.0	2351789748.0	2340865715.0	4185723179.0	4160478790.0	0.0	0.0	10566343.0	0.002539694	49.0	50.0	49.0	50.0	50.0	50.0	36.3	1113.2	1707.6	42203448.0	4360.0	0.0	0.0	88.9	89.04355327363437	88.94911395464274	10.956446726365629	88.94911395464274	100.0	0.0	0.3834272598494711	0.0
