Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
ES100_SEM19-140_Control-lipid_0	ES100_SEM19-140_Control-lipid_0.sorted.bam	40627251.0	91843034.0	14903770.0	66506040.0	13081.0	8962538.0	1.35	66506040.0	7200942.0	3173467.0	1006423.0
ES101_SEM19-140_Control-lipid_14	ES101_SEM19-140_Control-lipid_14.sorted.bam	38098572.0	86839006.0	14569105.0	61677205.0	13412.0	9383652.0	1.39	61677205.0	7488219.0	3048560.0	974382.0
ES102_SEM19-140_Control-lipid_21	ES102_SEM19-140_Control-lipid_21.sorted.bam	41964756.0	94274548.0	14443478.0	68145949.0	17216.0	11530992.0	1.38	68145949.0	8093421.0	3520369.0	1114082.0
ES103_625_Control-lipid_0	ES103_625_Control-lipid_0.sorted.bam	45581039.0	103477030.0	17264102.0	73881265.0	19659.0	10413457.0	1.35	73881265.0	8699675.0	3570354.0	1244121.0
ES104_625_Control-lipid_14	ES104_625_Control-lipid_14.sorted.bam	35315325.0	79137198.0	12049081.0	57367578.0	16489.0	10344092.0	1.38	57367578.0	6998840.0	2674026.0	968173.0
ES105_625_Control-lipid_21	ES105_625_Control-lipid_21.sorted.bam	48558988.0	105069269.0	12410293.0	79163683.0	21522.0	9299979.0	1.39	79163683.0	9500614.0	3922783.0	1340466.0
ES10_172_Control-protein_14	ES10_172_Control-protein_14.sorted.bam	38013144.0	85232268.0	12931063.0	62269314.0	12177.0	8943931.0	1.38	62269314.0	7007780.0	2975369.0	937639.0
ES11_172_Control-protein_21	ES11_172_Control-protein_21.sorted.bam	42017191.0	94929000.0	15065955.0	69130947.0	12895.0	11352550.0	1.4	69130947.0	7493101.0	3189071.0	996126.0
ES12_209_MG-lipid_0	ES12_209_MG-lipid_0.sorted.bam	43181169.0	95178815.0	12747576.0	73045587.0	9697.0	9588674.0	1.34	73045587.0	6571893.0	2773901.0	984336.0
ES13_209_MG-lipid_14	ES13_209_MG-lipid_14.sorted.bam	42207808.0	93542584.0	13362428.0	70098087.0	12989.0	10398026.0	1.33	70098087.0	6826424.0	3215783.0	1024386.0
ES14_209_MG-lipid_21	ES14_209_MG-lipid_21.sorted.bam	35511004.0	78805219.0	11136929.0	59372884.0	9352.0	8517181.0	1.33	59372884.0	5846671.0	2417809.0	827582.0
ES15_601_Control-protein_14	ES15_601_Control-protein_14.sorted.bam	39081378.0	86562272.0	12053647.0	64359501.0	13718.0	10477455.0	1.39	64359501.0	6960582.0	3133686.0	1010492.0
ES16_601_Control-protein_21	ES16_601_Control-protein_21.sorted.bam	43497982.0	95443889.0	12310375.0	72453327.0	16145.0	10126701.0	1.43	72453327.0	7343875.0	3282108.0	1045077.0
ES17_615_Control-protein_0	ES17_615_Control-protein_0.sorted.bam	41282959.0	91538247.0	12922704.0	68787107.0	10330.0	9553646.0	1.33	68787107.0	6778702.0	2993347.0	969004.0
ES18_615_Control-protein_14	ES18_615_Control-protein_14.sorted.bam	38920409.0	85578271.0	11003327.0	62808823.0	16795.0	10738718.0	1.33	62808823.0	8202662.0	3496499.0	1090568.0
ES19_615_Control-protein_21	ES19_615_Control-protein_21.sorted.bam	37440190.0	83522065.0	11956489.0	61007271.0	21171.0	11415679.0	1.41	61007271.0	7329145.0	3156453.0	982565.0
ES1_48_Control-lipid_0	ES1_48_Control-lipid_0.sorted.bam	44645989.0	98750760.0	13803654.0	73085199.0	19597.0	11794162.0	1.36	73085199.0	8169215.0	3636315.0	1199836.0
ES20_618_Control-lipid_0	ES20_618_Control-lipid_0.sorted.bam	42763200.0	93605958.0	11881098.0	71216594.0	16174.0	9464217.0	1.41	71216594.0	7064486.0	3383482.0	1052101.0
ES21_618_Control-lipid_14	ES21_618_Control-lipid_14.sorted.bam	29952807.0	65974304.0	8770830.0	49727201.0	10973.0	6536979.0	1.38	49727201.0	5047171.0	2384863.0	723082.0
ES22_618_Control-lipid_21	ES22_618_Control-lipid_21.sorted.bam	40495762.0	90503069.0	13278861.0	66573589.0	15531.0	10789378.0	1.4	66573589.0	7285800.0	3309061.0	1035107.0
